teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
St Kitts and Nevis Patriots,1269729,0.16666666666666669,0.3137254901960784,0.34782608695652173,0.6000000000000001,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,28
Barbados Tridents,1227892,0.0,0.8235294117647058,0.9347826086956521,0.8,0.0,0.2872647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62,0,0,62
Barbados Tridents,1227886,0.6666666666666667,0.09803921568627451,0.3913043478260869,0.0,0.0,0.08170588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,-1,0,0,-1
Barbados Tridents,1227873,0.49999999999999994,0.1568627450980392,0.2826086956521739,0.2,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,10,0,0,10
Barbados Tridents,1227869,0.6666666666666667,0.09803921568627451,0.13043478260869565,0.0,0.0,0.24508823529411763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5,0,16,21
Barbados Tridents,1227866,0.6666666666666667,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Barbados Tridents,1185870,0.8333333333333333,0.9803921568627451,0.5652173913043478,0.8,1.0,0.5656176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,104,0,0,104
Barbados Tridents,1185869,0.6666666666666667,0.0784313725490196,0.15217391304347827,0.0,0.0,0.16805882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
Barbados Tridents,1185867,0.6666666666666667,0.9607843137254902,0.5434782608695652,1.0,0.75,0.5764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,97,0,0,97
Barbados Tridents,1185864,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,8,8
Barbados Tridents,1185862,0.8333333333333333,0.13725490196078433,0.15217391304347827,0.2,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,11
Barbados Tridents,1185861,0.49999999999999994,0.0392156862745098,0.06521739130434782,0.0,0.0,0.19608823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,2,0,8,10
Barbados Tridents,1185859,0.0,1.0,1.0,1.0,0.25,0.3260882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85,0,0,85
Barbados Tridents,1185856,0.49999999999999994,0.3333333333333333,0.32608695652173914,0.4,0.0,0.3333235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,25
Barbados Tridents,1185855,0.49999999999999994,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Barbados Tridents,1185853,0.3333333333333333,0.5882352941176471,0.45652173913043476,0.0,1.0,0.4201764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,60,0,8,68
Barbados Tridents,1185848,0.6666666666666667,0.11764705882352941,0.2608695652173913,0.0,0.0,0.14705882352941177,0.125,0.125,0.0,0.0,0.24324324324324326,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.49944506104328523,0.0,0.0,0.0,0.0,-4,2,0,0,2
Barbados Tridents,1185844,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Barbados Tridents,1185842,0.49999999999999994,0.0392156862745098,0.06521739130434782,0.0,0.0,0.19608823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
St Kitts and Nevis Patriots,1094705,0.49999999999999994,0.4117647058823529,0.6304347826086957,0.2,0.0,0.2129705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,25
St Kitts and Nevis Patriots,1094702,0.8333333333333333,0.0784313725490196,0.06521739130434782,0.2,0.0,0.39214705882352946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,8
St Kitts and Nevis Patriots,1094701,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
St Kitts and Nevis Patriots,1094697,0.49999999999999994,0.058823529411764705,0.17391304347826086,0.0,0.0,0.11029411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,3
St Kitts and Nevis Patriots,1094693,1.0,0.0,0.0,0.0,0.0,0.0,0.08325,0.08333333333333333,0.0,0.0,0.32432432432432434,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0
St Kitts and Nevis Patriots,1094691,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.4,0.0,0.13513513513513514,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.13873473917869034,0.0,0.0,0.0,0.0,0,0,29,0,29
St Kitts and Nevis Patriots,1094689,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
St Kitts and Nevis Patriots,1094687,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.1,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13873473917869034,0.5,0.0,0.0,0.0,0,0,1,8,9
St Kitts and Nevis Patriots,1094684,0.49999999999999994,0.6078431372549019,0.5652173913043478,0.6000000000000001,0.25,0.3506764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,0,0,53
St Kitts and Nevis Patriots,1094681,1.0,0.0784313725490196,0.06521739130434782,0.0,0.0,0.39214705882352946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,4,0,8,12
St Kitts and Nevis Patriots,1094675,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
St Kitts and Nevis Patriots,1094673,0.6666666666666667,0.5686274509803921,0.6521739130434783,0.2,0.0,0.2843235294117647,0.25,0.25,0.0,0.0,0.2702702702702703,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.27746947835738067,1.0,0.0,0.0,0.0,0,37,0,16,53
St Kitts and Nevis Patriots,994685,0.49999999999999994,0.45098039215686275,0.6304347826086957,0.0,0.5,0.23326470588235296,0.75,0.75,0.4,0.0,0.8108108108108109,0.4,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.27746947835738067,0.0,0.0,0.0,0.0,0,35,27,0,62
