teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Royal Challengers Bengaluru,1426310,0.7272727272727273,0.11111111111111112,0.12121212121212122,0.16666666666666666,0.0,0.3947326870243471,0.5,0.5,0.0625,0.0,0.3333333333333333,0.4,0.0,0.2,0.0,0.0,0.0,0.6666666666666666,0.59375,0.0,0.0,0.0,0.0,0,9,26,0,35
Royal Challengers Bengaluru,1426306,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.24561403508771928,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0,0,0,0,0
Royal Challengers Bengaluru,1426300,0.7272727272727273,0.13333333333333333,0.12121212121212122,0.16666666666666666,0.0,0.4736792244292165,0.5,0.5,0.125,0.0,0.3333333333333333,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.59375,0.5,0.0,0.0,0.0,0,10,2,8,20
Royal Challengers Bengaluru,1426296,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.4375,0.0,0.631578947368421,0.6000000000000001,0.42857142857142855,0.4,0.0,0.5,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0,0,61,16,77
Royal Challengers Bengaluru,1426290,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.3125,0.0,0.7368421052631579,1.0,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0,0,24,0,24
Royal Challengers Bengaluru,1426283,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.6666666666666666,0.2,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,0.791875,0.5,0.0,0.0,0.0,0,0,-2,8,6
Royal Challengers Bengaluru,1426279,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.625,0.0,0.5087719298245614,0.4,0.14285714285714285,0.4,0.0,0.5,0.0,0.6666666666666666,0.453125,1.0,0.0,0.0,0.0,0,0,68,16,84
Royal Challengers Bengaluru,1426274,0.7272727272727273,0.4444444444444445,0.21212121212121213,0.0,0.6000000000000001,0.9022326080778096,1.0,1.0,0.375,0.0,0.5789473684210527,0.6000000000000001,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.515625,0.0,0.0,0.0,0.0,0,38,6,0,44
Royal Challengers Bengaluru,1422119,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.42105263157894735,0.0,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0,0,25,0,25
Railways,1383534,0.7272727272727273,0.6444444444444445,0.42424242424242425,0.5,0.4,0.654119430321786,0.75,0.75,0.375,0.0,0.47368421052631576,0.0,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,6,63,31,0,94
Railways,1383478,0.7272727272727273,0.11111111111111112,0.2727272727272727,0.0,0.0,0.1754507847285818,1.0,1.0,0.4375,0.0,0.7894736842105263,0.4,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,0.703125,0.5,0.0,0.0,0.0,0,5,3,8,16
Railways,1383445,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.625,0.0,0.40350877192982454,0.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.359375,0.0,0.0,0.0,0.0,0,0,14,0,14
Royal Challengers Bangalore,1359539,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.7894736842105263,0.2,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,0.9375,0.0,0.0,0.0,0.0,0,0,-6,0,-6
Royal Challengers Bangalore,1359534,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.3125,0.0,0.3333333333333333,0.0,0.42857142857142855,0.4,0.0,0.5,0.0,0.0,0.791875,0.0,0.0,0.0,0.0,0,0,63,0,63
Royal Challengers Bangalore,1359524,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.1875,0.0,0.5789473684210527,0.8,0.14285714285714285,0.2,0.0,0.5,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0,0,34,0,34
Royal Challengers Bangalore,1359517,0.7272727272727273,0.044444444444444446,0.06060606060606061,0.0,0.0,0.31578614961947765,1.0,1.0,0.75,0.0,0.3508771929824561,0.2,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0,2,66,0,68
Royal Challengers Bangalore,1359489,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.8421052631578947,0.6000000000000001,0.7142857142857142,0.2,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0,0,23,0,23
Royal Challengers Bangalore,1359483,0.8181818181818182,0.022222222222222223,0.09090909090909091,0.0,0.0,0.1052515236681719,0.75,0.75,0.375,0.0,0.45614035087719296,0.4,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.541875,0.0,0.0,0.0,0.0,0,1,56,0,57
Royal Challengers Bangalore,1359479,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4375,0.0,0.5614035087719298,0.2,0.2857142857142857,0.4,0.0,0.5,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0,0,65,0,65
Railways,1333035,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.0,0.5789473684210527,0.4,0.14285714285714285,0.2,0.0,0.0,0.0,0.3333333333333333,0.515625,0.0,0.0,0.0,0.0,0,0,31,0,31
Railways,1333016,0.6363636363636364,0.3111111111111111,0.2727272727272727,0.3333333333333333,0.0,0.4912369343480595,1.0,1.0,0.9375,0.0,0.17543859649122806,0.0,0.0,0.6000000000000001,1.0,0.5,0.0,0.0,0.15625,0.5,0.0,0.0,0.0,0,22,116,8,146
Railways,1332960,0.6363636363636364,0.2,0.15151515151515152,0.3333333333333333,0.0,0.5684150693150598,1.0,1.0,0.5,0.0,0.3684210526315789,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.328125,0.5,0.0,0.0,0.0,0,17,12,8,37
Railways,1332927,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.0,0.42105263157894735,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0,0,8,0,8
Railways,1280285,0.2727272727272727,0.6444444444444445,0.6060606060606061,0.16666666666666666,0.4,0.4578899169482426,1.0,1.0,0.4375,0.0,0.45614035087719296,0.2,0.14285714285714285,0.2,0.0,0.0,0.0,0.3333333333333333,0.40625,0.0,0.0,0.0,0.0,2,51,34,0,85
Railways,1280245,0.4545454545454545,0.06666666666666667,0.24242424242424243,0.0,0.0,0.11841980610730413,1.0,1.0,0.25,0.0,0.631578947368421,0.2,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0,3,29,0,32
Railways,1280226,0.5454545454545454,0.0,0.06060606060606061,0.0,0.0,0.0,0.75,0.75,0.375,0.0,0.22807017543859648,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.270625,0.0,0.0,0.0,0.0,0,-2,37,0,35
Railways,1280208,0.5454545454545454,0.26666666666666666,0.48484848484848486,0.16666666666666666,0.0,0.23683961221460825,1.0,1.0,0.6875,0.0,0.40350877192982454,0.4,0.0,0.2,0.0,0.5,0.0,0.0,0.359375,0.0,0.0,0.0,0.0,0,16,48,0,64
Railways,1244382,0.1818181818181818,0.022222222222222223,0.09090909090909091,0.0,0.0,0.1052515236681719,1.0,1.0,0.6875,0.0,0.2982456140350877,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.265625,0.5,0.0,0.0,0.0,0,1,67,8,76
Railways,1244327,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3125,0.0,0.47368421052631576,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.3333333333333333,0.421875,0.0,0.0,1.0,0.0,0,0,32,12,44
Railways,1244308,0.2727272727272727,1.0,0.8787878787878788,0.16666666666666666,1.0,0.49000536836454345,1.0,1.0,0.8125,0.0,0.40350877192982454,0.0,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.359375,0.0,0.0,0.0,0.0,4,87,42,0,129
Chennai Super Kings,1216536,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5625,0.0,0.6140350877192982,0.0,0.5714285714285714,0.2,0.0,0.5,0.0,0.0,0.546875,0.0,0.0,0.0,0.0,0,0,42,0,42
Chennai Super Kings,1216509,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.1875,0.0,0.5964912280701754,0.8,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.708125,0.0,0.0,0.0,0.0,0,0,-1,0,-1
Chennai Super Kings,1216528,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3125,0.0,0.6491228070175439,0.6000000000000001,0.14285714285714285,0.4,0.0,0.0,0.0,1.0,0.578125,0.0,0.0,0.0,0.0,0,0,55,0,55
Chennai Super Kings,1216525,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3125,0.0,0.5964912280701754,0.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.53125,0.0,0.0,0.0,0.0,0,0,5,0,5
Chennai Super Kings,1216501,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3125,0.0,0.43859649122807015,0.0,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.390625,0.0,0.0,0.0,0.0,0,0,57,0,57
Railways,1205835,0.4545454545454545,0.48888888888888893,0.36363636363636365,0.16666666666666666,0.4,0.5789307480973884,0.5,0.5,0.0625,0.0,0.5087719298245614,0.6000000000000001,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,0.0,0.0,0.0,6,44,-5,0,39
Railways,1205817,0.2727272727272727,0.24444444444444446,0.24242424242424243,0.3333333333333333,0.0,0.4342059557267818,0.5,0.5,0.375,0.0,0.3684210526315789,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.65625,0.5,0.0,0.0,0.0,0,19,4,8,31
Railways,1205791,0.36363636363636365,0.3111111111111111,0.2727272727272727,0.16666666666666666,0.2,0.4912369343480595,0.75,0.75,0.1875,0.0,0.45614035087719296,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.541875,0.5,0.0,0.0,0.0,0,24,3,8,35
Railways,1205772,0.36363636363636365,0.5111111111111112,0.4545454545454546,0.5,0.0,0.4841949032115452,0.5,0.5,0.25,0.0,0.3333333333333333,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,0.0,0.0,4,39,4,16,59
Railways,1205754,0.4545454545454545,0.2,0.21212121212121213,0.0,0.2,0.40600625256576245,1.0,1.0,0.6875,0.0,0.43859649122807015,0.4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.390625,0.5,0.0,0.0,0.0,0,15,13,8,36
Railways,1205745,0.4545454545454545,0.5777777777777778,0.5454545454545454,0.3333333333333333,0.2,0.4561215145103735,1.0,1.0,0.5625,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234375,0.0,0.0,0.0,0.0,2,46,15,0,61
Railways,1205727,0.4545454545454545,0.24444444444444446,0.30303030303030304,0.3333333333333333,0.0,0.34736476458142546,0.75,0.75,0.3125,0.0,0.3333333333333333,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.395625,0.0,0.0,0.0,0.0,0,19,32,0,51
Chennai Super Kings,1178408,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.70825,0.7083333333333333,0.25,0.0,0.5789473684210527,0.2,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.728125,0.0,0.0,0.0,0.0,0,0,25,0,25
Andhra,1157176,0.5454545454545454,0.6666666666666667,0.4545454545454546,0.3333333333333333,0.4,0.6315722992389553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,60,0,0,60
Andhra,1157159,0.6363636363636364,0.0,0.030303030303030304,0.0,0.0,0.0,0.5,0.5,0.1875,0.0,0.5614035087719298,0.2,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,-2,-3,8,3
Andhra,1157143,0.5454545454545454,0.48888888888888893,0.42424242424242425,0.3333333333333333,0.2,0.4962263555120472,0.75,0.75,0.375,0.0,0.5263157894736842,0.2,0.42857142857142855,0.4,1.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,4,40,62,0,102
Andhra,1157127,0.7272727272727273,0.24444444444444446,0.24242424242424243,0.0,0.2,0.4342059557267818,1.0,1.0,0.25,0.0,0.6666666666666666,0.8,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0,17,4,0,21
Andhra,1157110,0.36363636363636365,0.08888888888888889,0.06060606060606061,0.16666666666666666,0.0,0.6315722992389553,0.79175,0.7916666666666666,0.5,0.0,0.24561403508771928,0.2,0.0,0.6000000000000001,1.0,1.0,0.0,0.0,0.27625,0.0,0.0,0.0,0.0,0,8,117,0,125
Chennai Super Kings,1136620,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.4375,0.0,0.43859649122807015,0.4,0.14285714285714285,0.2,0.0,0.0,0.0,0.3333333333333333,0.520625,0.0,0.0,0.0,0.0,0,0,32,0,32
Chennai Super Kings,1136603,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0625,0.0,0.17543859649122806,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0,0,1,0,1
Chennai Super Kings,1136593,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.19298245614035087,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0,0,0,0,0
Chennai Super Kings,1136590,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,8,8
Chennai Super Kings,1136580,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.3125,0.0,0.5263157894736842,0.0,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.0,0.0,0,0,28,8,36
Chennai Super Kings,1136577,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.125,0.0,0.22807017543859648,0.4,0.0,0.4,0.0,0.5,0.0,0.0,0.541875,0.5,0.0,0.0,0.0,0,0,60,8,68
Vidarbha,1130719,0.5454545454545454,0.4,0.48484848484848486,0.16666666666666666,0.0,0.3552594183219124,1.0,1.0,0.625,0.0,0.3684210526315789,0.0,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.328125,0.0,0.0,0.0,0.0,0,22,64,0,86
Railways,1130703,0.0,0.044444444444444446,0.15151515151515152,0.0,0.0,0.12631445984779108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
Vidarbha,1130706,0.5454545454545454,0.48888888888888893,0.48484848484848486,0.3333333333333333,0.0,0.4342059557267818,1.0,1.0,0.4375,0.0,0.42105263157894735,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,2,32,9,0,41
Vidarbha,1130694,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.40350877192982454,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.479375,0.5,0.0,0.0,0.0,0,0,4,8,12
Railways,1130685,0.09090909090909091,0.7111111111111111,0.7575757575757576,1.0,0.0,0.4042062715129314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,60,0,8,68
Railways,1130677,0.5454545454545454,0.888888888888889,0.7878787878787878,0.5,0.2,0.4858369911895664,0.75,0.75,0.25,0.0,0.3157894736842105,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.0,4,66,6,8,80
Vidarbha,1130668,0.5454545454545454,0.5555555555555556,0.3939393939393939,0.5,0.2,0.6072883443332175,0.75,0.75,0.25,0.0,0.631578947368421,1.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,6,53,25,0,78
Mumbai Indians,1082650,0.6363636363636364,0.022222222222222223,0.15151515151515152,0.0,0.0,0.06315722992389554,1.0,1.0,0.75,0.0,0.3157894736842105,0.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.28125,0.0,0.0,0.0,0.0,0,1,18,0,19
Mumbai Indians,1082649,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6875,0.0,0.2807017543859649,0.2,0.0,0.8,1.0,0.0,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0,0,133,0,133
Mumbai Indians,1082647,0.7272727272727273,0.08888888888888889,0.21212121212121213,0.0,0.0,0.18044020589256954,1.0,1.0,0.625,0.0,0.5263157894736842,0.2,0.2857142857142857,0.2,1.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.0,0.0,0,4,43,0,47
Mumbai Indians,1082644,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.45614035087719296,0.4,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.541875,0.5,0.0,0.0,0.0,0,0,33,8,41
Mumbai Indians,1082641,0.5454545454545454,0.4222222222222222,0.18181818181818182,0.5,0.2,1.0,0.75,0.75,0.25,0.0,0.5614035087719298,0.4,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.666875,0.0,0.0,0.0,0.0,0,37,27,0,64
Mumbai Indians,1082638,0.5454545454545454,0.11111111111111112,0.15151515151515152,0.16666666666666666,0.0,0.31578614961947765,0.5,0.5,0.3125,0.0,0.3333333333333333,0.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,0.0,0.0,0,9,5,0,14
Mumbai Indians,1082635,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.91675,0.9166666666666666,0.8125,0.0,0.19298245614035087,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.3333333333333333,0.1875,0.5,0.0,0.0,0.0,0,0,98,8,106
Mumbai Indians,1082628,0.5454545454545454,0.2,0.24242424242424243,0.16666666666666666,0.0,0.3552594183219124,0.75,0.75,0.3125,0.0,0.40350877192982454,0.2,0.14285714285714285,0.2,0.0,0.0,0.0,0.3333333333333333,0.479375,0.0,0.0,0.0,0.0,0,13,30,0,43
Mumbai Indians,1082618,0.36363636363636365,0.24444444444444446,0.30303030303030304,0.0,0.2,0.34736476458142546,1.0,1.0,0.4375,0.0,0.6842105263157894,0.6000000000000001,0.2857142857142857,0.4,0.0,0.0,0.0,0.0,0.609375,0.5,0.0,0.0,0.0,0,17,57,8,82
Sunrisers Hyderabad,981009,0.6363636363636364,0.17777777777777778,0.33333333333333337,0.0,0.0,0.22967126661824613,0.75,0.75,0.25,0.0,0.6842105263157894,0.2,0.5714285714285714,0.0,0.0,0.0,0.0,0.3333333333333333,0.8125,0.0,0.0,0.0,0.0,0,8,-2,0,6
Sunrisers Hyderabad,981003,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.125,0.0,0.43859649122807015,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.520625,0.0,0.0,0.0,0.0,0,0,2,0,2
Sunrisers Hyderabad,980991,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375,0.0,0.45614035087719296,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.0,0.0,0.0,0.0,0,0,8,0,8
Sunrisers Hyderabad,980915,0.6363636363636364,0.044444444444444446,0.06060606060606061,0.0,0.0,0.31578614961947765,0.58325,0.5833333333333333,0.1875,0.0,0.42105263157894735,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.643125,0.0,0.0,0.0,0.0,0,2,1,0,3
Sunrisers Hyderabad,980907,0.6363636363636364,0.5777777777777778,0.5151515151515151,0.5,0.2,0.48296333722802914,1.0,1.0,0.25,0.0,1.0,0.4,0.8571428571428571,0.0,0.0,0.0,0.0,0.3333333333333333,0.890625,0.0,0.0,0.0,0.0,4,52,-2,0,50
Railways,902221,0.5454545454545454,0.0,0.030303030303030304,0.0,0.0,0.0,1.0,1.0,0.5625,0.0,0.3684210526315789,0.0,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.328125,1.0,0.0,0.0,0.0,0,-2,38,16,52
Railways,902195,0.4545454545454545,0.6666666666666667,0.33333333333333337,0.3333333333333333,0.6000000000000001,0.8612435658572015,1.0,1.0,0.875,0.0,0.42105263157894735,0.6000000000000001,0.14285714285714285,1.0,0.0,0.5,0.0,0.0,0.375,0.5,0.0,0.0,0.0,6,66,161,8,235
Railways,902173,0.5454545454545454,0.22222222222222224,0.42424242424242425,0.16666666666666666,0.0,0.22556604667319294,1.0,1.0,0.5625,0.0,0.49122807017543857,0.2,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0,14,61,0,75
