teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Rwanda,1407108,0.5,0.09803921568627451,0.30952380952380953,0.0,0.0,0.14422319721003488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,-1,0,0,-1
Rwanda,1407097,0.5,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-2,0,8,6
Rwanda,1393320,0.125,0.39215686274509803,0.38095238095238093,0.25,0.3333333333333333,0.4687441406982413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,0,30
Rwanda,1393332,0.125,0.19607843137254902,0.14285714285714285,0.5,0.0,0.6250046874414069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,18,0,8,26
Rwanda,1393331,0.25,0.21568627450980393,0.30952380952380953,0.5,0.0,0.3173210334870814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,19
Rwanda,1393318,0.625,0.1764705882352941,0.09523809523809523,0.25,0.0,0.8437394532568342,0.20825,0.20833333333333331,0.0,0.0,0.2765957446808511,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.9999999999999999,0.0,0.0,0.0,0.0,0,13,0,0,13
Rwanda,1393316,0.5,0.43137254901960786,0.38095238095238093,0.0,0.6666666666666666,0.5156185547680654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,36,0,0,36
Rwanda,1393312,0.75,0.0784313725490196,0.047619047619047616,0.25,0.0,0.749990625117186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,8
Rwanda,1393328,0.5,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-2,0,8,6
Rwanda,1379587,0.5,0.1568627450980392,0.09523809523809523,0.0,0.3333333333333333,0.749990625117186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,0,14
Rwanda,1379579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,12,12
Rwanda,1379576,0.5,0.058823529411764705,0.16666666666666666,0.0,0.0,0.16072299096261294,0.5,0.5,0.2857142857142857,0.0,0.23404255319148937,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3523382447149263,0.0,0.0,0.0,0.0,0,3,8,0,11
Rwanda,1379578,0.25,0.0196078431372549,0.11904761904761904,0.0,0.0,0.0749990625117186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
Rwanda,1349140,0.625,0.0784313725490196,0.14285714285714285,0.0,0.0,0.25000937488281394,1.0,1.0,0.7857142857142857,0.0,0.5319148936170213,0.5,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.40038436899423446,1.0,0.0,0.0,1.0,0,4,46,14,64
Rwanda,1349138,0.5,0.0392156862745098,0.26190476190476186,0.0,0.0,0.0681741478231522,0.75,0.75,0.21428571428571427,0.0,0.5957446808510638,0.3333333333333333,0.25,0.3333333333333333,1.0,0.0,0.0,0.5,0.5976937860345932,0.0,0.0,0.0,0.0,-6,-4,36,0,32
Rwanda,1349136,0.5,0.11764705882352941,0.11904761904761904,0.0,0.0,0.4499943750703116,1.0,1.0,1.0,0.0,0.425531914893617,0.16666666666666666,0.25,0.3333333333333333,0.0,1.0,0.0,0.0,0.3203074951953876,1.0,0.0,0.0,0.0,0,6,51,8,65
Rwanda,1349137,0.625,0.11764705882352941,0.30952380952380953,0.0,0.0,0.17306033674579066,0.5,0.5,0.42857142857142855,0.0,0.2553191489361702,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3843689942344651,0.0,0.0,0.0,0.0,-6,0,8,0,8
Rwanda,1349133,0.5,0.0392156862745098,0.047619047619047616,0.0,0.0,0.374995312558593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
Rwanda,1349131,0.25,0.37254901960784315,0.3333333333333333,0.25,0.3333333333333333,0.5089061386732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,31,0,0,31
Rwanda,1349128,0.375,0.058823529411764705,0.11904761904761904,0.0,0.0,0.2249971875351558,1.0,1.0,0.5714285714285714,0.0,0.6808510638297872,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5124919923126201,0.0,0.0,0.0,0.0,0,3,87,0,90
Rwanda,1349126,0.25,0.0196078431372549,0.11904761904761904,0.0,0.0,0.0749990625117186,0.75,0.75,0.5,0.0,0.48936170212765956,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.4913516976297245,1.0,0.0,0.0,0.0,0,1,65,8,74
Rwanda,1349124,0.375,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Rwanda,1343767,0.375,0.09803921568627451,0.07142857142857142,0.0,0.0,0.6250046874414069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
Rwanda,1343761,0.5,0.1568627450980392,0.07142857142857142,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,0,14
Rwanda,1343763,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.21428571428571427,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,0,28
Rwanda,1343750,0.375,0.2549019607843137,0.5238095238095237,0.0,0.0,0.2215847301908726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,9,0,0,9
Rwanda,1343744,0.625,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Rwanda,1343740,0.375,0.09803921568627451,0.2857142857142857,0.0,0.0,0.1562605467431657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,-1,0,0,-1
Rwanda,1283038,0.125,0.13725490196078433,0.07142857142857142,0.25,0.0,0.8749765627929651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,11
Rwanda,1283040,0.125,0.29411764705882354,0.2857142857142857,0.25,0.0,0.4687441406982413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,19,0,6,25
Rwanda,1283036,0.125,0.0392156862745098,0.09523809523809523,0.0,0.0,0.1874976562792965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,0,8,10
Rwanda,1283028,0.125,0.0196078431372549,0.09523809523809523,0.0,0.0,0.09374882813964824,0.5,0.5,0.14285714285714285,0.0,0.5319148936170213,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,1.0,0.8007687379884689,1.0,0.0,0.0,0.0,0,1,-4,8,5
Rwanda,1283021,0.125,0.9411764705882353,0.8095238095238095,1.0,0.6666666666666666,0.5294183822702216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,82,0,8,90
Rwanda,1273145,0.0,1.0,1.0,0.75,0.6666666666666666,0.45535680803989953,0.25,0.25,0.07142857142857142,0.0,0.23404255319148937,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.7046764894298526,0.0,0.0,0.0,0.0,0,83,1,0,84
Rwanda,1273143,0.125,0.0196078431372549,0.09523809523809523,0.0,0.0,0.09374882813964824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
Rwanda,1273144,0.0,0.2549019607843137,0.21428571428571427,0.0,0.3333333333333333,0.5416432294596317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,19
Rwanda,1273141,0.125,0.23529411764705882,0.2857142857142857,0.25,0.0,0.374995312558593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,16
Rwanda,1151253,0.0,0.5098039215686274,0.5238095238095237,0.25,0.3333333333333333,0.4431694603817452,0.75,0.75,0.14285714285714285,0.0,0.8297872340425532,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.8327994875080077,0.0,0.0,0.0,0.0,0,40,-4,0,36
Rwanda,1151252,0.0,0.43137254901960786,0.5714285714285714,0.0,0.6666666666666666,0.3437582030224622,1.0,1.0,0.5,0.0,0.8297872340425532,0.3333333333333333,0.5,0.6666666666666666,0.0,1.0,0.0,1.0,0.6245996156310057,0.0,0.0,0.0,0.0,0,34,65,0,99
Rwanda,1151250,0.0,0.0784313725490196,0.19047619047619047,0.25,0.0,0.1874976562792965,1.0,1.0,0.9285714285714285,0.0,0.3404255319148936,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.25624599615631005,1.0,0.0,0.0,0.0,0,8,44,8,60
Rwanda,1151248,0.0,0.2549019607843137,0.16666666666666666,0.75,0.0,0.6964037949525631,0.75,0.75,0.5,0.0,0.40425531914893614,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.40550928891736066,0.0,0.0,0.0,0.0,0,25,9,0,34
Rwanda,1151246,0.0,0.8431372549019608,0.5714285714285714,1.0,1.0,0.671879101511231,0.75,0.75,0.42857142857142855,0.0,0.851063829787234,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.8539397821909033,0.0,0.0,0.0,0.0,6,87,0,0,87
Rwanda,1151244,0.0,0.8431372549019608,0.5,0.75,1.0,0.7678404019949749,1.0,1.0,0.3571428571428571,0.0,1.0,0.5,0.75,0.3333333333333333,1.0,0.0,1.0,0.5,0.7527226137091608,0.0,0.0,0.0,0.0,6,83,34,0,117
