teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Chittagong Vikings,935337,0.25,0.6923076923076923,0.6,0.0,0.0,0.38461538461538464,0.5,0.5,0.6363636363636365,0.0,0.44999999999999996,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.29584905660377353,0.0,0.0,0.0,0.0,0,9,9,0,18
Chittagong Vikings,935331,0.0,0.8461538461538463,1.0,1.0,0.0,0.28203846153846157,1.0,1.0,0.7272727272727273,0.0,0.3500000000000001,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.09433962264150947,0.0,0.0,0.0,0.0,0,15,37,0,52
Chittagong Vikings,935317,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1499999999999999,0.16666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.018867924528301883,0.0,0.0,0.0,0.0,0,0,42,0,42
Pakistan,868725,0.75,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,0.18181818181818182,0.0,0.7,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,1.0,0.4211320754716981,0.0,0.0,0.0,0.0,0,23,2,0,25
Pakistan,868723,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.8333333333333333,0.5,0.0,0.0,0.0,0.2,0.0,0.5720754716981131,0.0,0.0,0.0,0.0,0,0,-4,0,-4
Pakistan,682927,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,54,0,54
Pakistan,682921,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.2830188679245283,0.0,0.0,0.0,0.0,0,0,37,0,37
Pakistan,657635,0.25,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.09090909090909088,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.2,0.5,0.8490566037735849,0.0,0.0,0.0,0.0,0,-2,-3,0,-5
Pakistan,657633,0.25,0.7692307692307693,0.5333333333333333,1.0,0.0,0.4807692307692308,0.5,0.5,0.45454545454545453,0.0,0.30000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.220377358490566,0.0,0.0,0.0,0.0,0,14,7,0,21
Pakistan,685729,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3636363636363636,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0,0,12,8,20
Pakistan,685727,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.45454545454545453,0.0,0.8999999999999999,0.5,0.5,0.5,0.0,0.0,0.2,0.5,0.3018867924528302,0.0,0.0,0.0,1.0,0,0,32,6,38
