date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2011-11-25'],NA,530432,Sri Lanka,6,4,8,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2009-06-21'],ICC World Twenty20,356017,Sri Lanka,6,14,19,2,0,73.68,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
['2009-06-19'],ICC World Twenty20,356016,Sri Lanka,5,11,12,2,0,91.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2009-06-16'],ICC World Twenty20,356013,Sri Lanka,3,13,10,2,0,130.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,23,0,8,31
['2009-06-14'],ICC World Twenty20,356009,Sri Lanka,5,4,6,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2009-06-12'],ICC World Twenty20,356005,Sri Lanka,5,8,6,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,12,0,14,26
['2009-06-10'],ICC World Twenty20,356002,Sri Lanka,6,7,7,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,11,0,8,19
['2009-06-08'],ICC World Twenty20,355998,Sri Lanka,5,11,11,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,15
['2009-02-10'],NA,386535,Sri Lanka,5,21,18,2,1,116.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,35,0,0,35
['2008-05-25'],Indian Premier League,336002,Deccan Chargers,4,0,2,0,0,0.0,[19],1.0,6,0,0,21,0,3,0,0,0,0,0,21.0,1,0,1,0,0,-2,0,20,18
['2008-05-23'],Indian Premier League,336031,Deccan Chargers,5,23,10,2,1,230.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,43,0,8,51
['2008-05-18'],Indian Premier League,336024,Deccan Chargers,4,17,14,3,0,121.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,29,0,8,37
['2007-09-20'],ICC World Twenty20,287874,Sri Lanka,5,6,11,1,0,54.55,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,6,0,0,6
['2007-09-18'],ICC World Twenty20,287871,Sri Lanka,5,12,12,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2007-09-17'],ICC World Twenty20,287868,Sri Lanka,5,38,25,5,1,152.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,72,0,0,72
['2007-09-15'],ICC World Twenty20,287863,Sri Lanka,5,9,7,1,0,128.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,13,0,14,27
['2007-09-14'],ICC World Twenty20,287860,Sri Lanka,5,5,4,1,0,125.0,"[14, 16]",2.0,12,4,0,11,1,0,0,0,0,0,0,5.5,0,0,0,0,0,9,8,0,17
['2006-12-26'],Sri Lanka in New Zealand T20I Series,251488,Sri Lanka,7,12,19,0,0,63.16,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,10,0,0,10
['2006-12-22'],Sri Lanka in New Zealand T20I Series,251487,Sri Lanka,6,0,0,0,0,0.0,[19],1.0,6,2,0,4,0,0,1,0,0,0,0,4.0,1,0,0,0,0,0,27,8,35
