date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-08-30'],East Africa Cup,1393319,Uganda,9,1,3,0,0,33.33,"[1, 3, 5, 18]",4.0,24,13,0,37,2,3,1,0,0,3,0,9.25,0,0,0,0,0,1,38,0,39
['2023-08-28'],East Africa Cup,1393317,Uganda,9,0,0,0,0,0.0,"[1, 3, 5, 18]",4.0,24,19,1,17,2,1,3,0,1,0,1,4.25,0,0,0,0,0,0,124,0,124
['2023-08-25'],East Africa Cup,1393329,Uganda,11,1,1,0,0,100.0,"[1, 3, 5, 19]",4.0,24,15,0,23,2,0,2,0,1,0,6,5.75,0,0,0,0,0,1,77,0,78
['2023-08-24'],East Africa Cup,1393314,Uganda,7,0,0,0,0,0.0,"[1, 3, 5]",3.0,18,11,0,12,2,0,2,0,0,0,0,4.0,0,0,0,0,0,0,67,0,67
['2023-08-22'],East Africa Cup,1393312,Uganda,9,1,1,0,0,100.0,"[2, 4, 6]",3.0,18,8,0,33,3,2,1,0,0,0,0,11.0,1,0,0,0,0,1,31,8,40
['2023-08-20'],East Africa Cup,1393310,Uganda,8,0,0,0,0,0.0,"[2, 4, 6]",3.0,18,6,0,30,3,1,1,0,1,1,1,10.0,0,0,0,0,0,0,37,0,37
['2021-04-05'],Uganda tour of Namibia,1257405,Uganda,8,0,0,0,0,0.0,"[2, 4, 10, 13]",4.0,24,9,0,28,3,0,1,0,0,0,3,7.0,0,0,0,0,0,0,36,0,36
['2021-04-05'],Uganda tour of Namibia,1257406,Uganda,9,2,3,0,0,66.67,"[2, 9]",2.0,12,3,0,21,4,0,0,0,0,0,0,10.5,1,0,0,0,0,2,1,8,11
['2016-09-28'],Kenya T20 Quadrangular Series,1058155,Uganda,5,15,25,1,0,60.0,[15],1.0,6,2,0,9,0,1,1,0,0,0,0,9.0,0,0,0,0,-2,17,27,0,44
['2016-09-27'],Kenya T20 Quadrangular Series,1058153,Uganda,6,6,7,0,0,85.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,6,0,8,14
['2013-11-26'],ICC World Twenty20 Qualifier,660205,Uganda,8,13,5,1,1,260.0,"[17, 19]",2.0,12,3,0,8,0,0,1,0,0,0,0,4.0,0,0,0,0,0,23,34,0,57
['2013-11-19'],ICC World Twenty20 Qualifier,660147,Uganda,8,20,13,1,1,153.85,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,4,34,0,28,62
['2013-11-16'],ICC World Twenty20 Qualifier,660115,Uganda,4,0,4,0,0,0.0,[4],1.0,6,3,0,13,1,1,0,0,0,1,0,13.0,0,0,0,0,0,-2,3,0,1
['2013-11-15'],ICC World Twenty20 Qualifier,660095,Uganda,8,11,6,1,1,183.33,[8],1.0,6,1,0,9,1,0,0,0,0,0,1,9.0,0,0,0,0,0,21,1,0,22
