date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-13'],Africa Continental Cup,1462930,Botswana,9,2,2,0,0,100.0,"[1, 3, 18, 20]",4.0,24,11,0,41,3,3,2,0,0,0,3,10.25,1,0,0,0,0,2,59,8,69
['2024-12-12'],Africa Continental Cup,1462920,Botswana,7,0,0,0,0,0.0,[3],0.833,5,1,0,15,0,2,0,0,0,0,0,18.01,0,0,0,0,0,0,1,0,1
['2024-12-11'],Africa Continental Cup,1462918,Botswana,10,10,8,1,0,125.0,"[2, 4, 6, 20]",4.0,24,8,0,38,6,0,1,0,0,0,3,9.5,2,0,0,1,0,14,33,22,69
['2024-12-09'],Africa Continental Cup,1462928,Botswana,11,0,0,0,0,0.0,"[1, 3, 13, 20]",4.0,24,7,0,39,4,1,0,0,0,2,1,9.75,1,0,0,0,0,0,7,8,15
['2024-12-08'],Africa Continental Cup,1462914,Botswana,9,0,0,0,0,0.0,"[1, 3, 12, 20]",4.0,24,9,0,31,4,0,1,0,0,0,0,7.75,1,0,0,0,0,0,34,8,42
['2024-12-07'],Africa Continental Cup,1462927,Botswana,9,1,2,0,0,50.0,"[2, 4, 16, 18]",4.0,24,12,0,25,4,0,2,0,1,0,1,6.25,1,0,0,0,0,1,72,8,81
['2024-12-06'],Africa Continental Cup,1462924,Botswana,11,0,0,0,0,0.0,"[2, 4, 6, 16]",4.0,24,6,0,39,3,1,0,0,0,1,2,9.75,0,0,0,0,0,0,6,0,6
['2024-11-28'],ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,1459379,Botswana,11,3,12,0,0,25.0,"[1, 14]",2.0,12,3,0,30,6,0,0,0,0,1,1,15.0,0,0,0,0,-6,-3,-3,0,-6
['2024-11-27'],ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,1459384,Botswana,9,0,0,0,0,0.0,"[1, 6]",2.0,12,7,0,17,3,0,0,0,0,2,1,8.5,0,0,0,0,0,0,7,0,7
['2024-11-24'],ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,1459386,Botswana,9,0,0,0,0,0.0,"[2, 6, 8]",3.0,18,9,0,14,1,0,1,0,1,0,0,4.67,2,0,0,0,0,0,48,16,64
['2024-11-23'],ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,1459374,Botswana,9,0,0,0,0,0.0,"[1, 7]",2.0,12,5,0,10,1,0,0,0,0,0,0,5.0,0,0,0,1,0,0,9,6,15
['2023-06-19'],Africa Continental Cup,1379585,Botswana,8,0,0,0,0,0.0,[3],1.0,6,3,0,3,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,3,0,3
['2023-06-18'],Africa Continental Cup,1379579,Botswana,11,0,0,0,0,0.0,[18],1.0,6,1,0,9,1,0,0,0,0,0,0,9.0,1,0,0,0,0,0,1,8,9
['2023-06-17'],Africa Continental Cup,1379575,Botswana,11,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-06-15'],Africa Continental Cup,1379590,Botswana,11,0,0,0,0,0.0,"[2, 4, 14]",3.0,18,6,0,16,1,0,1,0,0,0,0,5.33,0,0,0,0,0,0,35,0,35
['2023-06-13'],Africa Continental Cup,1379586,Botswana,11,3,2,0,0,150.0,"[2, 5, 11]",3.0,18,7,0,22,1,1,1,0,0,0,2,7.33,1,0,0,0,0,3,32,8,43
['2023-06-11'],Africa Continental Cup,1379580,Botswana,11,0,0,0,0,0.0,[10],1.0,6,2,0,11,1,0,0,0,0,0,4,11.0,0,0,0,0,0,0,2,0,2
['2022-11-22'],ICC Men's T20 World Cup Sub Regional Africa Qualifier,1343756,Botswana,10,0,0,0,0,0.0,"[6, 8]",2.0,12,8,0,3,0,0,1,1,0,0,0,1.5,0,0,0,0,0,0,47,0,47
['2022-11-17'],ICC Men's T20 World Cup Sub Regional Africa Qualifier,1343740,Botswana,11,2,5,0,0,40.0,[5],1.0,6,3,0,10,2,0,0,0,0,0,1,10.0,1,0,0,0,0,2,3,8,13
['2021-11-06'],ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283048,Botswana,8,0,0,0,0,0.0,"[6, 20]",1.833,11,4,0,13,2,0,1,0,0,0,0,7.09,0,0,1,0,0,0,29,12,41
['2019-08-23'],Botswana tour of Namibia,1197510,Botswana,11,0,0,0,0,0.0,"[2, 4, 6, 8]",4.0,24,14,0,23,3,0,1,0,1,2,0,5.75,0,0,0,0,0,0,51,0,51
['2019-08-22'],Botswana tour of Namibia,1197509,Botswana,11,1,3,0,0,33.33,"[2, 4, 6]",3.0,18,7,0,27,3,0,0,0,0,3,1,9.0,0,0,0,0,0,1,7,0,8
['2019-08-19'],Botswana tour of Namibia,1197507,Botswana,10,0,0,0,0,0.0,"[6, 8, 18, 20]",4.0,24,6,0,46,2,4,0,0,0,0,1,11.5,0,0,0,0,0,0,2,0,2
