date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2010-12-30'],Pakistan in New Zealand T20I Series,473920,Pakistan,4,5,9,0,0,55.56,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2010-12-28'],Pakistan in New Zealand T20I Series,473919,Pakistan,5,3,4,0,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2010-12-26'],Pakistan in New Zealand T20I Series,473918,Pakistan,4,2,5,0,0,40.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2009-06-21'],ICC World Twenty20,356017,Pakistan,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2009-06-18'],ICC World Twenty20,356015,Pakistan,5,24,18,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,30,0,0,30
['2009-06-15'],ICC World Twenty20,356012,Pakistan,4,10,8,1,0,125.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,14,0,8,22
['2009-06-13'],ICC World Twenty20,356008,Pakistan,6,6,9,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,6,0,6,12
['2009-06-12'],ICC World Twenty20,356005,Pakistan,4,50,37,4,0,135.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,76,0,8,84
['2009-06-09'],ICC World Twenty20,355999,Pakistan,4,36,20,0,3,180.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,64,0,0,64
['2009-06-07'],ICC World Twenty20,355996,Pakistan,5,46,31,5,0,148.39,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,72,0,0,72
['2008-10-13'],T20 Canada,361660,Pakistan,4,0,4,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2008-10-11'],T20 Canada,361656,Pakistan,3,24,24,2,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,32,0,0,32
['2008-05-28'],Indian Premier League,336019,Rajasthan Royals,3,3,7,0,0,42.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2008-04-20'],NA,343764,Pakistan,3,47,28,7,0,167.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,83,0,8,91
['2007-09-24'],ICC World Twenty20,287879,Pakistan,4,24,24,4,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,40
['2007-09-22'],ICC World Twenty20,287877,Pakistan,3,4,15,0,0,26.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-6,-2,0,8,6
['2007-09-20'],ICC World Twenty20,287875,Pakistan,5,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2007-09-18'],ICC World Twenty20,287870,Pakistan,4,4,3,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,8,0,16,24
['2007-09-17'],ICC World Twenty20,287868,Pakistan,4,51,34,2,3,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,85,0,16,101
['2007-09-14'],ICC World Twenty20,287862,Pakistan,4,2,8,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2007-09-12'],ICC World Twenty20,287855,Pakistan,4,41,29,3,2,141.38,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,71,0,0,71
['2007-09-04'],Twenty20 Quadrangular (in Kenya),306991,Pakistan,6,0,0,0,0,0.0,"[14, 16, 18, 20]",3.667,22,12,0,18,1,1,3,0,1,0,0,4.91,0,0,0,0,0,0,105,0,105
['2007-09-02'],Twenty20 Quadrangular (in Kenya),306989,Pakistan,3,48,25,1,4,192.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,86,0,0,86
['2006-08-28'],NA,225263,Pakistan,3,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
