date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-02-24'],ICC Men's T20 World Cup Qualifier A,1299583,Philippines,6,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2022-02-22'],ICC Men's T20 World Cup Qualifier A,1299579,Philippines,9,7,10,0,0,70.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,5,0,0,5
['2022-02-19'],ICC Men's T20 World Cup Qualifier A,1299571,Philippines,3,11,29,0,0,37.93,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,5,0,0,5
['2022-02-18'],ICC Men’s T20 World Cup Qualifier A,1299567,Philippines,3,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2019-03-24'],ICC World Twenty20 East Asia-Pacific Region Final,1176796,Philippines,3,4,2,1,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2019-03-23'],ICC World Twenty20 East Asia-Pacific Region Final,1176794,Philippines,3,5,4,1,0,125.0,"[14, 16, 18]",3.0,18,5,0,23,1,0,1,1,0,0,0,7.67,0,0,0,0,0,9,38,0,47
['2019-03-23'],ICC World Twenty20 East Asia-Pacific Region Final,1176795,Philippines,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-03-22'],ICC World Twenty20 East Asia-Pacific Region Final,1176792,Philippines,3,6,14,1,0,42.86,"[15, 17, 19]",3.0,18,6,0,27,2,0,2,0,0,0,1,9.0,0,0,0,0,-6,4,56,0,60
['2018-12-07'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166891,Philippines,3,42,34,3,0,123.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,58,0,8,66
['2018-12-06'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166890,Philippines,3,1,6,0,0,16.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2018-12-05'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166888,Philippines,3,23,26,2,0,88.46,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,31,0,0,31
['2018-12-03'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166885,Philippines,3,62,32,1,6,193.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,116,0,8,124
['2018-12-02'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166884,Philippines,7,7,4,1,0,175.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2018-12-01'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166882,Philippines,6,12,8,0,1,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
