date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-19'],Vitality Blast,1410495,Yorkshire,4,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,-2,0,20,18
['2024-07-14'],Vitality Blast,1410480,Yorkshire,5,13,8,1,1,162.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,23,0,8,31
['2024-07-11'],Vitality Blast,1410464,Yorkshire,4,7,12,0,0,58.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-4,3,0,8,11
['2024-07-07'],Vitality Blast,1410452,Yorkshire,4,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2024-07-05'],Vitality Blast,1410449,Yorkshire,6,18,11,2,0,163.64,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,30,0,0,30
['2024-06-20'],Vitality Blast,1410433,Yorkshire,4,61,40,5,3,152.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,111,0,0,111
['2024-06-16'],Vitality Blast,1410427,Yorkshire,4,14,13,0,1,107.69,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,20,0,8,28
['2024-06-14'],Vitality Blast,1410418,Yorkshire,4,10,6,0,1,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,16,0,8,24
['2024-06-09'],Vitality Blast,1410407,Yorkshire,4,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-06-02'],Vitality Blast,1410389,Yorkshire,5,36,17,3,2,211.76,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,70,0,8,78
['2024-05-31'],Vitality Blast,1423080,Yorkshire,3,45,32,7,0,140.62,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,79,0,8,87
['2024-05-30'],Vitality Blast,1410375,Yorkshire,3,7,8,1,0,87.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,11,0,12,23
['2023-06-23'],Vitality Blast,1347672,Yorkshire,3,35,27,5,1,129.63,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,65,0,0,65
['2023-06-22'],Vitality Blast,1347664,Yorkshire,4,21,17,3,0,123.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
['2023-06-20'],Vitality Blast,1347655,Yorkshire,4,2,7,0,0,28.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,2,0,20,22
['2023-06-18'],Vitality Blast,1347647,Yorkshire,4,13,8,1,1,162.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,23,0,8,31
['2023-06-16'],Vitality Blast,1347638,Yorkshire,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2023-06-09'],Vitality Blast,1347631,Yorkshire,4,4,3,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2023-06-06'],Vitality Blast,1347622,Yorkshire,4,23,20,2,0,115.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,31,0,0,31
['2023-06-04'],Vitality Blast,1347611,Yorkshire,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-06-01'],Vitality Blast,1347598,Yorkshire,5,15,10,2,0,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,23,0,8,31
['2023-05-30'],Vitality Blast,1347594,Yorkshire,4,34,23,2,2,147.83,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,60,0,8,68
['2023-05-28'],Vitality Blast,1347584,Yorkshire,3,6,6,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2023-05-26'],Vitality Blast,1347582,Yorkshire,3,31,25,3,0,124.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,47,0,0,47
['2023-05-20'],Vitality Blast,1347568,Yorkshire,4,5,6,1,0,83.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,9,0,8,17
['2022-11-13'],ICC Men's T20 World Cup,1298179,Pakistan,4,38,28,2,1,135.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,58,0,0,58
['2022-11-09'],ICC Men's T20 World Cup,1298177,Pakistan,4,3,4,0,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2022-11-06'],ICC Men's T20 World Cup,1298175,Pakistan,5,24,13,2,0,184.62,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,6,38,0,16,54
['2022-11-03'],ICC Men's T20 World Cup,1298170,Pakistan,4,2,6,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2022-10-30'],ICC Men's T20 World Cup,1298163,Pakistan,4,12,16,0,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
['2022-10-27'],ICC Men's T20 World Cup,1298158,Pakistan,3,44,38,3,0,115.79,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,60,0,0,60
['2022-10-23'],ICC Men's T20 World Cup,1298150,Pakistan,3,52,42,5,0,123.81,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,80,0,0,80
['2022-10-14'],New Zealand T20I Tri-Series,1322340,Pakistan,3,19,21,2,0,90.48,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,27,0,16,43
['2022-10-13'],New Zealand T20I Tri-Series,1322339,Pakistan,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-10-11'],New Zealand T20I Tri-Series,1322337,Pakistan,3,14,12,2,0,116.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
['2022-10-08'],New Zealand T20I Tri-Series,1322335,Pakistan,3,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2022-10-07'],New Zealand T20I Tri-Series,1322334,Pakistan,3,31,22,4,1,140.91,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,59,0,0,59
['2022-10-02'],England tour of Pakistan,1327234,Pakistan,3,56,43,4,1,130.23,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,88,0,0,88
['2022-09-30'],England tour of Pakistan,1327233,Pakistan,3,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2022-09-28'],England tour of Pakistan,1327232,Pakistan,3,7,8,1,0,87.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,11,0,8,19
['2022-09-25'],England tour of Pakistan,1327231,Pakistan,3,21,19,1,0,110.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,25,0,12,37
['2022-09-23'],England tour of Pakistan,1327230,Pakistan,4,65,39,3,4,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,113,0,0,113
['2022-09-22'],England tour of Pakistan,1327229,Pakistan,4,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-09-20'],England tour of Pakistan,1327228,Pakistan,4,7,7,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2022-07-03'],Vitality Blast,1297918,Derbyshire,1,31,27,4,0,114.81,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,51,0,8,59
['2022-06-24'],Vitality Blast,1297902,Derbyshire,1,75,50,6,2,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,123,0,0,123
['2022-06-23'],Vitality Blast,1297894,Derbyshire,1,18,10,2,1,180.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,38,0,0,38
['2022-06-21'],Vitality Blast,1297886,Derbyshire,1,57,43,7,0,132.56,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,95,0,0,95
['2022-06-19'],Vitality Blast,1297877,Derbyshire,1,45,45,5,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,69,0,0,69
['2022-06-18'],Vitality Blast,1297874,Derbyshire,1,34,24,5,0,141.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,60,0,0,60
