date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-14'],Vitality Blast,1410501,Gloucestershire,10,0,0,0,0,0.0,"[1, 3, 13, 18]",4.0,24,18,0,9,1,0,1,0,1,0,1,2.25,0,0,0,0,0,0,57,0,57
['2024-09-14'],Vitality Blast,1410502,Gloucestershire,10,0,0,0,0,0.0,"[1, 3, 16, 19]",4.0,24,8,0,27,0,2,3,0,0,0,0,6.75,0,0,0,0,0,0,89,0,89
['2024-09-06'],Vitality Blast,1410499,Gloucestershire,10,6,4,1,0,150.0,"[1, 3, 5, 20]",4.0,24,16,1,23,1,2,4,0,0,0,1,5.75,0,0,0,0,0,10,140,0,150
['2024-07-18'],Vitality Blast,1410483,Gloucestershire,10,1,0,0,0,0.0,"[1, 3, 16, 20]",4.0,24,10,0,26,1,2,1,0,0,0,1,6.5,0,0,0,0,0,1,37,0,38
['2024-07-14'],Vitality Blast,1410476,Gloucestershire,10,0,0,0,0,0.0,"[1, 3, 15]",3.0,18,12,0,7,0,0,3,1,1,0,1,2.33,0,0,0,0,0,0,113,0,113
['2024-07-12'],Vitality Blast,1410467,Gloucestershire,10,1,1,0,0,100.0,"[1, 3, 16, 20]",4.0,24,5,0,36,3,1,0,0,0,0,0,9.0,1,0,0,0,0,1,5,8,14
['2024-07-11'],Vitality Blast,1410462,Gloucestershire,11,7,6,1,0,116.67,"[1, 3, 5, 18]",4.0,24,13,0,28,5,0,3,0,0,0,1,7.0,2,0,0,0,0,11,94,16,121
['2024-07-07'],Vitality Blast,1410457,Gloucestershire,8,0,0,0,0,0.0,"[1, 3, 15, 19]",4.0,24,10,0,33,2,2,1,0,0,0,2,8.25,0,0,0,0,0,0,35,0,35
['2024-07-05'],Vitality Blast,1410444,Gloucestershire,8,0,0,0,0,0.0,"[1, 3, 5, 18]",4.0,24,13,0,25,2,1,4,1,0,0,3,6.25,0,0,0,0,0,0,131,0,131
['2024-06-21'],Vitality Blast,1410435,Gloucestershire,11,0,0,0,0,0.0,"[1, 3, 14, 19]",4.0,24,6,0,38,3,1,0,0,0,0,1,9.5,0,0,0,0,0,0,6,0,6
['2024-06-20'],Vitality Blast,1410429,Gloucestershire,11,0,0,0,0,0.0,"[1, 3, 15, 19]",4.0,24,9,0,25,3,0,0,0,0,0,1,6.25,0,0,0,0,0,0,11,0,11
['2024-06-16'],Vitality Blast,1410424,Gloucestershire,9,0,0,0,0,0.0,"[1, 3, 16, 20]",3.833,23,12,0,16,1,0,1,0,0,0,1,4.17,1,0,0,0,0,0,43,8,51
['2024-06-14'],Vitality Blast,1410417,Gloucestershire,10,0,0,0,0,0.0,"[1, 3, 13, 20]",4.0,24,10,0,37,3,2,3,0,1,0,2,9.25,0,0,1,0,0,0,97,12,109
['2024-06-09'],Vitality Blast,1410402,Gloucestershire,10,17,8,0,2,212.5,"[1, 3, 17, 19]",4.0,24,10,0,21,2,0,1,0,0,0,1,5.25,0,0,0,0,0,29,39,0,68
['2024-06-07'],Vitality Blast,1410395,Gloucestershire,10,3,4,0,0,75.0,"[1, 3, 5, 13]",4.0,24,15,0,17,2,0,3,1,1,0,2,4.25,0,0,0,0,0,3,116,0,119
['2024-05-31'],Vitality Blast,1410381,Gloucestershire,10,0,0,0,0,0.0,"[1, 5, 15, 18]",4.0,24,4,0,29,2,0,1,0,1,0,0,7.25,1,0,0,0,0,0,37,8,45
['2024-05-30'],Vitality Blast,1410371,Gloucestershire,10,0,0,0,0,0.0,"[1, 3, 16, 20]",4.0,24,14,1,24,1,2,4,0,1,0,0,6.0,0,0,0,0,0,0,144,0,144
['2024-01-22'],Big Bash League,1386136,Adelaide Strikers,9,13,6,0,2,216.67,"[2, 4, 17]",3.0,18,10,0,17,3,0,2,1,0,0,0,5.67,0,0,0,0,0,25,72,0,97
['2024-01-20'],Big Bash League,1386135,Adelaide Strikers,9,14,8,0,1,175.0,"[2, 4, 14]",3.0,18,13,0,19,1,2,1,0,0,0,0,6.33,0,0,0,0,0,20,40,0,60
['2024-01-14'],Big Bash League,1386130,Adelaide Strikers,9,0,0,0,0,0.0,"[2, 12]",2.0,12,4,0,16,1,1,0,0,0,0,0,8.0,0,0,0,0,0,0,4,0,4
['2024-01-11'],Big Bash League,1386126,Adelaide Strikers,9,0,0,0,0,0.0,"[2, 16, 20]",3.0,18,1,0,32,3,1,0,0,0,0,0,10.67,1,0,0,0,0,0,-1,8,7
['2024-01-09'],Big Bash League,1386124,Adelaide Strikers,9,0,0,0,0,0.0,"[2, 14, 19]",3.0,18,6,0,41,5,2,1,0,0,0,0,13.67,0,0,0,0,0,0,25,0,25
['2024-01-05'],Big Bash League,1386120,Adelaide Strikers,9,0,0,0,0,0.0,"[2, 15, 20]",3.0,18,8,0,22,1,1,2,0,0,0,1,7.33,1,0,0,0,0,0,58,8,66
['2024-01-03'],Big Bash League,1386118,Adelaide Strikers,10,8,3,0,1,266.67,"[1, 3, 16, 19]",4.0,24,5,0,39,3,1,0,0,0,0,3,9.75,0,0,0,0,0,14,5,0,19
['2023-12-29'],Big Bash League,1386111,Adelaide Strikers,10,0,0,0,0,0.0,"[1, 4, 17, 19]",3.667,22,9,0,37,4,2,3,0,1,0,0,10.09,0,0,0,0,0,0,94,0,94
['2023-12-22'],Big Bash League,1386104,Adelaide Strikers,10,0,0,0,0,0.0,"[1, 9, 17, 19]",4.0,24,9,0,48,9,0,1,0,0,0,1,12.0,1,0,0,0,0,0,30,8,38
['2023-12-19'],Big Bash League,1386101,Adelaide Strikers,10,0,0,0,0,0.0,"[1, 4, 15, 20]",4.0,24,9,0,35,4,1,2,0,0,0,1,8.75,0,0,0,0,0,0,59,0,59
['2023-07-02'],Vitality Blast,1347692,Gloucestershire,9,7,7,0,0,100.0,"[1, 6, 12]",3.0,18,6,0,23,3,0,0,0,0,0,0,7.67,0,0,0,0,0,7,6,0,13
['2023-07-01'],Vitality Blast,1347685,Gloucestershire,10,0,0,0,0,0.0,"[1, 5, 16, 19]",4.0,24,8,0,34,2,2,2,0,0,0,1,8.5,0,0,0,0,0,0,58,0,58
['2023-06-23'],Vitality Blast,1347674,Gloucestershire,8,1,1,0,0,100.0,"[2, 4, 11, 17]",4.0,24,9,0,34,2,2,1,0,0,0,0,8.5,1,0,0,0,0,1,34,8,43
['2023-06-22'],Vitality Blast,1347668,Gloucestershire,10,4,4,1,0,100.0,"[1, 3, 8, 13]",4.0,24,5,0,43,2,3,0,0,0,0,1,10.75,0,0,0,0,0,8,3,0,11
['2023-06-20'],Vitality Blast,1347660,Gloucestershire,10,0,0,0,0,0.0,"[1, 6, 18, 20]",4.0,24,10,0,37,4,2,1,0,1,0,1,9.25,0,0,0,0,0,0,43,0,43
['2023-06-18'],Vitality Blast,1347651,Gloucestershire,9,15,13,0,1,115.38,"[1, 3, 13, 19]",4.0,24,11,0,27,1,1,1,0,0,0,5,6.75,0,0,0,0,0,21,38,0,59
['2023-06-17'],Vitality Blast,1347646,Gloucestershire,11,16,9,1,1,177.78,"[1, 3, 15]",3.0,18,9,0,19,3,0,0,0,0,0,0,6.33,0,0,1,0,0,26,11,12,49
['2023-06-09'],Vitality Blast,1347635,Gloucestershire,10,7,12,0,0,58.33,"[1, 5, 15, 19]",4.0,24,8,0,25,2,0,0,0,0,0,0,6.25,0,0,0,0,-4,3,10,0,13
['2023-06-04'],Vitality Blast,1347612,Gloucestershire,11,0,0,0,0,0.0,"[1, 5, 17, 19]",4.0,24,10,0,21,2,0,2,0,0,0,1,5.25,0,0,0,0,0,0,64,0,64
