date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-19'],Vitality Blast,1410493,Middlesex,11,8,3,2,0,266.67,"[1, 14]",2.0,12,3,0,22,2,0,0,0,0,2,2,11.0,0,0,0,0,0,16,1,0,17
['2024-07-18'],Vitality Blast,1410483,Middlesex,11,0,0,0,0,0.0,"[1, 3, 5, 20]",4.0,24,10,1,38,7,0,1,0,0,2,0,9.5,1,0,0,0,0,0,47,8,55
['2024-07-12'],Vitality Blast,1410466,Middlesex,11,0,0,0,0,0.0,"[1, 5]",2.0,12,5,0,18,2,0,1,0,0,2,1,9.0,1,0,0,0,0,0,30,8,38
['2024-07-11'],Vitality Blast,1410462,Middlesex,11,0,0,0,0,0.0,"[1, 3, 5, 17]",4.0,24,14,0,25,2,1,2,0,1,0,3,6.25,0,0,0,0,0,0,74,0,74
['2024-06-20'],Vitality Blast,1410430,Middlesex,11,0,0,0,0,0.0,"[1, 3, 17, 19]",4.0,24,8,0,34,4,1,1,0,0,0,0,8.5,0,0,0,0,0,0,33,0,33
['2024-06-14'],Vitality Blast,1410414,Middlesex,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-06-13'],Vitality Blast,1410411,Middlesex,11,0,0,0,0,0.0,"[4, 7, 13]",2.667,16,3,0,29,4,0,2,0,1,0,4,10.87,0,0,0,0,0,0,59,0,59
['2024-06-11'],Vitality Blast,1410408,Middlesex,11,15,14,0,1,107.14,[5],1.0,6,5,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,21,5,0,26
['2024-06-06'],Vitality Blast,1410391,Middlesex,11,1,3,0,0,33.33,"[1, 3, 12]",3.0,18,8,0,22,2,1,1,0,0,0,1,7.33,0,0,0,0,0,1,33,0,34
['2024-06-02'],Vitality Blast,1410385,Middlesex,11,0,0,0,0,0.0,"[1, 5, 18]",2.667,16,3,0,35,4,1,0,0,0,0,4,13.12,0,0,0,0,0,0,-3,0,-3
['2024-05-31'],Vitality Blast,1410378,Middlesex,11,1,2,0,0,50.0,"[1, 7, 15]",3.0,18,3,0,27,4,0,0,0,0,0,1,9.0,0,0,0,0,0,1,3,0,4
