date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-30'],Serbia tour of Gibraltar,1452624,Gibraltar,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-09-30'],Serbia tour of Gibraltar,1452625,Gibraltar,5,0,0,0,0,0.0,[18],1.0,6,3,0,2,0,0,1,0,1,0,0,2.0,0,0,0,0,0,0,36,0,36
['2023-10-15'],Luxembourg tour of Gibraltar,1400055,Gibraltar,5,18,11,1,1,163.64,[4],1.5,9,2,0,12,0,1,0,0,0,0,1,8.0,1,0,0,0,4,32,2,8,42
['2023-10-15'],Luxembourg tour of Gibraltar,1400056,Gibraltar,5,0,5,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2023-10-05'],Serbia tour of Gibraltar,1400053,Gibraltar,5,0,4,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-10-05'],Serbia tour of Gibraltar,1400054,Gibraltar,5,32,19,6,0,168.42,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,64,0,0,64
['2023-05-07'],Gibraltar Tri-Nation T20I Series,1367731,Gibraltar,6,35,16,2,3,218.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,71,0,0,71
['2023-05-07'],Gibraltar Tri-Nation T20I Series,1367732,Gibraltar,6,4,9,0,0,44.44,"[1, 3, 5, 16]",4.0,24,7,0,45,5,2,2,0,2,0,1,11.25,0,0,0,0,0,4,69,0,73
['2023-05-06'],Gibraltar Tri-Nation T20I Series,1367728,Gibraltar,7,10,19,1,0,52.63,[1],1.0,6,2,0,14,0,2,0,0,0,0,0,14.0,0,0,0,0,-4,10,2,0,12
['2023-05-06'],Gibraltar Tri-Nation T20I Series,1367730,Gibraltar,6,3,4,0,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2023-05-05'],Gibraltar Tri-Nation T20I Series,1367727,Gibraltar,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-05-04'],Gibraltar Tri-Nation T20I Series,1367725,Gibraltar,6,0,5,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2023-04-11'],Gibraltar tour of Portugal,1367723,Gibraltar,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-04-11'],Gibraltar tour of Portugal,1367724,Gibraltar,7,10,7,2,0,142.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,18,0,8,26
['2023-04-10'],Gibraltar tour of Portugal,1367722,Gibraltar,8,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
