date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-10-04'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450777,Japan,11,0,0,0,0,0.0,"[8, 10]",2.0,12,10,1,4,0,0,1,0,1,0,0,2.0,0,0,1,0,0,0,61,12,73
['2024-10-02'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450774,Japan,11,0,0,0,0,0.0,"[8, 10, 12, 16]",4.0,24,13,0,14,1,0,2,0,1,0,1,3.5,0,0,0,0,0,0,77,0,77
['2024-10-01'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450772,Japan,9,0,0,0,0,0.0,"[6, 8, 12]",3.0,18,10,0,10,0,0,2,0,0,0,0,3.33,0,0,0,0,0,0,66,0,66
['2024-09-29'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450771,Japan,10,0,0,0,0,0.0,"[12, 14]",2.0,12,6,0,9,1,0,0,0,0,0,0,4.5,0,0,0,1,0,0,12,6,18
['2024-09-28'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450768,Japan,10,1,2,0,0,50.0,"[10, 12, 20]",3.0,18,7,0,25,3,0,2,1,0,0,1,8.33,1,0,0,0,0,1,65,8,74
['2024-09-26'],Japan tour of South Korea,1450767,Japan,11,0,0,0,0,0.0,"[5, 9, 11]",3.0,18,10,0,11,0,0,2,0,2,0,1,3.67,0,0,0,0,0,0,82,0,82
['2024-09-25'],Japan tour of South Korea,1450766,Japan,9,9,12,0,0,75.0,"[12, 20]",2.0,12,3,0,18,1,1,0,0,0,0,0,9.0,0,0,0,0,0,9,3,0,12
['2024-05-12'],Mongolia tour of Japan,1431126,Japan,10,0,0,0,0,0.0,"[9, 11, 13]",3.0,18,14,0,13,1,1,3,0,0,0,0,4.33,1,0,0,0,0,0,99,8,107
['2024-05-11'],Mongolia tour of Japan,1431125,Japan,10,0,0,0,0,0.0,"[7, 9, 15]",3.0,18,13,0,5,0,0,2,0,0,0,0,1.67,0,0,0,1,0,0,69,6,75
"['2024-05-09', '2024-05-10']",Mongolia tour of Japan,1431123,Japan,11,0,0,0,0,0.0,"[8, 10]",2.0,12,12,2,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,92,0,92
['2024-05-08'],Mongolia tour of Japan,1431121,Japan,10,0,0,0,0,0.0,"[6, 8]",2.0,12,12,2,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,92,0,92
['2024-05-08'],Mongolia tour of Japan,1431122,Japan,10,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-02-17'],East Asia Cup,1418545,Japan,8,19,8,0,3,237.5,[9],1.0,6,1,0,11,0,1,0,0,0,0,0,11.0,0,0,0,0,0,37,1,0,38
['2024-02-16'],East Asia Cup,1418544,Japan,9,12,14,1,0,85.71,"[7, 9, 11]",3.0,18,7,0,18,1,0,0,0,0,0,0,6.0,0,0,0,0,0,16,9,0,25
['2024-02-15'],East Asia Cup,1418541,Japan,7,0,0,0,0,0.0,"[8, 10, 12]",3.0,18,12,0,5,0,0,3,0,2,0,0,1.67,0,0,0,0,0,0,113,0,113
['2024-02-14'],East Asia Cup,1418540,Japan,9,0,0,0,0,0.0,"[8, 16]",2.0,12,1,0,23,1,2,0,0,0,0,0,11.5,0,0,0,0,0,0,-3,0,-3
['2024-02-11'],Asian Cricket Council Men's Challenger Cup,1418196,Japan,10,0,0,0,0,0.0,[14],1.0,6,1,0,10,0,1,0,0,0,0,0,10.0,0,0,0,0,0,0,1,0,1
['2024-02-06'],Asian Cricket Council Men's Challenger Cup,1418190,Japan,9,11,8,1,0,137.5,[11],1.0,6,0,0,12,0,1,0,0,0,0,0,12.0,0,0,0,0,0,15,0,0,15
['2024-02-04'],Asian Cricket Council Men's Challenger Cup,1418187,Japan,10,1,1,0,0,100.0,"[11, 13, 19]",2.667,16,10,0,12,0,1,3,0,0,0,0,4.5,0,0,0,0,0,1,95,0,96
['2023-07-28'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383097,Japan,9,0,1,0,0,0.0,"[10, 12]",2.0,12,4,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,-2,10,0,8
['2023-07-25'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383094,Japan,9,1,4,0,0,25.0,[15],1.0,6,3,0,8,1,0,1,0,1,1,0,8.0,0,0,0,0,0,1,36,0,37
['2023-07-23'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383091,Japan,9,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2023-07-22'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383089,Japan,11,0,0,0,0,0.0,"[8, 10]",2.0,12,8,0,15,2,0,1,0,0,2,0,7.5,1,0,0,0,0,0,33,8,41
['2022-10-18'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336955,Japan,2,9,9,0,0,100.0,"[10, 12]",2.0,12,4,0,19,1,1,0,0,0,0,2,9.5,1,0,0,0,0,9,4,8,21
['2022-10-16'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336953,Japan,10,0,0,0,0,0.0,[7],1.0,6,3,0,12,3,0,0,0,0,0,0,12.0,1,0,0,0,0,0,3,8,11
['2022-10-11'],Indonesia tour of Japan,1333932,Japan,8,2,4,0,0,50.0,"[10, 12]",2.0,12,8,0,10,1,0,0,0,0,0,1,5.0,0,0,0,0,0,2,12,0,14
['2018-12-07'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166892,Japan,1,20,23,2,0,86.96,"[8, 10]",2.0,12,9,0,13,0,2,0,0,0,0,0,6.5,1,0,0,0,0,28,11,8,47
['2018-12-06'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166890,Japan,1,4,7,0,0,57.14,"[8, 10]",2.0,12,6,0,14,2,0,0,0,0,0,2,7.0,0,0,0,0,0,4,8,0,12
['2018-12-05'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166887,Japan,1,13,12,2,0,108.33,"[8, 10, 12, 16]",4.0,24,15,0,9,0,0,0,0,0,0,0,2.25,1,0,0,0,0,21,21,8,50
['2018-12-03'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166886,Japan,1,41,24,6,0,170.83,"[8, 10, 12]",3.0,18,10,0,18,0,2,3,0,0,0,0,6.0,2,0,0,0,6,75,91,16,182
['2018-12-02'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166884,Japan,1,61,49,9,0,124.49,"[10, 12, 14]",3.0,18,7,0,32,2,3,2,0,0,0,0,10.67,0,0,0,0,0,105,55,0,160
['2018-12-01'],ICC World Twenty20 East Asia-Pacific Region Qualifier B,1166881,Japan,1,33,39,5,0,84.62,"[7, 9, 13, 15]",4.0,24,15,0,18,3,0,2,0,0,0,0,4.5,0,0,0,0,0,57,71,0,128
['2018-09-14'],East Asia Cup,1159089,Japan,1,58,46,6,3,126.09,"[10, 12]",2.0,12,7,0,8,1,0,1,0,0,0,0,4.0,0,0,0,0,0,108,38,0,146
['2016-11-03'],East Asia Cup,1063553,Japan,1,7,11,0,0,63.64,"[7, 9, 11, 13]",4.0,24,18,1,8,0,0,2,1,0,0,0,2.0,0,0,0,0,-2,5,94,0,99
