date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-06-10'],Vitality Blast,1297864,Leicestershire,2,12,21,0,0,57.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-4,8,0,8,16
['2022-06-09'],Vitality Blast,1297856,Leicestershire,2,25,16,3,1,156.25,"[2, 6, 12]",3.0,18,4,0,28,3,1,0,0,0,0,0,9.33,0,0,0,0,4,51,4,0,55
['2022-06-07'],Vitality Blast,1297848,Leicestershire,2,6,10,0,0,60.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,4,0,0,4
['2022-06-05'],Vitality Blast,1297840,Leicestershire,2,8,9,1,0,88.89,"[2, 10]",2.0,12,2,0,26,5,0,0,0,0,0,0,13.0,0,0,0,0,0,12,-4,0,8
['2022-06-02'],Vitality Blast,1297826,Leicestershire,2,72,51,2,5,141.18,[10],1.0,6,2,0,7,1,0,0,0,0,0,0,7.0,0,0,0,0,2,120,2,0,122
['2022-06-01'],Vitality Blast,1297825,Leicestershire,2,64,45,5,1,142.22,"[2, 10]",2.0,12,2,0,22,4,0,0,0,0,0,0,11.0,0,0,0,0,2,100,0,0,100
['2022-05-29'],Vitality Blast,1297811,Leicestershire,2,5,4,1,0,125.0,"[1, 10]",2.0,12,6,0,12,2,0,0,0,0,0,0,6.0,1,0,0,0,0,9,8,8,25
['2022-05-28'],Vitality Blast,1297808,Leicestershire,2,4,2,1,0,200.0,"[2, 4, 12, 16]",4.0,24,7,0,32,3,0,1,0,0,0,5,8.0,0,0,0,0,0,8,32,0,40
['2021-07-02'],Vitality Blast,1250332,Leicestershire,2,3,6,0,0,50.0,"[7, 10, 13]",3.0,18,3,0,29,2,1,0,0,0,0,0,9.67,0,0,0,0,0,3,3,0,6
['2021-07-01'],Vitality Blast,1250327,Leicestershire,2,0,1,0,0,0.0,"[7, 10, 12, 16]",4.0,24,10,0,24,0,2,0,0,0,0,0,6.0,0,0,0,0,0,-2,12,0,10
['2021-06-29'],Vitality Blast,1250319,Leicestershire,2,44,56,2,1,78.57,"[1, 11, 13, 15]",4.0,24,13,0,17,0,1,2,0,0,0,0,4.25,0,0,0,0,0,62,69,0,131
['2021-06-27'],Vitality Blast,1250311,Leicestershire,1,13,15,2,0,86.67,"[7, 10, 18]",3.0,18,6,0,24,2,1,0,0,0,0,0,8.0,0,0,0,0,0,21,6,0,27
['2021-06-25'],Vitality Blast,1250307,Leicestershire,2,32,27,2,0,118.52,"[1, 7, 10, 12]",4.0,24,10,0,21,2,0,1,0,1,0,0,5.25,0,0,0,0,0,44,47,0,91
['2021-06-22'],Vitality Blast,1250292,Leicestershire,1,46,34,5,2,135.29,"[7, 10, 12, 15]",4.0,24,7,0,23,1,0,2,1,0,0,0,5.75,0,0,0,0,2,84,69,0,153
['2021-06-20'],Vitality Blast,1250288,Leicestershire,2,12,8,0,1,150.0,[7],1.333,8,2,0,11,0,1,0,0,0,0,0,8.25,0,0,0,0,0,18,2,0,20
