date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-19'],Bangladesh Premier League,1459562,Khulna Tigers,11,0,0,0,0,0.0,"[2, 8]",2.0,12,2,0,30,1,3,0,0,0,0,1,15.0,0,0,0,0,0,0,-4,0,-4
['2024-02-23'],Bangladesh Premier League,1412315,Khulna Tigers,9,6,10,0,0,60.0,"[13, 15]",2.0,12,4,0,21,2,1,0,0,0,0,0,10.5,0,0,0,0,-2,4,2,0,6
['2024-02-14'],Bangladesh Premier League,1412305,Khulna Tigers,9,0,0,0,0,0.0,[14],1.0,6,1,0,15,0,2,0,0,0,0,0,15.0,0,0,0,0,0,0,1,0,1
['2024-02-09'],Bangladesh Premier League,1412298,Khulna Tigers,11,0,0,0,0,0.0,"[7, 19]",2.0,12,1,0,36,2,3,0,0,0,0,4,18.0,1,0,0,0,0,0,-5,8,3
['2023-02-16'],Bangladesh Premier League,1351097,Sylhet Strikers,11,0,0,0,0,0.0,"[1, 3, 13, 17]",4.0,24,8,0,39,3,3,2,0,0,0,0,9.75,0,0,0,0,0,0,58,0,58
['2023-02-14'],Bangladesh Premier League,1351096,Sylhet Strikers,11,0,0,0,0,0.0,"[3, 5, 15, 20]",4.0,24,10,0,42,7,1,2,0,1,0,0,10.5,0,0,0,0,0,0,66,0,66
['2023-02-12'],Bangladesh Premier League,1351095,Sylhet Strikers,11,0,1,0,0,0.0,"[2, 4, 15, 17]",3.667,22,13,0,33,2,3,3,0,0,1,0,9.0,0,0,0,0,0,0,92,0,92
['2023-02-08'],Bangladesh Premier League,1351090,Sylhet Strikers,11,0,0,0,0,0.0,"[4, 6, 12, 16]",4.0,24,11,0,24,3,0,2,0,0,0,0,6.0,0,0,0,0,0,0,63,0,63
['2023-02-04'],Bangladesh Premier League,1351087,Sylhet Strikers,10,0,0,0,0,0.0,"[1, 12, 17]",3.0,18,4,0,29,5,0,0,0,0,0,0,9.67,0,0,0,0,0,0,4,0,4
['2023-01-30'],Bangladesh Premier League,1351081,Sylhet Strikers,10,0,0,0,0,0.0,"[3, 5, 15, 18]",4.0,24,7,0,37,6,0,4,0,2,0,0,9.25,0,0,0,0,0,0,131,0,131
['2023-01-17'],Bangladesh Premier League,1351067,Sylhet Strikers,11,0,0,0,0,0.0,"[7, 9, 18]",3.0,18,7,0,24,2,1,0,0,0,0,0,8.0,0,0,0,0,0,0,7,0,7
['2023-01-16'],Bangladesh Premier League,1351064,Sylhet Strikers,11,0,0,0,0,0.0,"[1, 3, 7, 18]",4.0,24,9,0,25,3,0,1,1,0,0,0,6.25,0,0,0,0,0,0,44,0,44
['2022-02-11'],Bangladesh Premier League,1296712,Minister Group Dhaka,10,6,2,0,1,300.0,"[1, 3, 6]",3.0,18,10,0,16,1,1,0,0,0,0,0,5.33,0,0,0,0,0,12,14,0,26
['2022-02-09'],Bangladesh Premier League,1296709,Minister Group Dhaka,9,0,0,0,0,0.0,"[1, 3, 5, 18]",4.0,24,6,0,26,1,0,1,0,0,0,1,6.5,0,0,0,1,0,0,33,6,39
['2022-02-01'],Bangladesh Premier League,1296699,Minister Group Dhaka,9,0,0,0,0,0.0,"[1, 3]",2.0,12,7,0,5,0,0,1,0,0,0,0,2.5,0,0,0,0,0,0,38,0,38
['2022-01-28'],Bangladesh Premier League,1296694,Minister Group Dhaka,8,0,0,0,0,0.0,"[2, 4, 13, 17]",4.0,24,9,0,31,4,0,0,0,0,0,0,7.75,0,0,0,0,0,0,9,0,9
['2022-01-25'],Bangladesh Premier League,1296691,Minister Group Dhaka,10,12,6,1,1,200.0,"[1, 5]",2.0,12,8,0,10,2,0,0,0,0,0,0,5.0,1,0,0,0,0,22,12,8,42
['2022-01-24'],Bangladesh Premier League,1296689,Minister Group Dhaka,10,0,0,0,0,0.0,"[1, 3, 12]",3.0,18,13,0,8,1,0,1,0,0,0,1,2.67,0,0,0,0,0,0,44,0,44
['2022-01-22'],Bangladesh Premier League,1296688,Minister Group Dhaka,11,6,4,0,1,150.0,"[1, 3, 16, 19]",4.0,24,14,0,26,2,2,3,1,1,0,0,6.5,0,0,0,0,0,12,111,0,123
['2022-01-21'],Bangladesh Premier League,1296686,Minister Group Dhaka,10,0,0,0,0,0.0,"[4, 10, 12]",3.0,18,3,0,42,7,1,0,0,0,0,0,14.0,0,0,0,0,0,0,-3,0,-3
['2021-04-01'],Bangladesh tour of New Zealand,1233981,Bangladesh,10,3,6,0,0,50.0,"[5, 7]",2.0,12,1,0,33,2,3,0,0,0,0,0,16.5,0,0,0,0,0,3,-5,0,-2
['2020-01-15'],Bangladesh Premier League,1208111,Chattogram Challengers,9,8,10,0,0,80.0,"[2, 11, 16, 18]",4.0,24,10,0,32,1,3,2,0,0,0,0,8.0,0,0,0,0,0,8,60,0,68
['2020-01-13'],Bangladesh Premier League,1208109,Chattogram Challengers,9,0,0,0,0,0.0,"[1, 3, 14, 18]",4.0,24,9,0,33,2,2,2,0,1,0,0,8.25,1,0,0,0,0,0,67,8,75
['2020-01-11'],Bangladesh Premier League,1208107,Chattogram Challengers,10,0,0,0,0,0.0,"[1, 5, 14]",3.0,18,6,0,27,3,1,0,0,0,0,0,9.0,0,0,0,0,0,0,6,0,6
['2020-01-07'],Bangladesh Premier League,1208102,Chattogram Challengers,11,0,0,0,0,0.0,"[2, 4, 10, 16]",4.0,24,14,0,20,3,0,3,1,1,0,0,5.0,0,0,0,0,0,0,113,0,113
['2020-01-04'],Bangladesh Premier League,1208099,Chattogram Challengers,7,0,0,0,0,0.0,"[1, 4, 18, 20]",3.833,23,14,0,17,1,0,3,0,2,0,5,4.44,0,0,0,1,0,0,115,6,121
['2019-12-31'],Bangladesh Premier League,1208093,Chattogram Challengers,9,0,0,0,0,0.0,"[1, 7, 16, 18]",4.0,24,11,0,16,1,0,2,0,1,0,0,4.0,0,0,0,0,0,0,75,0,75
['2019-12-27'],Bangladesh Premier League,1208087,Chattogram Challengers,9,0,0,0,0,0.0,"[1, 15, 17]",3.0,18,7,0,27,3,1,0,0,0,0,0,9.0,0,0,0,0,0,0,7,0,7
['2019-12-21'],Bangladesh Premier League,1208082,Chattogram Challengers,9,2,2,0,0,100.0,"[1, 7, 14, 17]",4.0,24,7,0,37,6,0,2,0,1,0,1,9.25,0,0,0,0,0,2,65,0,67
['2019-12-20'],Bangladesh Premier League,1208080,Chattogram Challengers,10,0,0,0,0,0.0,"[2, 4, 10, 16]",4.0,24,7,0,30,4,0,1,0,0,0,0,7.5,0,0,0,0,0,0,32,0,32
['2019-12-17'],Bangladesh Premier League,1208076,Chattogram Challengers,10,0,0,0,0,0.0,"[2, 5, 16, 18]",4.0,24,9,0,28,2,1,2,0,0,0,0,7.0,0,0,0,0,0,0,61,0,61
['2019-12-14'],Bangladesh Premier League,1208073,Chattogram Challengers,8,0,0,0,0,0.0,"[2, 5, 14, 18]",4.0,24,8,0,32,2,1,1,0,0,0,1,8.0,0,0,0,0,0,0,33,0,33
['2019-12-12'],Bangladesh Premier League,1208070,Chattogram Challengers,8,6,3,1,0,200.0,"[4, 8, 12]",3.0,18,7,0,31,3,2,0,0,0,0,0,10.33,0,0,0,0,0,10,5,0,15
['2019-12-11'],Bangladesh Premier League,1208067,Chattogram Challengers,9,0,0,0,0,0.0,"[2, 4, 16, 20]",4.0,24,9,0,27,3,0,2,0,0,0,0,6.75,0,0,0,0,0,0,61,0,61
['2019-02-08'],Bangladesh Premier League,1169424,Dhaka Dynamites,10,5,5,1,0,100.0,"[2, 9, 15, 19]",4.0,24,4,0,48,4,3,1,1,0,0,1,12.0,0,0,0,0,0,9,33,0,42
['2019-02-06'],Bangladesh Premier League,1169423,Dhaka Dynamites,11,0,0,0,0,0.0,"[2, 5, 18, 20]",3.667,22,13,1,23,3,1,4,0,1,0,0,6.27,0,0,0,0,0,0,143,0,143
['2019-02-04'],Bangladesh Premier League,1169421,Dhaka Dynamites,11,0,0,0,0,0.0,"[3, 14, 19]",3.0,18,6,0,27,3,1,1,0,0,0,0,9.0,0,0,0,0,0,0,31,0,31
['2019-02-02'],Bangladesh Premier League,1169420,Dhaka Dynamites,11,0,0,0,0,0.0,"[2, 6, 12, 18]",4.0,24,8,0,27,2,0,2,1,0,0,0,6.75,0,0,0,0,0,0,68,0,68
['2019-02-01'],Bangladesh Premier League,1169417,Dhaka Dynamites,10,0,1,0,0,0.0,"[6, 16, 18, 20]",4.0,24,10,0,30,2,2,4,0,1,0,1,7.5,1,0,0,0,0,-2,126,8,132
['2019-01-30'],Bangladesh Premier League,1169415,Dhaka Dynamites,11,0,0,0,0,0.0,"[9, 13, 15, 18]",4.0,24,4,0,42,3,2,0,0,0,0,1,10.5,0,0,0,0,0,0,2,0,2
['2019-01-28'],Bangladesh Premier League,1169412,Dhaka Dynamites,9,0,0,0,0,0.0,"[6, 9, 14, 17]",4.0,24,5,0,42,4,2,0,0,0,0,0,10.5,0,0,0,0,0,0,3,0,3
['2019-01-22'],Bangladesh Premier League,1169404,Dhaka Dynamites,10,10,5,1,0,200.0,"[5, 7, 18, 20]",4.0,24,9,0,26,2,1,2,1,1,0,0,6.5,0,0,0,1,0,14,77,6,97
['2019-01-21'],Bangladesh Premier League,1169402,Dhaka Dynamites,11,0,0,0,0,0.0,"[9, 11, 14, 19]",4.0,24,11,0,24,2,0,1,0,0,1,1,6.0,0,0,0,0,0,0,38,0,38
['2019-01-18'],Bangladesh Premier League,1169397,Dhaka Dynamites,11,0,0,0,0,0.0,"[8, 12, 14, 18]",4.0,24,9,0,24,3,0,1,0,0,0,0,6.0,1,0,0,0,0,0,36,8,44
['2019-01-16'],Bangladesh Premier League,1169395,Dhaka Dynamites,9,0,1,0,0,0.0,"[2, 4, 15]",3.0,18,6,0,17,1,0,0,0,0,0,0,5.67,1,0,0,0,0,0,10,8,18
['2019-01-12'],Bangladesh Premier League,1169390,Dhaka Dynamites,10,0,0,0,0,0.0,"[7, 9, 18]",3.0,18,7,0,22,0,2,3,0,1,0,1,7.33,1,0,0,0,0,0,94,8,102
['2019-01-11'],Bangladesh Premier League,1169387,Dhaka Dynamites,10,1,1,0,0,100.0,"[2, 11, 14]",3.0,18,4,0,26,2,1,0,0,0,0,1,8.67,0,0,0,0,0,1,4,0,5
['2019-01-08'],Bangladesh Premier League,1169383,Dhaka Dynamites,9,0,0,0,0,0.0,"[6, 10]",2.0,12,3,0,22,2,1,0,0,0,0,1,11.0,2,0,0,1,0,0,1,22,23
['2019-01-05'],Bangladesh Premier League,1169380,Dhaka Dynamites,9,0,0,0,0,0.0,"[5, 9, 11]",3.0,18,14,0,7,1,0,3,0,0,0,0,2.33,0,0,0,0,0,0,99,0,99
['2018-08-05'],Bangladesh tour of West Indies and United States of America,1146725,Bangladesh,10,0,0,0,0,0.0,"[2, 8, 12, 16]",4.0,24,11,0,28,3,1,1,0,1,0,0,7.0,0,0,0,0,0,0,46,0,46
['2018-08-04'],Bangladesh tour of West Indies and United States of America,1146724,Bangladesh,10,0,0,0,0,0.0,"[3, 8, 13, 18]",4.0,24,7,0,35,3,1,1,1,0,0,2,8.75,0,0,0,0,0,0,40,0,40
['2018-07-31'],Bangladesh tour of West Indies and United States of America,1146723,Bangladesh,10,2,4,0,0,50.0,"[6, 9]",2.0,12,7,0,13,1,0,1,0,0,0,5,6.5,0,0,0,0,0,2,34,0,36
['2018-03-18'],Nidahas Trophy,1133823,Bangladesh,9,0,1,0,0,0.0,"[4, 8, 10, 19]",4.0,24,10,0,35,3,2,2,0,0,0,0,8.75,0,0,0,0,0,-2,60,0,58
['2018-03-16'],Nidahas Trophy,1133822,Bangladesh,10,0,0,0,0,0.0,"[2, 11, 18, 20]",4.0,24,5,0,41,6,0,1,0,0,0,0,10.25,0,0,0,0,0,0,28,0,28
['2018-03-14'],Nidahas Trophy,1133821,Bangladesh,9,0,0,0,0,0.0,"[3, 10, 15, 20]",4.0,24,7,0,27,3,0,2,0,1,0,0,6.75,0,0,0,0,0,0,67,0,67
['2018-03-10'],Nidahas Trophy,1133819,Bangladesh,9,0,0,0,0,0.0,"[3, 6, 17, 19]",4.0,24,8,0,45,6,2,0,0,0,0,0,11.25,0,0,0,0,0,0,4,0,4
['2018-03-08'],Nidahas Trophy,1133818,Bangladesh,9,0,1,0,0,0.0,"[3, 6, 15, 19]",3.667,22,6,0,24,2,0,2,0,1,0,1,6.54,0,0,0,0,0,0,66,0,66
['2018-02-15'],Sri Lanka tour of Bangladesh,1130746,Bangladesh,11,0,0,0,0,0.0,"[4, 12, 14, 17]",3.667,22,5,0,52,6,2,1,0,0,0,7,14.18,0,0,0,0,0,0,24,0,24
['2017-12-12'],Bangladesh Premier League,1121290,Rangpur Riders,7,0,0,0,0,0.0,"[5, 13, 16, 18]",4.0,24,7,0,28,3,0,1,0,0,0,2,7.0,1,0,0,0,0,0,34,8,42
"['2017-12-10', '2017-12-11']",Bangladesh Premier League,1121289,Rangpur Riders,7,0,0,0,0,0.0,"[3, 9, 15, 20]",4.0,24,12,0,34,3,2,3,0,0,1,2,8.5,1,0,0,0,0,0,91,8,99
['2017-12-08'],Bangladesh Premier League,1121287,Rangpur Riders,11,0,0,0,0,0.0,"[8, 10, 17, 19]",4.0,24,5,0,33,4,0,1,0,0,0,1,8.25,0,0,0,0,0,0,30,0,30
['2017-12-06'],Bangladesh Premier League,1121285,Rangpur Riders,11,0,0,0,0,0.0,"[2, 6, 17, 19]",4.0,24,11,0,32,3,1,2,0,0,1,0,8.0,0,0,0,0,0,0,61,0,61
['2017-11-28'],Bangladesh Premier League,1121275,Rangpur Riders,10,0,0,0,0,0.0,"[5, 12]",2.0,12,3,0,26,5,0,0,0,0,1,0,13.0,0,0,0,0,0,0,-3,0,-3
['2017-11-25'],Bangladesh Premier League,1121272,Rangpur Riders,10,0,0,0,0,0.0,"[9, 11, 15, 17]",4.0,24,8,0,39,4,1,1,0,0,0,3,9.75,0,0,0,1,0,0,33,6,39
['2017-11-24'],Bangladesh Premier League,1121269,Rangpur Riders,10,0,0,0,0,0.0,"[3, 5, 15, 17]",4.0,24,9,0,35,6,0,3,1,1,0,1,8.75,1,0,0,0,0,0,104,8,112
['2017-11-21'],Bangladesh Premier League,1121268,Rangpur Riders,11,0,1,0,0,0.0,"[6, 11, 15, 18]",4.0,24,14,0,29,2,2,2,1,1,0,3,7.25,0,0,0,0,0,-2,80,0,78
['2017-11-20'],Bangladesh Premier League,1121266,Rangpur Riders,10,0,0,0,0,0.0,"[4, 6, 14, 19]",4.0,24,7,0,30,2,1,1,0,0,0,1,7.5,0,0,0,0,0,0,32,0,32
