date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2016-03-03'],Asia Cup,966761,United Arab Emirates,2,1,9,0,0,11.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2016-02-29'],Asia Cup,966755,United Arab Emirates,9,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2016-02-26'],Asia Cup,966749,United Arab Emirates,6,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,-2,0,20,18
['2016-02-25'],Asia Cup,966747,United Arab Emirates,6,37,36,3,2,102.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,65,0,8,73
['2016-02-22'],Asia Cup,966743,United Arab Emirates,10,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,16,16
['2016-02-21'],Asia Cup,966739,United Arab Emirates,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2016-02-16'],Ireland in United Arab Emirates T20I Series,954743,United Arab Emirates,5,31,37,1,1,83.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,45,0,24,69
['2016-02-14'],Ireland in United Arab Emirates T20I Series,954741,United Arab Emirates,5,14,11,1,1,127.27,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,24,0,12,36
['2016-02-04'],NA,966373,United Arab Emirates,1,6,6,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,10,0,16,26
['2016-02-03'],NA,967081,United Arab Emirates,4,0,6,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,-2,0,6,4
['2015-11-22'],NA,930573,United Arab Emirates,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,20,20
['2015-07-15'],ICC World Twenty20 Qualifier,875509,United Arab Emirates,6,6,7,0,0,85.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,6,0,8,14
['2015-07-14'],ICC World Twenty20 Qualifier,875497,United Arab Emirates,5,27,23,1,1,117.39,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,41,0,12,53
['2015-07-12'],ICC World Twenty20 Qualifier,875481,United Arab Emirates,4,34,33,3,0,103.03,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,50,0,0,50
['2015-07-09'],ICC World Twenty20 Qualifier,875457,United Arab Emirates,5,3,7,0,0,42.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2014-03-21'],World T20,682917,United Arab Emirates,4,30,26,5,0,115.38,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,54,0,0,54
['2014-03-19'],World T20,682911,United Arab Emirates,4,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2014-03-17'],World T20,682903,United Arab Emirates,4,23,28,2,0,82.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,31,0,12,43
['2013-11-30'],ICC World Twenty20 Qualifier,660233,United Arab Emirates,6,22,17,1,0,129.41,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,26,0,0,26
['2013-11-29'],ICC World Twenty20 Qualifier,660231,United Arab Emirates,5,16,20,2,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2013-11-27'],ICC World Twenty20 Qualifier,660217,United Arab Emirates,4,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2013-11-24'],ICC World Twenty20 Qualifier,660199,United Arab Emirates,4,4,5,0,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2013-11-23'],ICC World Twenty20 Qualifier,660187,United Arab Emirates,5,13,12,1,0,108.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2013-11-22'],ICC World Twenty20 Qualifier,660171,United Arab Emirates,4,19,16,1,0,118.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,23,0,0,23
['2013-11-19'],ICC World Twenty20 Qualifier,660145,United Arab Emirates,5,20,16,2,0,125.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,28,0,0,28
['2013-11-17'],ICC World Twenty20 Qualifier,660127,United Arab Emirates,5,14,15,0,0,93.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
['2013-11-16'],ICC World Twenty20 Qualifier,660109,United Arab Emirates,3,2,7,0,0,28.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2013-11-15'],ICC World Twenty20 Qualifier,660095,United Arab Emirates,4,4,7,0,0,57.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,4,0,12,16
