date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2021-11-06'],Syed Mushtaq Ali Trophy,1280239,Services,1,4,10,0,0,40.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-2,0,0,-2
['2021-11-04'],Syed Mushtaq Ali Trophy,1280203,Services,1,20,23,1,1,86.96,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,30,0,0,30
['2021-01-19'],Syed Mushtaq Ali Trophy,1244391,Services,2,2,4,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2021-01-13'],Syed Mushtaq Ali Trophy,1244335,Services,2,62,53,9,0,116.98,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,106,0,0,106
['2021-01-11'],Syed Mushtaq Ali Trophy,1244315,Services,1,33,38,3,0,86.84,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,49,0,8,57
['2019-11-17'],Syed Mushtaq Ali Trophy,1205832,Services,2,13,16,1,0,81.25,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,17,0,28,45
['2019-11-15'],Syed Mushtaq Ali Trophy,1205805,Services,2,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2019-11-14'],Syed Mushtaq Ali Trophy,1205786,Services,2,61,38,5,2,160.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,105,0,8,113
['2019-11-12'],Syed Mushtaq Ali Trophy,1205769,Services,2,54,35,5,2,154.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,98,0,0,98
['2019-11-11'],Syed Mushtaq Ali Trophy,1205751,Services,2,71,53,8,1,133.96,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,119,0,0,119
['2019-11-09'],Syed Mushtaq Ali Trophy,1205742,Services,2,67,49,6,1,136.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,107,0,0,107
['2019-03-02'],Syed Mushtaq Ali Trophy,1157209,Services,2,25,28,1,0,89.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
['2019-02-28'],Syed Mushtaq Ali Trophy,1157190,Services,2,11,11,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,15,0,0,15
['2019-02-27'],Syed Mushtaq Ali Trophy,1157175,Services,2,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2019-02-25'],Syed Mushtaq Ali Trophy,1157155,Services,2,22,20,3,0,110.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,34,0,8,42
['2019-02-24'],Syed Mushtaq Ali Trophy,1157139,Services,2,45,52,3,0,86.54,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,61,0,8,69
['2019-02-22'],Syed Mushtaq Ali Trophy,1157124,Services,2,62,50,5,1,124.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,96,0,0,96
['2019-02-21'],Syed Mushtaq Ali Trophy,1157107,Services,2,8,8,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
['2018-01-16'],Syed Mushtaq Ali Trophy,1130722,Services,2,53,22,10,1,240.91,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,113,0,0,113
['2018-01-15'],Syed Mushtaq Ali Trophy,1130718,Services,2,18,10,2,1,180.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,38,0,8,46
['2018-01-13'],Syed Mushtaq Ali Trophy,1130704,Services,2,21,32,0,1,65.62,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,25,0,0,25
['2018-01-10'],Syed Mushtaq Ali Trophy,1130686,Services,2,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2018-01-08'],Syed Mushtaq Ali Trophy,1130669,Services,2,86,57,16,0,150.88,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,166,0,8,174
