,Team,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
0,Kings XI Punjab,4b57e452,0.0,0.5492957746478874,0.6071428571428571,0.3333333333333333,0.3333333333333333,0.286775,0.25,0.25,0.1,0.0,0.29268292682926833,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,61,1,8,70
1,Kings XI Punjab,8ba8195d,0.1,0.028169014084507043,0.08928571428571427,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
2,Kings XI Punjab,b681e71e,0.20000000000000004,0.16901408450704225,0.1607142857142857,0.2222222222222222,0.0,0.33332500000000004,0.25,0.25,0.30000000000000004,0.0,0.1951219512195122,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,20,3,0,23
3,Kings XI Punjab,d67d5f00,0.30000000000000004,0.6056338028169014,0.6607142857142857,0.3333333333333333,0.3333333333333333,0.29055000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,65,0,0,65
4,Kings XI Punjab,5056011d,0.4,0.29577464788732394,0.3214285714285714,0.1111111111111111,0.0,0.291675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,25
5,Kings XI Punjab,fe11caa6,0.5000000000000001,0.16901408450704225,0.21428571428571427,0.1111111111111111,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,16
6,Kings XI Punjab,2e171977,0.6000000000000001,0.0,0.017857142857142856,0.0,0.0,0.0,0.75,0.75,0.30000000000000004,0.0,0.5853658536585367,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,3,8,11
7,Kings XI Punjab,f5180fe6,0.7000000000000001,0.11267605633802817,0.07142857142857142,0.0,0.3333333333333333,0.5,1.0,1.0,0.9,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.8541666666666666,0.0,0.0,0.0,0.0,0,14,32,0,46
8,Kings XI Punjab,69be866a,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7317073170731707,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.625,1.0,0.0,0.0,0.0,0,0,35,8,43
9,Kings XI Punjab,ce820073,0.9,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.6000000000000001,0.0,0.5853658536585367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,6,0,6
10,Kings XI Punjab,1647bd37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7000000000000001,0.0,0.7317073170731707,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0,0,32,0,32
11,Mumbai Indians,89f64c19,0.0,1.0,1.0,1.0,0.3333333333333333,0.316975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121,0,0,121
12,Mumbai Indians,b5da6c24,0.1,0.8309859154929577,0.6428571428571428,0.5555555555555556,1.0,0.40972499999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,109,0,12,121
13,Mumbai Indians,740742ef,0.20000000000000004,0.36619718309859156,0.3571428571428571,0.2222222222222222,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,40,0,8,48
14,Mumbai Indians,a757b0d8,0.30000000000000004,0.09859154929577466,0.125,0.0,0.0,0.25,0.25,0.25,0.1,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,1.0,0.0,0.0,0.0,0,7,1,8,16
15,Mumbai Indians,70d205c9,0.4,0.056338028169014086,0.017857142857142856,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,8
16,Mumbai Indians,0c94f480,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,8,8
17,Mumbai Indians,8b5b6769,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.6585365853658537,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0,0,35,0,35
18,Mumbai Indians,4125d931,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.8048780487804879,0.25,1.0,0.5,0.0,0.0,0.0,0.5,0.6875,0.0,0.0,0.0,1.0,0,0,30,6,36
19,Mumbai Indians,41eb4a4f,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.9,0.0,0.41463414634146345,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.4725,1.0,0.0,0.0,1.0,0,0,13,14,27
20,Mumbai Indians,51a3c5ef,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7000000000000001,0.0,0.6097560975609756,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5208333333333333,0.0,0.0,0.0,0.0,0,0,9,0,9
21,Mumbai Indians,a12e1d51,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6000000000000001,0.0,0.7560975609756098,0.75,0.0,1.0,0.0,0.0,0.0,0.5,0.6458333333333333,0.0,0.0,1.0,0.0,0,0,56,12,68
