teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Titans,1444795,0.8333333333333333,0.037037037037037035,0.06,0.0,0.0,0.28947749312490956,1.0,1.0,0.9166666666666666,0.0,0.47619047619047616,0.4,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2777777777777778,0.0,0.0,0.0,0.0,0,3,15,0,18
Titans,1444790,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.2727272727272727,0.5833333333333333,0.2,0.0,1.0,0.0,0,0,31,20,51
Titans,1444784,0.8333333333333333,0.19753086419753085,0.14,0.1,0.3333333333333333,0.6616587060356057,1.0,1.0,0.75,0.0,0.8333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.18181818181818182,0.4861111111111111,0.2,0.0,0.0,0.0,0,26,34,8,68
Titans,1444780,1.0,0.0,0.0,0.0,0.0,0.0,0.58325,0.5833333333333333,0.5833333333333333,0.0,0.38095238095238093,0.6000000000000001,0.0,0.3333333333333333,0.0,0.5,0.0,0.09090909090909091,0.3811111111111111,0.2,0.0,0.0,0.0,0,0,42,8,50
Titans,1444770,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.21428571428571427,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0,0,28,8,36
Titans,1444765,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333333,0.0,0.6190476190476191,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.0,0,0,12,0,12
Titans,1394574,0.6666666666666665,0.12345679012345678,0.2,0.0,0.0,0.28947749312490956,1.0,1.0,0.6666666666666666,0.0,0.6904761904761905,0.8,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.40277777777777773,0.2,0.0,0.0,0.0,0,10,33,8,51
St Kitts and Nevis Patriots,1369584,0.5,0.12345679012345678,0.44,0.1,0.0,0.13156752062527138,0.5,0.5,0.08333333333333333,0.0,0.7142857142857142,0.6000000000000001,0.3333333333333333,0.0,0.0,0.0,1.0,0.09090909090909091,0.8333333333333333,0.4,0.0,0.0,0.0,-6,8,-5,16,19
St Kitts and Nevis Patriots,1369578,0.6666666666666665,0.14814814814814814,0.24,0.1,0.0,0.28947749312490956,1.0,1.0,0.6666666666666666,0.0,0.8571428571428571,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.4545454545454546,0.5,0.4,0.0,0.0,0.0,0,16,33,16,65
St Kitts and Nevis Patriots,1369575,0.33333333333333326,0.06172839506172839,0.06,0.1,0.0,0.48247213779128667,0.75,0.75,0.8333333333333333,0.0,0.6904761904761905,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.09090909090909091,0.5372222222222222,0.0,0.0,0.0,0.0,0,9,35,0,44
St Kitts and Nevis Patriots,1369572,0.5,0.3333333333333333,0.54,0.1,0.3333333333333333,0.28947749312490956,0.75,0.75,0.3333333333333333,0.0,0.738095238095238,0.8,0.0,0.3333333333333333,0.0,0.0,0.0,0.09090909090909091,0.5738888888888889,0.0,0.0,0.0,0.0,0,41,27,0,68
St Kitts and Nevis Patriots,1369569,0.5,0.37037037037037035,0.42,0.30000000000000004,0.3333333333333333,0.4135475466782458,0.75,0.75,0.5833333333333333,0.0,0.5238095238095237,0.6000000000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.4072222222222222,0.0,0.0,0.0,0.0,2,54,102,0,156
St Kitts and Nevis Patriots,1369567,0.8333333333333333,0.4691358024691358,0.22,0.4,1.0,1.0,0.75,0.75,0.5833333333333333,0.0,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.09090909090909091,0.5183333333333333,0.2,0.0,0.0,0.0,6,82,32,8,122
St Kitts and Nevis Patriots,1369565,0.6666666666666665,0.09876543209876543,0.18,0.0,0.0,0.2573165436387321,0.75,0.75,0.5833333333333333,0.0,0.6190476190476191,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.09090909090909091,0.48166666666666663,0.0,0.0,0.0,0.0,0,8,7,0,15
St Kitts and Nevis Patriots,1369564,0.16666666666666663,0.0,0.02,0.0,0.0,0.0,0.75,0.75,0.25,0.0,0.738095238095238,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.18181818181818182,0.5738888888888889,0.0,0.0,0.0,0.0,0,-2,1,0,-1
St Kitts and Nevis Patriots,1369560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Titans,1334906,0.33333333333333326,0.08641975308641975,0.14,0.0,0.0,0.28947749312490956,0.25,0.25,0.0,0.0,0.2857142857142857,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,7,0,0,7
Titans,1334895,0.5,0.2222222222222222,0.3,0.30000000000000004,0.0,0.34737299174989145,0.5,0.5,0.6666666666666666,0.0,0.23809523809523808,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.2,0.0,0.0,0.0,0,30,12,8,50
Titans,1334891,0.5,0.14814814814814814,0.14,0.2,0.0,0.49625126646403245,0.5,0.5,0.3333333333333333,0.0,0.47619047619047616,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.5555555555555556,0.0,0.0,0.0,0.0,0,20,2,0,22
