teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Myanmar,1456872,0.0,0.3194444444444444,0.27868852459016397,0.4,0.4,1.0,0.625,0.625,0.5,0.0,0.3488372093023256,0.0,0.5,0.5,0.0,0.5,0.0,0.6666666666666666,0.3913894324853229,0.0,0.0,0.0,0.0,2,45,43,0,88
Myanmar,1456871,0.0,0.06944444444444445,0.11475409836065574,0.2,0.0,0.527976938428561,1.0,1.0,0.5625,0.0,0.813953488372093,0.4,1.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.5707762557077625,0.0,0.0,0.0,0.0,0,9,59,0,68
Myanmar,1456870,0.0,1.0,1.0,1.0,1.0,0.8724222041540396,1.0,1.0,0.75,0.0,0.5813953488372093,0.6000000000000001,0.0,0.5,0.0,0.0,0.0,0.8333333333333333,0.40769732550554466,0.0,0.0,0.0,0.0,0,130,39,0,169
Myanmar,1456869,0.125,0.4305555555555555,0.3770491803278689,0.4,0.4,0.9962303200532191,0.75,0.75,0.5625,0.0,0.32558139534883723,0.0,0.0,0.5,0.0,0.5,0.0,0.8333333333333333,0.30463144161774297,0.0,0.0,0.0,0.0,2,57,48,0,105
Myanmar,1456868,0.125,0.125,0.1639344262295082,0.2,0.0,0.6652376376672334,0.29175,0.29166666666666663,0.125,0.0,0.23255813953488372,0.2,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5590345727332029,0.0,0.0,0.0,0.0,0,13,2,0,15
Myanmar,1456867,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,1.0,1.0,0.375,0.0,0.8837209302325582,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.6196999347684279,0.0,0.0,0.0,0.0,0,-2,6,0,4
Myanmar,1447495,0.5,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Myanmar,1447491,0.0,0.06944444444444445,0.13114754098360656,0.0,0.0,0.46197058171335653,0.25,0.25,0.25,0.0,0.16279069767441862,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.45662100456621,0.0,0.0,0.0,0.0,0,5,4,0,9
Myanmar,1447487,0.75,0.19444444444444442,0.3770491803278689,0.4,0.0,0.4499223889422722,0.375,0.375,0.1875,0.0,0.5348837209302325,0.4,1.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2,20,36,0,56
Myanmar,1447485,0.375,0.125,0.13114754098360656,0.2,0.0,0.8315470470840418,0.5,0.5,0.3125,0.0,0.27906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3913894324853229,1.0,0.0,0.0,1.0,0,13,7,34,54
Myanmar,1447481,0.375,0.125,0.4098360655737705,0.0,0.0,0.26609505506689335,0.75,0.75,0.25,0.0,0.6744186046511628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6307893020221786,0.3333333333333333,0.0,0.0,0.0,-6,3,4,8,15
Myanmar,1447478,0.5,0.08333333333333333,0.22950819672131148,0.0,0.0,0.3168009461157514,0.25,0.25,0.1875,0.0,0.18604651162790697,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5218525766470972,0.0,0.0,0.0,0.0,-6,0,3,0,3
Myanmar,1418176,0.375,0.06944444444444445,0.0819672131147541,0.2,0.0,0.7391529307413705,0.75,0.75,0.5625,0.0,0.627906976744186,1.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.5870841487279843,0.0,0.0,0.0,0.0,0,9,34,0,43
