teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Glamorgan,1068428,0.0,0.6435643564356436,0.5492957746478874,0.6923076923076923,0.3333333333333333,0.7143102044314917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,119,0,0,119
Glamorgan,1068425,0.14285714285714285,0.45544554455445546,0.47887323943661975,0.38461538461538464,0.0,0.5798225688938412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,72,0,0,72
Glamorgan,1068418,0.42857142857142855,0.21782178217821782,0.26760563380281693,0.23076923076923078,0.0,0.49624994642780607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,34,0,8,42
Glamorgan,1068408,0.7142857142857142,0.06930693069306931,0.04225352112676056,0.0,0.3333333333333333,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,13
Glamorgan,1068393,0.42857142857142855,0.19801980198019803,0.35211267605633806,0.15384615384615385,0.0,0.34286204088629835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,28
Glamorgan,1068387,0.0,0.039603960396039604,0.1267605633802817,0.0,0.0,0.19045986371233872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
Glamorgan,1068377,0.14285714285714285,0.09900990099009901,0.2112676056338028,0.15384615384615385,0.0,0.28573265332361886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,16,0,0,16
Glamorgan,1068371,0.0,0.7623762376237624,0.7323943661971831,0.6153846153846154,0.3333333333333333,0.6346376376805383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,129,0,0,129
Glamorgan,1068352,0.14285714285714285,0.504950495049505,0.647887323943662,0.3076923076923077,0.3333333333333333,0.4751639309132987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,81,0,8,89
Glamorgan,1068340,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Glamorgan,1068325,0.42857142857142855,0.0891089108910891,0.15492957746478875,0.0,0.0,0.3506621523164616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,9
Glamorgan,1068322,0.42857142857142855,0.6435643564356436,0.5211267605633803,0.46153846153846156,0.6666666666666666,0.7529250417863111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,115,0,0,115
Glamorgan,1068308,0.42857142857142855,0.48514851485148514,0.5070422535211268,0.23076923076923078,0.6666666666666666,0.5833369048129259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,79,0,0,79
Glamorgan,1068301,0.42857142857142855,0.1782178217821782,0.22535211267605634,0.07692307692307693,0.0,0.48214974499635704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,0,22
Glamorgan,947349,0.5714285714285714,0.25742574257425743,0.35211267605633806,0.3076923076923077,0.0,0.44572065315218784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,46,0,8,54
Glamorgan,947331,0.5714285714285714,0.27722772277227725,0.26760563380281693,0.15384615384615385,0.3333333333333333,0.6315947370676723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,48,0,0,48
Glamorgan,947325,0.5714285714285714,0.0594059405940594,0.09859154929577466,0.0,0.0,0.36733381905455786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,6
Glamorgan,947317,0.5714285714285714,0.07920792079207921,0.07042253521126761,0.07692307692307693,0.0,0.6857240817725967,0.3333333333333333,0.3333333333333333,0.0,0.0,0.375,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,0,12,0,0,12
Glamorgan,947279,0.5714285714285714,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Glamorgan,947269,0.42857142857142855,0.16831683168316833,0.4084507042253521,0.0,0.0,0.2512321604594351,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,-4,13,2,0,15
Glamorgan,947257,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,8,8
Glamorgan,947249,0.42857142857142855,0.2376237623762376,0.16901408450704225,0.23076923076923078,0.3333333333333333,0.8571551022157459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,48,0,16,64
