teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Hyderabad (India),1383491,0.0,0.22222222222222224,0.2692307692307693,0.6666666666666666,0.0,0.24998124953123835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,0,0,18
Hyderabad (India),1383472,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,0,8,10
Hyderabad (India),1332956,0.0,0.16666666666666666,0.07692307692307693,0.3333333333333333,0.0,0.6999924998124953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0,12
Hyderabad (India),1332938,0.6666666666666667,0.027777777777777776,0.0,0.0,0.0,0.24998124953123835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,3
Hyderabad (India),1332920,0.9999999999999998,0.5,0.6923076923076923,0.3333333333333333,0.0,0.21428035700892523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,0,0,24
Hyderabad (India),1280300,0.9999999999999998,0.19444444444444445,0.3846153846153846,0.3333333333333333,0.0,0.019200480012000365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,11,0,0,11
Hyderabad (India),1280299,0.6666666666666667,0.6388888888888888,0.5,1.0,0.5,0.6718667966699168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,51,0,0,51
Hyderabad (India),1280288,0.6666666666666667,1.0,1.0,1.0,0.5,0.48271206780169507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,62,0,8,70
Hyderabad (India),1280249,0.0,0.05555555555555555,0.038461538461538464,0.0,0.0,0.24998124953123835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4,0,8,12
Hyderabad (India),1280230,0.9999999999999998,0.611111111111111,0.3846153846153846,1.0,0.5,0.8846471161779046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,48,0,0,48
Hyderabad (India),1280210,0.6666666666666667,0.33333333333333326,0.15384615384615388,0.3333333333333333,0.5,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24,0,0,24
Hyderabad (India),1244386,0.6666666666666667,0.8888888888888888,0.7692307692307693,0.3333333333333333,1.0,0.6087152178804471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,56,0,0,56
Hyderabad (India),1244366,0.6666666666666667,0.2777777777777778,0.5,0.6666666666666666,0.0,0.06247656191404782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,20
Hyderabad (India),1244349,0.33333333333333326,0.3055555555555556,0.23076923076923075,0.6666666666666666,0.0,0.5832895822395561,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,21,1,0,22
Hyderabad (India),1244311,0.6666666666666667,0.5277777777777777,0.5,0.6666666666666666,0.0,0.48436210905272636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,31,0,0,31
