teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
United Arab Emirates,1463667,0.5,0.0,0.0625,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.8250000000000001,0.5,1.0,0.25,1.0,0.0,0.0,0.0,0.8518518518518519,0.0,0.0,0.0,0.0,0,-2,32,0,30
United Arab Emirates,1463664,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4666666666666667,0.0,1.0,0.5,0.75,0.5,0.0,0.0,0.0,0.6666666666666666,0.7222222222222221,0.0,0.0,0.0,0.0,0,0,51,0,51
United Arab Emirates,1463663,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.5000000000000001,0.6666666666666666,0.0,0.5,1.0,0.0,1.0,0.0,0.3518518518518518,1.0,0.0,0.0,0.0,0,0,68,16,84
United Arab Emirates,1463659,0.6666666666666667,0.05555555555555555,0.0625,0.0,0.0,0.25,1.0,1.0,0.8,0.0,0.3750000000000001,0.3333333333333333,0.25,0.75,0.0,0.0,0.0,0.16666666666666666,0.25925925925925924,0.5,0.0,0.0,0.0,0,1,93,8,102
United Arab Emirates,1463656,0.6666666666666667,0.8333333333333333,0.4375,1.0,0.0,0.535725,1.0,1.0,0.8,0.0,0.3750000000000001,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.5,0.25925925925925924,0.5,0.0,0.0,0.0,0,23,64,8,95
United Arab Emirates,1463652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9333333333333333,0.0,0.42500000000000004,0.8333333333333333,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.2962962962962963,0.0,0.0,0.0,0.0,0,0,66,0,66
United Arab Emirates,1459278,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5333333333333333,0.0,0.3500000000000001,0.3333333333333333,0.0,0.75,0.0,0.0,0.0,0.0,0.24074074074074076,0.5,0.0,0.0,0.0,0,0,91,8,99
United Arab Emirates,1457234,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7333333333333333,0.0,0.5750000000000001,0.5,0.5,0.75,0.0,0.0,0.0,0.3333333333333333,0.4074074074074074,0.0,0.0,0.0,0.0,0,0,90,0,90
United Arab Emirates,1457227,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.024999999999999994,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,79,0,79
United Arab Emirates,1457223,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0,0.45000000000000007,0.5,0.0,0.25,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3148148148148148,0.0,0.0,0.0,0.0,0,0,44,0,44
United Arab Emirates,1457222,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.0,0.675,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.48148148148148145,0.0,0.0,0.0,0.0,0,0,6,0,6
United Arab Emirates,1457218,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5333333333333333,0.0,0.20000000000000004,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2348148148148148,0.5,0.0,0.0,0.0,0,0,12,8,20
United Arab Emirates,1450821,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5333333333333333,0.0,0.5750000000000001,0.8333333333333333,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.4074074074074074,0.0,0.0,0.0,0.0,0,0,33,0,33
United Arab Emirates,1450820,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07500000000000004,0.16666666666666666,0.0,0.25,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0,0,58,0,58
United Arab Emirates,1450818,0.8333333333333333,0.05555555555555555,0.0625,0.0,0.0,0.25,1.0,1.0,0.4666666666666667,0.0,0.5750000000000001,0.6666666666666666,0.0,0.25,0.0,0.0,0.0,0.6666666666666666,0.4074074074074074,0.0,0.0,0.0,0.0,0,1,32,0,33
United Arab Emirates,1450817,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4666666666666667,0.0,0.8250000000000001,0.5,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.5925925925925926,0.0,0.0,0.0,0.0,0,0,5,0,5
United Arab Emirates,1426478,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0,0.7250000000000001,0.8333333333333333,0.25,0.75,0.0,0.3333333333333333,0.0,0.5,0.5185185185185186,0.0,0.0,0.0,0.0,0,0,96,0,96
United Arab Emirates,1426475,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.42500000000000004,0.16666666666666666,0.5,0.5,0.0,0.0,0.0,0.16666666666666666,0.2962962962962963,0.0,0.0,0.0,0.0,0,0,64,0,64
United Arab Emirates,1426467,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750000000000001,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,-6,0,-6
United Arab Emirates,1426460,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.9250000000000002,0.5,1.0,0.25,0.0,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666667,0.0,0.0,0.0,0.0,0,0,39,0,39
United Arab Emirates,1426456,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0,0.6000000000000001,0.5,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.4259259259259259,0.0,0.0,0.0,0.0,0,0,9,0,9
United Arab Emirates,1421080,1.0,0.0,0.1875,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.4750000000000001,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,12,0,12
United Arab Emirates,1421079,1.0,0.05555555555555555,0.0625,0.0,0.0,0.25,1.0,1.0,0.9333333333333333,0.0,0.225,0.16666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.14814814814814814,0.0,0.0,0.0,0.0,0,1,144,0,145
United Arab Emirates,1421078,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9333333333333333,0.0,0.12500000000000003,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.07407407407407407,0.0,0.0,0.0,0.0,0,0,152,0,152
United Arab Emirates,1405326,0.8333333333333333,0.16666666666666666,0.1875,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.0,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2962962962962963,0.0,0.0,0.0,0.0,0,3,7,0,10
United Arab Emirates,1405322,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.7250000000000001,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5185185185185186,0.0,0.0,0.0,1.0,0,0,30,6,36
United Arab Emirates,1405320,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.4,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.27777777777777773,0.0,0.0,0.0,0.0,0,0,70,0,70
United Arab Emirates,1405313,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7333333333333333,0.0,0.5750000000000001,0.6666666666666666,0.25,0.5,0.0,0.3333333333333333,1.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0,0,69,0,69
United Arab Emirates,1403294,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.0,0.8750000000000001,1.0,0.25,0.25,0.0,0.0,0.0,0.5,0.6296296296296295,0.0,0.0,0.0,0.0,0,0,29,0,29
United Arab Emirates,1403293,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.675,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.48148148148148145,0.0,0.0,0.0,0.0,0,0,5,0,5
United Arab Emirates,1397439,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5333333333333333,0.0,0.30000000000000004,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.20370370370370366,0.0,0.0,0.0,0.0,0,0,12,0,12
United Arab Emirates,1392812,0.6666666666666667,0.05555555555555555,0.0625,0.0,0.0,0.25,0.5,0.5,0.6,0.0,0.3750000000000001,0.3333333333333333,0.25,0.25,0.0,0.3333333333333333,0.0,0.16666666666666666,0.4074074074074074,0.0,0.0,0.0,0.0,0,1,42,0,43
United Arab Emirates,1377729,0.6666666666666667,0.1111111111111111,0.1875,0.0,0.0,0.16667500000000002,1.0,1.0,0.6666666666666666,0.0,0.42500000000000004,0.3333333333333333,0.25,0.75,0.0,0.0,0.0,0.3333333333333333,0.2962962962962963,0.0,0.0,0.0,0.0,0,2,91,0,93
United Arab Emirates,1377727,0.8333333333333333,0.05555555555555555,0.1875,0.0,0.0,0.083325,1.0,1.0,0.4,0.0,0.65,0.16666666666666666,0.25,0.5,0.0,0.0,0.0,0.16666666666666666,0.46296296296296297,0.0,0.0,0.0,0.0,0,1,56,0,57
