teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Trinbago Knight Riders,1428703,1.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Trinbago Knight Riders,1428702,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.711864406779661,0.4,0.2857142857142857,0.0,0.0,0.0,0.0,0.2222222222222222,0.5687973997833153,0.3333333333333333,0.0,0.0,0.0,0,0,5,8,13
Trinbago Knight Riders,1428696,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,0.6949152542372882,0.2,0.2857142857142857,0.2,0.0,0.5,0.0,0.1111111111111111,0.5552546045503792,0.3333333333333333,0.0,0.0,0.0,0,0,35,8,43
Trinbago Knight Riders,1428680,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.21428571428571427,0.0,0.3220338983050847,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.514626218851571,0.3333333333333333,0.0,0.0,0.0,0,0,3,8,11
Trinbago Knight Riders,1369591,0.7000000000000001,0.11428571428571428,0.3103448275862069,0.125,0.0,0.07406666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,6,0,0,6
Trinbago Knight Riders,1369589,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.2857142857142857,0.0,0.3728813559322034,0.2,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.3970747562296858,0.0,0.0,1.0,0.0,0,0,4,12,16
Trinbago Knight Riders,1369570,0.5000000000000001,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,0,0,16,16
Trinbago Knight Riders,1369569,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7142857142857142,0.0,0.7288135593220338,0.4,0.42857142857142855,0.4,0.0,0.5,0.0,0.2222222222222222,0.5823401950162513,0.6666666666666666,0.0,0.0,0.0,0,0,66,16,82
Trinbago Knight Riders,1369566,0.5000000000000001,0.014285714285714285,0.06896551724137931,0.0,0.0,0.04166666666666667,1.0,1.0,0.5,0.0,0.5254237288135594,0.30000000000000004,0.14285714285714285,0.4,0.0,0.0,0.0,0.1111111111111111,0.41982665222101845,0.0,0.0,0.0,0.0,0,1,57,0,58
Trinbago Knight Riders,1369560,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Rangpur Riders,1351096,0.7000000000000001,0.0,0.017241379310344827,0.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.0,0.5254237288135594,0.2,0.0,0.2,0.0,0.0,0.0,0.1111111111111111,0.41982665222101845,0.3333333333333333,0.0,0.0,0.0,0,-2,29,8,35
Rangpur Riders,1351094,0.6000000000000001,0.02857142857142857,0.05172413793103448,0.0,0.0,0.11111666666666668,1.0,1.0,0.42857142857142855,0.0,0.4915254237288136,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3927410617551463,0.0,0.0,0.0,0.0,0,2,6,0,8
St Kitts and Nevis Patriots,1323169,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6428571428571428,0.0,0.7796610169491526,0.2,0.5714285714285714,0.4,0.0,0.0,0.0,0.3333333333333333,0.6229685807150596,0.3333333333333333,0.0,0.0,0.0,0,0,55,8,63
St Kitts and Nevis Patriots,1323167,0.6000000000000001,0.12857142857142856,0.13793103448275862,0.125,0.0,0.1875,1.0,1.0,0.42857142857142855,0.0,0.7457627118644068,0.2,0.42857142857142855,0.2,0.0,0.0,0.0,0.1111111111111111,0.5958829902491874,0.3333333333333333,0.0,0.0,0.0,0,13,29,8,50
St Kitts and Nevis Patriots,1323163,0.5000000000000001,0.04285714285714286,0.1896551724137931,0.0,0.0,0.045450000000000004,1.0,1.0,0.5714285714285714,0.0,0.4406779661016949,0.2,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.35211267605633806,0.0,0.0,0.0,0.0,-6,-3,60,0,57
St Kitts and Nevis Patriots,1323160,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.42857142857142855,0.0,0.4745762711864407,0.2,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.5054171180931745,0.0,0.0,0.0,0.0,0,0,31,0,31
St Kitts and Nevis Patriots,1323153,0.5000000000000001,0.05714285714285714,0.08620689655172414,0.0,0.0,0.13333333333333333,1.0,1.0,0.5714285714285714,0.0,0.4745762711864407,0.1,0.14285714285714285,0.2,0.0,0.0,0.25,0.1111111111111111,0.37919826652221017,0.3333333333333333,0.0,0.0,0.0,0,4,35,8,47
