teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
United States of America,1415749,0.25,0.30526315789473685,0.5957446808510638,0.0,0.1,0.25892499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,0,0,39
United States of America,1415746,0.25,0.07368421052631578,0.3191489361702128,0.0,0.0,0.116675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,1,0,0,1
United States of America,1415741,0.25,0.12631578947368421,0.2553191489361702,0.0,0.1,0.25,0.25,0.25,0.0,0.0,0.29310344827586204,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.25,0.0,0.0,0.0,0,18,0,8,26
United States of America,1415725,0.375,0.15789473684210525,0.2553191489361702,0.1111111111111111,0.1,0.3125,0.75,0.75,0.5714285714285714,0.0,0.3793103448275862,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.4072222222222222,0.0,0.0,0.0,0.0,0,25,8,0,33
United States of America,1415711,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.21428571428571427,0.0,0.10344827586206896,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,3,0,3
United States of America,1415701,0.25,0.031578947368421054,0.10638297872340426,0.0,0.0,0.15,0.75,0.75,0.2857142857142857,0.0,0.5,0.25,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.5372222222222222,0.25,0.0,0.0,0.0,0,3,29,8,40
United States of America,1425133,0.375,0.18947368421052632,0.3829787234042553,0.1111111111111111,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,28
United States of America,1425132,0.25,0.11578947368421053,0.2127659574468085,0.0,0.1,0.275,0.5,0.5,0.3571428571428571,0.0,0.1896551724137931,0.125,0.0,0.5,0.0,1.0,0.0,0.0,0.3055555555555555,0.0,0.0,1.0,0.0,0,17,42,12,71
United States of America,1425131,0.375,0.35789473684210527,0.5319148936170213,0.0,0.2,0.34,0.5,0.5,0.3571428571428571,0.0,0.1724137931034483,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,2,52,9,0,61
United States of America,1425125,0.25,0.5789473684210527,1.0,0.6666666666666666,0.2,0.29255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99,0,0,99
United States of America,1425124,0.25,0.29473684210526313,0.6170212765957447,0.2222222222222222,0.0,0.241375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,0,0,40
Hobart Hurricanes,1386126,0.5,0.18947368421052632,0.23404255319148937,0.1111111111111111,0.1,0.40909999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,32,0,0,32
Hobart Hurricanes,1386124,0.25,0.031578947368421054,0.19148936170212766,0.0,0.0,0.083325,0.125,0.125,0.07142857142857142,0.0,0.08620689655172414,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0,3,1,0,4
Hobart Hurricanes,1386122,0.25,0.021052631578947368,0.1276595744680851,0.0,0.0,0.083325,0.25,0.25,0.21428571428571427,0.0,0.15517241379310345,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0,2,3,0,5
Hobart Hurricanes,1386119,0.25,0.43157894736842106,0.7446808510638298,0.3333333333333333,0.2,0.29285,0.25,0.25,0.14285714285714285,0.0,0.12068965517241378,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888888884,0.0,0.0,0.0,0.0,0,69,2,0,71
Hobart Hurricanes,1386114,0.25,0.12631578947368421,0.1702127659574468,0.1111111111111111,0.1,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,22,0,8,30
Hobart Hurricanes,1386110,0.25,0.05263157894736842,0.1276595744680851,0.0,0.0,0.208325,0.125,0.125,0.07142857142857142,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.25,0.0,0.0,0.0,0,5,1,8,14
Hobart Hurricanes,1386106,0.375,0.042105263157894736,0.02127659574468085,0.1111111111111111,0.0,1.0,0.25,0.25,0.14285714285714285,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0,8,2,0,10
Hobart Hurricanes,1386102,0.25,0.08421052631578947,0.3404255319148936,0.1111111111111111,0.0,0.125,0.25,0.25,0.0,0.0,0.24137931034482757,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,-4,8,0,0,8
Hobart Hurricanes,1386098,0.375,0.17894736842105263,0.5744680851063829,0.1111111111111111,0.0,0.1574,0.875,0.875,1.0,0.0,0.1724137931034483,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.15888888888888889,0.0,0.0,0.0,0.0,-2,19,70,0,89
Barbados Tridents,1227883,0.25,0.11578947368421053,0.425531914893617,0.0,0.0,0.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,7,0,0,7
Barbados Tridents,1227881,0.25,0.06315789473684211,0.1702127659574468,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,6
Barbados Tridents,1227878,0.375,0.010526315789473684,0.10638297872340426,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,1,0,8,9
Barbados Tridents,1227875,0.25,0.3263157894736842,0.40425531914893614,0.0,0.30000000000000004,0.4079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,57,0,0,57
Barbados Tridents,1227873,0.0,0.021052631578947368,0.06382978723404255,0.0,0.0,0.16667500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
Barbados Tridents,1227869,0.0,0.021052631578947368,0.0851063829787234,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
Barbados Tridents,1227866,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
New Zealand,1157376,0.375,0.4631578947368421,0.5319148936170213,0.4444444444444444,0.2,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,82,0,0,82
New Zealand,1157375,0.375,0.09473684210526316,0.2553191489361702,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,9,0,8,17
Somerset,1127578,0.375,0.5052631578947369,0.6595744680851063,0.2222222222222222,0.30000000000000004,0.3871,0.5,0.5,0.2857142857142857,0.0,0.1896551724137931,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.3055555555555555,0.0,0.0,0.0,0.0,4,82,33,0,115
Somerset,1127577,0.375,0.06315789473684211,0.14893617021276595,0.1111111111111111,0.0,0.214275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,10
Somerset,1127562,0.25,0.24210526315789474,0.23404255319148937,0.0,0.2,0.522725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6,41,0,8,49
Somerset,1127558,0.375,0.7578947368421053,0.6170212765957447,0.4444444444444444,0.6000000000000001,0.6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,138,0,0,138
Somerset,1127549,0.375,0.5578947368421052,0.6595744680851063,0.0,0.5,0.427425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,97,0,0,97
Somerset,1127536,0.25,0.2631578947368421,0.36170212765957444,0.2222222222222222,0.1,0.36765000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,45,0,0,45
Somerset,1127533,0.375,0.14736842105263157,0.3191489361702128,0.1111111111111111,0.0,0.233325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,0,0,18
Somerset,1127527,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Somerset,1127514,0.375,0.3368421052631579,0.425531914893617,0.2222222222222222,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,60,0,0,60
Somerset,1127510,0.375,0.43157894736842106,0.5106382978723404,0.2222222222222222,0.30000000000000004,0.42707500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,77,0,0,77
Somerset,1127501,0.125,0.08421052631578947,0.1276595744680851,0.1111111111111111,0.0,0.33332500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0,12
Somerset,1127494,0.375,0.6210526315789473,0.6170212765957447,0.6666666666666666,0.4,0.508625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,121,0,0,121
Somerset,1127486,0.375,0.4105263157894737,0.5106382978723404,0.0,0.4,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,71,0,0,71
Somerset,1127480,0.25,0.42105263157894735,0.36170212765957444,0.3333333333333333,0.30000000000000004,0.588225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6,80,0,16,96
Somerset,1127467,0.375,0.3157894736842105,0.5106382978723404,0.4444444444444444,0.0,0.3125,0.25,0.25,0.0,0.0,0.25862068965517243,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0,50,0,0,50
Somerset,1127460,0.25,0.25263157894736843,0.3191489361702128,0.3333333333333333,0.1,0.4,0.25,0.25,0.14285714285714285,0.0,0.24137931034482757,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,4,46,2,0,48
Royal Challengers Bangalore,1136584,0.125,0.021052631578947368,0.1702127659574468,0.0,0.0,0.0625,0.91675,0.9166666666666666,0.07142857142857142,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.5,0.8788888888888888,0.0,0.0,0.0,0.0,0,2,-5,0,-3
Royal Challengers Bangalore,1136579,0.25,0.15789473684210525,0.2765957446808511,0.0,0.1,0.28845,0.25,0.25,0.21428571428571427,0.0,0.1724137931034483,0.125,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0,21,28,0,49
Royal Challengers Bangalore,1136574,0.25,0.0,0.02127659574468085,0.0,0.0,0.0,1.0,1.0,0.7142857142857142,0.0,0.8103448275862069,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.75,0.6527777777777778,0.0,0.0,0.0,0.0,0,-2,56,0,54
Somerset,1068372,0.0,0.43157894736842106,0.3404255319148936,0.4444444444444444,0.30000000000000004,0.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,85,0,0,85
Somerset,1068355,0.375,0.010526315789473684,0.0425531914893617,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
Somerset,1068347,0.375,0.19999999999999998,0.2765957446808511,0.1111111111111111,0.1,0.365375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,31,0,0,31
Somerset,1068309,0.5,0.8526315789473684,0.9148936170212766,0.3333333333333333,0.7000000000000001,0.47092500000000004,0.25,0.25,0.2857142857142857,0.0,0.10344827586206896,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,6,153,4,0,157
