teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
South Africa,1432211,0.3333333333333333,0.6833333333333333,0.6557377049180328,0.5,0.8888888888888888,0.43157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,164,0,0,164
South Africa,1449304,0.6666666666666667,0.3,0.4426229508196722,0.25,0.3333333333333333,0.2806947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,68,0,0,68
South Africa,1449303,0.6666666666666667,0.15,0.29508196721311475,0.125,0.1111111111111111,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,28
South Africa,1449302,0.8333333333333333,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,-2,0,8,6
South Africa,1449301,0.49999999999999994,0.15,0.36065573770491804,0.125,0.1111111111111111,0.17225263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,28
Dolphins,1444791,0.3333333333333333,0.06666666666666667,0.21311475409836067,0.0,0.0,0.1295578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,6,0,0,6
Barbados Royals,1428704,0.49999999999999994,0.5916666666666667,0.5573770491803279,1.0,0.5555555555555556,0.4396210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,147,0,0,147
Barbados Royals,1428701,0.6666666666666667,0.175,0.36065573770491804,0.25,0.1111111111111111,0.20094736842105262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,0,35
Barbados Royals,1428699,0.8333333333333333,0.175,0.3278688524590164,0.25,0.0,0.22105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29,0,0,29
Barbados Royals,1428695,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,0,0,8,8
Barbados Royals,1428693,0.49999999999999994,0.008333333333333333,0.0819672131147541,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,0,16,17
Barbados Royals,1428692,0.8333333333333333,0.15833333333333333,0.21311475409836067,0.25,0.1111111111111111,0.3076842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2,35,0,8,43
Barbados Royals,1428690,0.49999999999999994,0.15833333333333333,0.18032786885245902,0.375,0.0,0.3636421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,37,0,0,37
South Africa,1415755,0.6666666666666667,0.175,0.27868852459016397,0.125,0.1111111111111111,0.26006315789473683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,31,0,8,39
South Africa,1415750,0.6666666666666667,0.03333333333333333,0.22950819672131148,0.0,0.0,0.06014736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,-2,0,0,-2
South Africa,1415745,0.3333333333333333,0.35833333333333334,0.45901639344262296,0.5,0.2222222222222222,0.3233052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,79,0,0,79
South Africa,1415741,0.3333333333333333,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
South Africa,1415731,0.49999999999999994,0.058333333333333334,0.1639344262295082,0.0,0.0,0.14736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,5,0,0,5
South Africa,1415721,0.6666666666666667,0.24166666666666667,0.6229508196721312,0.125,0.1111111111111111,0.1606736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,43,0,8,51
South Africa,1415716,0.6666666666666667,0.49166666666666664,0.819672131147541,0.375,0.4444444444444444,0.24842105263157893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,103,0,8,111
South Africa,1415704,0.6666666666666667,0.05,0.09836065573770492,0.125,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,0,10
Gujarat Titans,1426297,0.16666666666666669,0.13333333333333333,0.18032786885245902,0.125,0.0,0.30621052631578943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,2,22,0,20,42
Gujarat Titans,1426290,0.49999999999999994,0.25,0.3278688524590164,0.375,0.2222222222222222,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,58,0,16,74
Gujarat Titans,1426283,0.49999999999999994,0.21666666666666667,0.3114754098360656,0.25,0.1111111111111111,0.2880842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,46,0,0,46
Gujarat Titans,1426278,0.49999999999999994,0.4583333333333333,0.3770491803278689,0.75,0.3333333333333333,0.5034315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,111,0,0,111
Gujarat Titans,1426275,0.3333333333333333,0.03333333333333333,0.09836065573770492,0.0,0.0,0.1403578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
Gujarat Titans,1426270,0.3333333333333333,0.016666666666666666,0.09836065573770492,0.0,0.0,0.07016842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2
Gujarat Titans,1422130,0.3333333333333333,0.36666666666666664,0.4426229508196722,0.5,0.2222222222222222,0.3430736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,80,0,0,80
Gujarat Titans,1422125,0.49999999999999994,0.175,0.26229508196721313,0.375,0.0,0.2763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2,35,0,8,43
Gujarat Titans,1422123,0.49999999999999994,0.1,0.18032786885245902,0.125,0.0,0.22966315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,16,0,8,24
Fortune Barishal,1412319,0.6666666666666667,0.06666666666666667,0.11475409836065574,0.125,0.0,0.24061052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12,0,0,12
