teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Brisbane Heat,756797,0.6666666666666665,0.06521739130434782,0.06451612903225806,0.0,0.0,0.6,0.5,0.5,0.25,0.0,0.28,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.38888888888888884,0.5,0.0,0.0,0.0,0,3,5,8,16
Brisbane Heat,756785,0.6666666666666665,0.06521739130434782,0.12903225806451613,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,3,0,8,11
Brisbane Heat,756781,0.5,1.0,1.0,1.0,0.5,0.59356,0.25,0.25,0.16666666666666666,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,2,74,2,0,76
Brisbane Heat,756773,0.5,0.15217391304347827,0.29032258064516125,0.0,0.0,0.31112,0.25,0.25,0.08333333333333333,0.0,0.36,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0,7,1,8,16
Brisbane Heat,756761,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,0.0,0.56,1.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,0,0,21,0,21
Brisbane Heat,756751,0.8333333333333333,0.32608695652173914,0.3225806451612903,0.5,0.5,0.6,1.0,1.0,0.5,0.0,0.8200000000000001,0.25,0.75,0.6666666666666666,0.0,1.0,0.0,1.0,0.5694444444444444,0.0,0.0,0.0,0.0,0,29,62,0,91
Brisbane Heat,756741,0.6666666666666665,0.0,0.0967741935483871,0.0,0.0,0.0,0.5,0.5,0.08333333333333333,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,0.0,0.0,0,-2,-5,0,-7
Lancashire,693273,1.0,0.43478260869565216,0.25806451612903225,0.0,1.0,1.0,0.5,0.5,0.41666666666666663,0.0,0.4,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0,32,28,0,60
Lancashire,693201,0.8333333333333333,0.021739130434782608,0.12903225806451613,0.0,0.0,0.1,1.0,1.0,0.75,0.0,0.52,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.0,0,1,90,0,91
Lancashire,693187,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.41666666666666663,0.0,0.72,0.5,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,63,0,63
Chennai Super Kings,392189,0.33333333333333326,0.34782608695652173,0.5483870967741935,0.25,0.0,0.37648000000000004,1.0,1.0,0.41666666666666663,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,1.0,0.0,0.0,0.0,0,20,-1,16,35
Chennai Super Kings,392185,0.33333333333333326,0.4782608695652174,0.4193548387096774,0.5,0.5,0.67692,0.75,0.75,0.8333333333333333,0.0,0.22,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.20388888888888887,1.0,0.0,0.0,0.0,4,40,41,16,97
Chennai Super Kings,392181,0.16666666666666663,0.5217391304347826,0.7419354838709677,0.5,0.5,0.4174,1.0,1.0,0.41666666666666663,0.0,0.88,0.75,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.611111111111111,0.0,0.0,0.0,0.0,0,38,28,0,66
England,287873,0.5,0.17391304347826086,0.12903225806451613,0.25,0.0,0.8,1.0,1.0,0.6666666666666666,0.0,0.66,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.4583333333333333,0.0,0.0,0.0,0.0,0,12,33,0,45
England,287869,0.5,0.021739130434782608,0.03225806451612903,0.0,0.0,0.4,0.75,0.75,0.5833333333333333,0.0,0.22,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.20388888888888887,0.5,0.0,0.0,0.0,0,1,46,8,55
England,287867,0.5,0.3695652173913043,0.5161290322580645,0.5,0.0,0.425,1.0,1.0,1.0,0.0,0.46,0.75,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.3194444444444444,0.0,0.0,0.0,0.0,0,25,66,0,91
England,287861,0.5,0.6739130434782609,0.6129032258064516,1.0,0.5,0.65264,1.0,1.0,0.75,0.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3472222222222222,1.0,0.0,0.0,0.0,4,61,36,16,113
England,287858,0.5,0.2826086956521739,0.4193548387096774,0.0,0.5,0.4,0.75,0.75,0.6666666666666666,0.0,0.36,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0,19,10,8,37
England,249227,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.72,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0,-2,11,0,9
England,211028,0.0,0.13043478260869565,0.12903225806451613,0.0,0.0,0.6,0.75,0.75,0.75,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.2777777777777778,0.5,0.0,0.0,0.0,0,6,13,8,27
