teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Cook Islands,1444962,0.6000000000000001,0.2,0.28125,0.25,0.0,0.38889320992455473,1.0,1.0,0.6666666666666666,0.0,0.06060606060606061,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.06060606060606061,0.0,0.0,0.0,0.0,0,13,69,0,82
Cook Islands,1444961,0.40000000000000013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,5,0,5
Cook Islands,1444959,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.0,0.7575757575757577,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.7575757575757577,0.0,0.0,0.0,0.0,0,0,58,0,58
Cook Islands,1444957,0.6000000000000001,0.13333333333333333,0.28125,0.0,0.0,0.25927510305670065,1.0,1.0,0.08333333333333337,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,0,6,2,16,24
Cook Islands,1444954,0.40000000000000013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.41666666666666663,0.0,0.4242424242424242,0.5,0.25,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.4242424242424242,1.0,0.0,0.0,0.0,0,0,62,28,90
Cook Islands,1444952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.0,0.21212121212121215,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4036363636363637,0.3333333333333333,0.0,0.0,0.0,0,0,9,8,17
Cook Islands,1333929,0.19999999999999996,0.4,0.21875,0.75,0.0,1.0,0.0,0.0,0.25,0.0,0.4242424242424242,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6872727272727274,0.0,0.0,0.0,0.0,0,30,8,0,38
Cook Islands,1333927,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.6060606060606061,1.0,0.75,1.0,0.0,1.0,0.0,0.3333333333333333,0.6060606060606061,0.0,0.0,0.0,0.0,0,0,120,0,120
Cook Islands,1333924,0.40000000000000013,1.0,1.0,1.0,1.0,0.5468616317959089,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,2,73,102,8,183
Cook Islands,1333922,0.40000000000000013,0.08888888888888889,0.15625,0.0,0.0,0.3111145679396438,0.0,0.0,0.33333333333333337,0.0,0.36363636363636365,1.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0,0.0,0,4,34,0,38
Cook Islands,1333920,0.6000000000000001,0.24444444444444446,0.46875,0.0,0.0,0.285175390837676,0.8330000000000002,0.833333333333333,0.33333333333333337,0.0,0.4242424242424242,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.45818181818181825,0.3333333333333333,0.0,0.0,0.0,0,11,36,8,55
