teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Hyderabad (India),1383491,0.0,0.14432989690721648,0.27586206896551724,0.2857142857142857,0.0,0.44115283655649007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,22,0,6,28
Hyderabad (India),1383472,0.0,0.21649484536082475,0.2413793103448276,0.2857142857142857,0.16666666666666666,0.7499866073820111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2,37,0,8,45
Hyderabad (India),1332956,0.0,0.5670103092783505,0.689655172413793,0.8571428571428571,0.16666666666666666,0.7186478812878342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,95,0,0,95
Hyderabad (India),1332938,0.0,0.3402061855670103,0.5517241379310345,0.2857142857142857,0.16666666666666666,0.5357047195585793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51,0,0,51
Hyderabad (India),1332920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,-2,0,8,6
Hyderabad (India),1280300,0.0,0.010309278350515464,0.05172413793103448,0.0,0.0,0.13392617988964484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
Hyderabad (India),1280299,0.0,0.31958762886597936,0.3448275862068966,0.5714285714285714,0.16666666666666666,0.7908073070123749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,59,0,0,59
Hyderabad (India),1280288,0.3333333333333333,0.6391752577319587,0.7758620689655172,1.0,0.16666666666666666,0.7220228210210532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2,106,0,16,122
Hyderabad (India),1280249,0.0,0.35051546391752575,0.4310344827586207,0.7142857142857142,0.0,0.7005410617667542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,60,0,0,60
Hyderabad (India),1280230,0.0,1.0,0.9999999999999999,1.0,1.0,0.8807521294262602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,177,0,28,205
Hyderabad (India),1280210,0.0,0.5670103092783505,0.5862068965517241,0.8571428571428571,0.3333333333333333,0.8418063963143515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,103,0,0,103
Hyderabad (India),1244386,0.0,0.13402061855670103,0.27586206896551724,0.14285714285714285,0.0,0.4096533990464456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,17,0,16,33
Hyderabad (India),1244366,0.3333333333333333,0.07216494845360824,0.12068965517241378,0.14285714285714285,0.0,0.4687416296137569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,11
Hyderabad (India),1244349,0.0,0.1958762886597938,0.3448275862068966,0.42857142857142855,0.0,0.4847056302566026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,0,0,31
Hyderabad (India),1244311,0.0,0.15463917525773196,0.2413793103448276,0.0,0.0,0.5357047195585793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,15,0,8,23
