teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
New Zealand,1339618,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-2,0,12,10
New Zealand,1339617,0.0,0.13265306122448978,0.14545454545454545,0.375,0.0,0.9119991020316534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,25
New Zealand,1339616,0.0,0.6530612244897959,0.8909090909090909,0.875,0.3333333333333333,0.7330227859467954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,2,114,0,20,134
New Zealand,1339615,0.0,0.19387755102040816,0.36363636363636365,0.25,0.0,0.5331687058031204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,27,0,8,35
New Zealand,1339614,0.0,0.2040816326530612,0.43636363636363634,0.125,0.0,0.4676731395218318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,24,0,16,40
New Zealand,1322364,0.2857142857142857,0.31632653061224486,0.41818181818181815,0.125,0.16666666666666666,0.7564260859804691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,47,0,6,53
New Zealand,1322363,0.2857142857142857,0.2040816326530612,0.5454545454545454,0.125,0.0,0.37417218543046354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,-2,22,0,16,38
New Zealand,1322362,0.2857142857142857,0.2755102040816326,0.2909090909090909,0.625,0.0,0.9470759905713323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,4,55,0,8,63
New Zealand,1272097,0.2857142857142857,0.5102040816326531,0.6727272727272727,0.25,0.3333333333333333,0.7584465147603545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2,80,0,8,88
New Zealand,1272096,0.2857142857142857,0.21428571428571427,0.4727272727272727,0.125,0.0,0.4533056459759793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,25,0,18,43
New Zealand,1272095,0.5714285714285714,0.0510204081632653,0.16363636363636364,0.0,0.0,0.31181950836233024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5
New Zealand,1272094,0.2857142857142857,0.6632653061224489,0.8727272727272727,0.75,0.16666666666666666,0.7600179593669322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,105,0,12,117
New Zealand,1272093,0.5714285714285714,0.18367346938775508,0.45454545454545453,0.125,0.0,0.4040857559771018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0,22,0,20,42
Durham,1127575,0.2857142857142857,0.16326530612244897,0.23636363636363636,0.125,0.0,0.6907621506341901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,20,0,8,28
Durham,1127555,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Durham,1127546,0.0,0.336734693877551,0.41818181818181815,0.5,0.16666666666666666,0.8052531148277022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2,61,0,8,69
Durham,1127537,0.0,0.5306122448979591,0.8727272727272727,0.5,0.0,0.6079806936805477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,76,0,0,76
Durham,1127534,0.0,0.14285714285714285,0.23636363636363636,0.125,0.16666666666666666,0.6043888202940846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,24,0,8,32
Durham,1127524,0.0,0.7959183673469387,0.8909090909090909,0.625,1.0,0.8933662588393759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,4,150,0,8,158
Durham,1127516,0.0,0.16326530612244897,0.3090909090909091,0.25,0.0,0.5282298798967336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,24,0,16,40
Durham,1127506,0.2857142857142857,0.09183673469387754,0.18181818181818182,0.125,0.0,0.5051071949713772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,13
Durham,1127493,0.2857142857142857,0.1530612244897959,0.2545454545454545,0.25,0.0,0.6013020541025929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,23,0,8,31
Durham,1127484,0.0,0.9999999999999999,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,6,166,0,8,174
Durham,1127482,0.0,0.5918367346938775,0.6181818181818182,0.5,0.6666666666666666,0.9574026265574138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,112,0,0,112
Durham,1127476,0.0,0.42857142857142855,0.6909090909090909,0.75,0.0,0.6203277584465148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,0,0,70
Durham,1127461,0.14285714285714285,0.2755102040816326,0.3090909090909091,0.5,0.16666666666666666,0.8913458300594903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,4,57,0,8,65
Durham,1127451,0.42857142857142855,0.12244897959183673,0.18181818181818182,0.125,0.0,0.6734762599618362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,16,0,16,32
New Zealand,1120093,0.42857142857142855,0.39795918367346933,0.6545454545454545,0.375,0.16666666666666666,0.6079806936805477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,61,0,28,89
