teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
New Zealand,1443545,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6923076923076923,0.0,0.8245614035087718,0.2857142857142857,0.8,0.25,0.0,0.0,0.0,0.16666666666666666,0.5875,0.0,0.0,0.0,0.0,0,0,30,0,30
New Zealand,1443544,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.5438596491228069,0.5714285714285714,0.2,0.5,0.0,0.0,0.0,0.0,0.3875,0.5,0.0,0.0,0.0,0,0,62,8,70
New Zealand,1443543,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6923076923076923,0.0,0.49122807017543857,0.5714285714285714,0.0,0.5,0.0,1.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0,0,69,0,69
Lucknow Super Giants,1426305,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3076923076923077,0.0,0.42105263157894735,0.14285714285714285,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.6000000000000001,0.0,0.0,0.0,0.0,0,0,0,0,0
Lucknow Super Giants,1426282,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.38461538461538464,0.0,0.5614035087719298,0.42857142857142855,0.4,0.0,0.0,0.0,0.0,0.0,0.5335,0.0,0.0,0.0,0.0,0,0,3,0,3
Lucknow Super Giants,1426277,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6923076923076923,0.0,0.49122807017543857,0.42857142857142855,0.0,0.25,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0,0,36,0,36
Lucknow Super Giants,1426272,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.46153846153846156,0.0,0.45614035087719296,0.2857142857142857,0.2,0.0,0.0,0.0,0.0,0.0,0.4335,0.0,0.0,0.0,0.0,0,0,6,0,6
New Zealand,1388220,0.5,0.02857142857142857,0.21428571428571427,0.0,0.0,0.09522857142857143,1.0,1.0,0.6153846153846154,0.0,0.5263157894736842,0.14285714285714285,0.4,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0,1,58,0,59
New Zealand,1388219,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8461538461538463,0.0,0.38596491228070173,0.2857142857142857,0.0,0.5,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0,0,65,0,65
New Zealand,1388218,0.5,0.02857142857142857,0.07142857142857142,0.0,0.0,0.2857142857142857,1.0,1.0,0.6153846153846154,0.0,0.894736842105263,0.5714285714285714,0.8,0.25,0.0,0.0,0.0,0.16666666666666666,0.6375000000000001,0.0,0.0,0.0,0.0,0,1,27,0,28
New Zealand,1388216,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.6153846153846154,0.0,0.5087719298245614,0.14285714285714285,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.48350000000000004,0.5,0.0,0.0,0.0,0,0,8,8,16
New Zealand,1336051,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6153846153846154,0.0,0.5438596491228069,0.42857142857142855,0.2,0.25,0.0,0.0,0.0,0.16666666666666666,0.3875,0.0,0.0,1.0,0.0,0,0,33,12,45
New Zealand,1336050,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7692307692307693,0.0,0.3684210526315789,0.14285714285714285,0.2,0.25,0.0,0.0,0.0,0.0,0.2625,0.0,0.0,0.0,0.0,0,0,39,0,39
Somerset,1347699,0.6666666666666667,0.39999999999999997,1.0,0.0,0.0,0.2857142857142857,0.95825,0.9583333333333333,0.8461538461538463,0.0,0.3333333333333333,0.2857142857142857,0.0,0.75,0.0,0.0,0.0,0.0,0.248,0.5,0.0,0.0,0.0,0,14,96,8,118
Somerset,1347700,0.8333333333333333,0.14285714285714285,0.21428571428571427,0.3333333333333333,0.0,0.47619999999999996,0.875,0.875,0.9230769230769231,0.0,0.42105263157894735,0.42857142857142855,0.2,1.0,1.0,1.0,0.0,0.0,0.343,0.5,0.0,0.0,0.0,0,9,138,8,155
Somerset,1347696,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7692307692307693,0.0,0.47368421052631576,0.14285714285714285,0.2,0.25,0.0,0.0,0.3333333333333333,0.0,0.3375,0.5,0.0,0.0,0.0,0,0,37,8,45
Somerset,1347689,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6153846153846154,0.0,0.7017543859649122,0.2857142857142857,0.6000000000000001,0.5,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0,0,56,12,68
Somerset,1347679,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8461538461538463,0.0,0.5263157894736842,0.5714285714285714,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.375,0.0,0.0,0.0,0.0,0,0,119,0,119
Somerset,1347674,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6923076923076923,0.0,0.49122807017543857,0.2857142857142857,0.2,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666,0.35000000000000003,0.0,0.0,0.0,0.0,0,0,61,0,61
Somerset,1347654,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7692307692307693,0.0,0.42105263157894735,0.42857142857142855,0.0,0.75,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0,0,91,0,91
Somerset,1347644,1.0,0.39999999999999997,0.6428571428571428,0.0,0.6666666666666666,0.4444571428571429,1.0,1.0,0.6923076923076923,0.0,0.9473684210526315,0.5714285714285714,1.0,0.25,0.0,0.0,0.0,0.16666666666666666,0.675,1.0,0.0,0.0,0.0,0,26,28,16,70
Somerset,1347623,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6153846153846154,0.0,0.49122807017543857,0.42857142857142855,0.0,0.25,0.0,0.0,0.0,0.16666666666666666,0.35000000000000003,1.0,0.0,0.0,0.0,0,0,35,16,51
Somerset,1347616,0.8333333333333333,0.3142857142857143,0.42857142857142855,0.0,0.3333333333333333,0.5238,1.0,1.0,0.8461538461538463,0.0,0.2982456140350877,0.14285714285714285,0.0,0.75,0.0,1.0,0.0,0.0,0.21250000000000002,0.5,0.0,0.0,0.0,0,17,104,8,129
Somerset,1347593,0.8333333333333333,0.0,0.07142857142857142,0.0,0.0,0.0,0.75,0.75,0.8461538461538463,0.0,0.15789473684210525,0.14285714285714285,0.0,0.25,0.0,1.0,0.0,0.0,0.15000000000000002,1.0,0.0,0.0,0.0,0,-2,50,16,64
