teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
South Africa,1432211,0.8,0.07692307692307693,0.36363636363636365,0.0,0.0,0.0625,1.0,1.0,0.38461538461538464,0.0,0.9361702127659575,1.0,0.2,0.25,0.0,0.0,1.0,0.5,0.7019783024888321,1.0,0.0,0.0,0.0,0,1,28,8,37
South Africa,1449304,0.8,0.15384615384615385,0.4545454545454546,0.0,0.0,0.1,0.75,0.75,0.38461538461538464,0.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0,2,-1,0,1
South Africa,1449303,1.0,0.38461538461538464,0.18181818181818182,1.0,0.0,0.625,0.75,0.75,0.46153846153846156,0.0,0.7234042553191489,0.4,0.6000000000000001,0.5,0.0,1.0,0.0,0.0,0.7230376515634971,0.0,0.0,0.0,0.0,0,9,60,0,69
South Africa,1449302,0.8,0.5384615384615385,0.9090909090909092,0.0,0.0,0.17500000000000002,0.75,0.75,0.5384615384615385,0.0,0.425531914893617,0.4,0.0,0.25,1.0,0.0,0.0,0.0,0.4256541161455009,0.0,0.0,0.0,0.0,-2,5,42,0,47
South Africa,1449301,0.8,0.46153846153846156,0.36363636363636365,0.0,0.5,0.375,0.5,0.5,0.15384615384615385,0.0,0.5744680851063829,0.4,0.4,0.0,0.0,0.0,0.0,0.5,0.8615188257817485,1.0,0.0,0.0,0.0,0,12,-4,8,16
Dolphins,1444791,0.8,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.23076923076923078,0.0,0.23404255319148937,0.2,0.2,0.25,0.0,0.0,0.0,0.0,0.7019783024888321,0.0,0.0,0.0,0.0,0,0,28,0,28
Dolphins,1444786,0.8,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.15384615384615385,0.0,0.3191489361702128,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.9572431397574983,0.0,0.0,0.0,0.0,0,0,2,0,2
Dolphins,1444783,0.8,0.3076923076923077,0.09090909090909091,1.0,0.0,1.0,1.0,1.0,0.5384615384615385,0.0,0.9361702127659575,1.0,0.4,0.75,0.0,0.0,0.0,0.5,0.7019783024888321,0.0,0.0,0.0,0.0,0,8,84,0,92
Dolphins,1444778,0.6000000000000001,0.6923076923076923,0.8181818181818182,1.0,0.0,0.25,1.0,1.0,1.0,0.0,0.425531914893617,0.4,0.0,1.0,1.0,0.0,0.0,0.5,0.3190810465858328,0.0,0.0,0.0,0.0,0,13,133,0,146
Dolphins,1444774,0.6000000000000001,0.07692307692307693,0.36363636363636365,0.0,0.0,0.0625,1.0,1.0,0.6153846153846154,0.0,0.7659574468085106,0.2,0.6000000000000001,0.5,0.0,0.0,0.0,0.5,0.574345883854499,0.0,0.0,0.0,0.0,0,1,58,0,59
Dolphins,1444770,0.40000000000000013,0.5384615384615385,0.5454545454545454,1.0,0.0,0.291675,1.0,1.0,0.6153846153846154,0.0,0.9787234042553191,0.4,0.8,0.5,0.0,0.0,1.0,0.5,0.7338864071474154,0.0,0.0,0.0,0.0,0,11,54,0,65
Dolphins,1334921,0.0,0.6153846153846154,1.0,1.0,0.0,0.18182500000000001,0.25,0.25,0.15384615384615385,0.0,0.1702127659574468,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5105296745373324,0.0,0.0,0.0,0.0,0,12,2,0,14
Dolphins,1334920,0.6000000000000001,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2,0,0,-2
Dolphins,1334907,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.07692307692307693,0.0,0.1702127659574468,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5105296745373324,0.0,0.0,0.0,0.0,0,0,1,0,1
Dolphins,1334901,0.6000000000000001,0.38461538461538464,0.8181818181818182,0.0,0.0,0.1389,0.33325,0.3333333333333333,0.0,0.0,0.3404255319148936,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.7657945118059987,0.0,0.0,0.0,0.0,0,5,0,0,5
Dolphins,1334896,0.6000000000000001,1.0,0.36363636363636365,0.0,1.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,25
Dolphins,1334891,0.6000000000000001,0.07692307692307693,0.09090909090909091,0.0,0.0,0.25,0.75,0.75,0.5384615384615385,0.0,0.5319148936170213,0.6000000000000001,0.2,0.5,0.0,0.0,0.0,0.0,0.5315890236119974,0.0,0.0,0.0,0.0,0,1,57,0,58
