teamname,match_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Melbourne Stars,1023645,1.0,0.29545454545454547,0.3773584905660377,0.2,0.3333333333333333,0.45348309903373213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2,48,0,8,56
Melbourne Stars,1023643,1.0,0.045454545454545456,0.09433962264150943,0.0,0.0,0.2790665224822967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
Melbourne Stars,1023635,1.0,0.32954545454545453,0.5283018867924528,0.6000000000000001,0.0,0.3612864966686433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45,0,0,45
Melbourne Stars,1023631,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,0,8,8
Melbourne Stars,1023623,1.0,0.17045454545454547,0.1509433962264151,0.2,0.16666666666666666,0.6540621620678829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,25,0,16,41
Melbourne Stars,1023617,1.0,0.3068181818181818,0.20754716981132074,0.6000000000000001,0.16666666666666666,0.8562109742909966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,55,0,0,55
Melbourne Stars,1023611,0.5,0.17045454545454547,0.20754716981132074,0.2,0.16666666666666666,0.4756688875710748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,27,0,0,27
Melbourne Stars,1023603,0.5,0.2272727272727273,0.24528301886792453,0.8,0.0,0.5366798060487669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,40,0,0,40
Melbourne Stars,1023591,0.5,0.011363636363636364,0.07547169811320754,0.0,0.0,0.08720828827571772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
Melbourne Stars,897763,0.75,0.23863636363636365,0.2641509433962264,0.4,0.16666666666666666,0.5232497296543063,0.25,0.25,0.18181818181818182,0.0,0.23684210526315788,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.47368421052631576,0.6666666666666666,0.0,0.0,0.0,0,35,27,16,78
