,Team,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
0,Cumilla Warriors,6c882e9a,0.0,0.5245901639344263,0.3846153846153846,0.5714285714285714,0.5,0.9442305138759793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,70,0,0,70
1,Cumilla Warriors,4d9f9686,0.1,0.6721311475409837,0.8717948717948718,0.7142857142857142,0.25,0.5337493914044174,0.5,0.5,0.2727272727272727,0.0,0.2909090909090909,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0,71,28,0,99
2,Cumilla Warriors,7147f314,0.20000000000000004,0.8032786885245902,1.0,0.42857142857142855,0.5,0.5561014473509495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,77,0,20,97
3,Cumilla Warriors,ad9c32a2,0.30000000000000004,0.6885245901639344,0.5897435897435898,0.2857142857142857,0.75,0.808259195325986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,78,0,0,78
4,Cumilla Warriors,3ff033bb,0.4,0.19672131147540983,0.1794871794871795,0.0,0.25,0.7587748417651485,0.5,0.5,0.2727272727272727,0.0,0.2909090909090909,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.47058823529411764,1.0,0.0,0.0,0.0,0,18,3,8,29
5,Cumilla Warriors,5791b840,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
6,Cumilla Warriors,dac6aabc,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,6,6
7,Cumilla Warriors,31803fac,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6363636363636364,0.0,0.7090909090909091,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5735294117647058,0.0,0.0,1.0,0.0,0,0,7,12,19
8,Cumilla Warriors,0f348f58,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5454545454545454,0.0,0.6909090909090909,0.75,0.4,0.5,0.0,0.0,0.0,0.3333333333333333,0.5588235294117647,0.0,0.0,0.0,0.0,0,0,31,0,31
9,Cumilla Warriors,7d92277a,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.45454545454545453,0.75,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3676470588235294,0.0,0.0,0.0,0.0,0,0,79,0,79
10,Cumilla Warriors,3f5f39cd,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5454545454545454,0.0,0.8181818181818181,1.0,0.4,0.5,0.0,0.0,1.0,0.0,0.6617647058823529,1.0,0.0,0.0,1.0,0,0,27,14,41
11,Rangpur Rangers,d6dcb0c9,0.0,1.0,0.6923076923076923,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,127,0,0,127
