Team,name,player_id,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
Ghana,Amoluk Singh,266473e2,1,80,56,8,4,142.86,"[3, 5, 19]",3.0,18,5,0,28,2,1,0,0,0,0,1,9.33,0,0,0,0,2,150,5,0,155
Ghana,R Bakum,c74c583b,2,0,6,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,-2,0,16,14
Ghana,KF Bakiweyem,49fd9963,3,0,6,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
Ghana,OH Agbomadzie,b38a9f73,4,46,37,5,1,124.32,"[7, 9, 15, 17]",4.0,24,10,0,30,2,2,0,0,0,0,0,7.5,0,0,0,0,0,76,10,0,86
Ghana,JK Vifah,a1448a10,5,8,4,1,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,12,0,0,12
Ghana,SK Awiah,bc3fc527,6,0,0,0,0,0.0,"[8, 10, 12]",3.0,18,3,0,29,0,2,1,0,0,0,0,9.67,0,0,0,1,0,0,28,6,34
Ghana,Devender Singh,68e21fb1,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Ghana,G Bakiweyem,5fe3709e,8,0,0,0,0,0.0,"[1, 6, 18, 20]",4.0,24,10,0,26,4,0,1,1,0,0,1,6.5,1,0,1,0,0,0,45,20,65
Ghana,TK Joseph,4fafd79a,9,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,6,6
Ghana,MK Anafie,6949f713,10,0,0,0,0,0.0,"[11, 13]",2.0,12,9,0,5,0,0,1,0,0,0,2,2.5,0,0,0,0,0,0,40,0,40
Ghana,KS Bagabena,1ce4f664,11,0,0,0,0,0.0,"[2, 4, 14, 16]",4.0,24,11,0,27,1,2,3,0,1,0,0,6.75,0,0,0,0,0,0,100,0,100
Rwanda,E Dusingizimana,c15e7ba4,1,19,15,2,1,126.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,33,0,8,41
Rwanda,E Niyomugabo,2dcac6ff,2,51,42,3,2,121.43,[14],1.0,6,1,0,11,0,1,0,0,0,0,0,11.0,0,0,0,0,0,83,1,0,84
Rwanda,O Tuyisenge,e6a6888f,3,2,2,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
Rwanda,Bosco Tuyizere,3c370b92,4,10,11,1,0,90.91,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
Rwanda,S Samal,c7e3c349,5,1,2,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
Rwanda,C Rububagumya,8088632c,6,4,7,0,0,57.14,"[2, 4, 12, 19]",3.167,19,13,1,9,0,0,2,0,0,0,1,2.84,0,0,0,0,0,4,81,0,85
Rwanda,M Akayezu,1f3b9f8d,7,10,9,0,1,111.11,"[7, 9, 11, 17]",4.0,24,8,0,39,4,2,0,0,0,0,0,9.75,0,0,0,0,0,16,8,0,24
Rwanda,D Uwimana,1f8e97d7,8,5,10,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,-4,1,0,12,13
Rwanda,Z Bimenyimana,ba57fb08,9,25,10,2,2,250.0,"[3, 5, 13, 18]",4.0,24,8,0,31,4,0,0,0,0,1,2,7.75,0,0,0,0,6,55,8,0,63
Rwanda,P Vekaria,b68b1633,10,14,12,1,1,116.67,"[6, 8, 15]",3.0,18,6,0,31,5,1,0,0,0,0,0,10.33,1,0,0,0,0,24,4,8,36
Rwanda,K Irakoze,9ccb6e52,11,0,0,0,0,0.0,"[1, 10, 16]",3.0,18,8,0,18,1,1,0,0,0,0,1,6.0,0,0,0,0,0,0,10,0,10
