date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2015-11-26'],Bangladesh Premier League,935301,Chittagong Vikings,11,4,6,1,0,66.67,"[2, 8, 10, 12]",4.0,24,18,0,12,2,0,0,0,0,0,0,3.0,0,0,0,0,0,8,24,0,32
['2015-11-24'],Bangladesh Premier League,935291,Chittagong Vikings,8,0,0,0,0,0.0,"[6, 12, 14]",3.0,18,5,0,35,1,2,0,0,0,0,9,11.67,0,0,0,0,0,0,1,0,1
['2015-08-14'],NatWest T20 Blast,804703,Worcestershire,10,0,0,0,0,0.0,"[3, 5, 15, 17]",4.0,24,5,0,38,3,1,0,0,0,0,1,9.5,0,0,0,0,0,0,5,0,5
['2015-07-17'],NatWest T20 Blast,804663,Worcestershire,11,0,0,0,0,0.0,"[8, 11, 13, 15]",4.0,24,9,0,21,1,0,2,0,0,0,0,5.25,0,0,0,0,0,0,63,0,63
['2015-07-14'],NatWest T20 Blast,804657,Worcestershire,11,0,0,0,0,0.0,"[3, 12, 14, 16]",4.0,24,8,0,21,0,0,2,0,0,0,0,5.25,1,0,0,0,0,0,62,8,70
['2015-07-10'],NatWest T20 Blast,804645,Worcestershire,10,0,0,0,0,0.0,"[6, 12, 16, 18]",4.0,24,8,0,30,3,1,1,0,0,0,0,7.5,0,0,0,0,0,0,33,0,33
['2015-07-05'],NatWest T20 Blast,804631,Worcestershire,10,0,0,0,0,0.0,"[6, 13, 15, 17]",4.0,24,13,0,13,1,0,3,0,0,0,1,3.25,0,0,0,0,0,0,98,0,98
['2015-07-03'],NatWest T20 Blast,804619,Worcestershire,11,0,0,0,0,0.0,"[6, 9, 16, 18]",4.0,24,5,0,33,2,1,2,0,1,0,0,8.25,0,0,0,0,0,0,63,0,63
['2015-06-26'],NatWest T20 Blast,804601,Worcestershire,10,0,0,0,0,0.0,"[5, 7, 14, 18]",4.0,24,10,0,41,2,4,2,0,0,0,0,10.25,0,0,0,0,0,0,58,0,58
['2015-06-19'],NatWest T20 Blast,804577,Worcestershire,10,0,0,0,0,0.0,"[8, 10, 12, 17]",4.0,24,8,0,25,2,0,0,0,0,0,0,6.25,0,0,0,0,0,0,10,0,10
['2015-06-18'],NatWest T20 Blast,804561,Worcestershire,11,0,0,0,0,0.0,"[6, 9, 15, 18]",4.0,24,12,0,31,4,1,2,0,0,0,0,7.75,0,0,0,0,0,0,62,0,62
['2015-06-12'],NatWest T20 Blast,804535,Worcestershire,10,0,0,0,0,0.0,"[4, 6, 14, 18]",4.0,24,14,1,16,0,1,3,0,0,0,0,4.0,0,0,0,0,0,0,111,0,111
['2015-06-07'],NatWest T20 Blast,804527,Worcestershire,11,1,1,0,0,100.0,"[7, 9, 11, 17]",4.0,24,6,0,26,0,1,1,0,0,0,1,6.5,0,0,0,0,0,1,33,0,34
['2015-06-05'],NatWest T20 Blast,804515,Worcestershire,11,0,0,0,0,0.0,"[7, 9, 14, 18]",4.0,24,4,0,53,4,3,3,1,0,2,1,13.25,0,0,0,0,0,0,85,0,85
['2015-04-24'],NA,858491,Pakistan,11,0,0,0,0,0.0,"[5, 10, 15, 17]",3.333,20,6,0,25,3,0,0,0,0,0,0,7.5,0,0,1,0,0,0,6,12,18
['2014-07-11'],NatWest T20 Blast,693205,Worcestershire,10,0,0,0,0,0.0,"[4, 7, 13, 19]",4.0,24,12,0,17,1,0,3,0,0,0,1,4.25,0,0,0,0,0,0,97,0,97
['2014-07-06'],NatWest T20 Blast,693187,Worcestershire,10,0,0,0,0,0.0,"[4, 9, 13, 16]",4.0,24,8,0,34,3,1,1,0,0,0,1,8.5,0,0,0,0,0,0,33,0,33
['2014-06-20'],NatWest T20 Blast,693123,Worcestershire,10,0,0,0,0,0.0,"[4, 12, 15, 17]",4.0,24,13,0,10,0,0,0,0,0,0,0,2.5,1,0,0,0,0,0,19,8,27
['2014-06-13'],NatWest T20 Blast,693107,Worcestershire,10,0,0,0,0,0.0,"[3, 11, 15, 18]",4.0,24,9,0,29,1,2,1,0,0,0,1,7.25,0,0,0,0,0,0,34,0,34
['2014-06-07'],NatWest T20 Blast,693089,Worcestershire,10,0,0,0,0,0.0,"[4, 9, 11]",3.0,18,8,0,14,1,0,0,0,0,0,0,4.67,0,0,0,0,0,0,14,0,14
['2014-06-06'],NatWest T20 Blast,693079,Worcestershire,9,0,0,0,0,0.0,"[4, 14, 16, 19]",4.0,24,9,0,23,1,1,2,1,0,0,0,5.75,0,0,0,0,0,0,71,0,71
['2014-05-30'],NatWest T20 Blast,693059,Worcestershire,10,0,0,0,0,0.0,"[5, 12, 16, 18]",4.0,24,12,0,14,0,0,1,1,0,0,2,3.5,0,0,0,0,0,0,51,0,51
['2014-05-23'],NatWest T20 Blast,693031,Worcestershire,10,0,0,0,0,0.0,"[5, 13, 16, 18]",4.0,24,12,0,21,2,0,2,0,0,0,0,5.25,0,0,0,0,0,0,66,0,66
['2014-05-17'],NatWest T20 Blast,693027,Worcestershire,10,0,0,0,0,0.0,"[4, 10, 16, 19]",4.0,24,9,0,30,2,0,1,0,0,0,2,7.5,0,0,0,0,0,0,34,0,34
['2014-05-16'],NatWest T20 Blast,693017,Worcestershire,10,16,7,1,1,228.57,"[9, 16, 18, 20]",4.0,24,6,0,45,3,3,1,0,0,0,0,11.25,0,0,0,0,0,26,27,0,53
['2014-04-01'],World T20,682959,Pakistan,10,1,3,0,0,33.33,"[10, 15, 17, 19]",4.0,24,8,0,41,3,3,0,0,0,0,1,10.25,0,0,0,0,0,1,6,0,7
['2014-03-30'],World T20,682949,Pakistan,11,0,0,0,0,0.0,"[6, 13, 17]",3.0,18,8,0,20,2,1,2,0,0,0,0,6.67,1,0,0,0,0,0,60,8,68
['2014-03-23'],World T20,682927,Pakistan,11,0,0,0,0,0.0,"[6, 10, 15, 18]",4.0,24,9,0,33,3,2,1,0,1,0,0,8.25,1,0,0,0,0,0,42,8,50
['2014-03-21'],World T20,682921,Pakistan,10,0,0,0,0,0.0,"[5, 10, 14, 17]",4.0,24,15,0,18,3,0,1,0,1,0,0,4.5,1,0,0,0,0,0,54,8,62
['2014-02-06'],Ram Slam T20 Challenge,716623,Titans,10,1,3,0,0,33.33,"[5, 12, 16, 20]",4.0,24,9,0,33,5,1,1,0,0,0,0,8.25,0,0,0,0,0,1,34,0,35
['2014-02-02'],Ram Slam T20 Challenge,652313,Titans,11,0,0,0,0,0.0,"[5, 11, 17, 19]",4.0,24,10,0,24,1,1,3,0,2,0,1,6.0,0,0,0,0,0,0,107,0,107
['2014-01-29'],Ram Slam T20 Challenge,652305,Titans,10,0,0,0,0,0.0,"[4, 7, 14, 16]",4.0,24,12,0,23,2,0,2,0,0,0,1,5.75,0,0,0,0,0,0,66,0,66
['2014-01-24'],Ram Slam T20 Challenge,652293,Titans,10,0,0,0,0,0.0,"[6, 10, 12]",2.667,16,8,0,12,1,0,3,0,1,0,0,4.5,0,0,0,0,0,0,101,0,101
['2014-01-22'],Ram Slam T20 Challenge,652285,Titans,10,0,0,0,0,0.0,"[5, 12, 18, 20]",4.0,24,14,0,21,1,1,3,0,2,0,1,5.25,0,0,0,0,0,0,113,0,113
['2013-12-13'],Pakistan v Sri Lanka T20I Series,657635,Pakistan,10,20,14,1,1,142.86,"[6, 12, 14, 16]",4.0,24,10,0,25,1,1,2,0,0,0,2,6.25,0,0,0,1,2,32,62,6,100
['2013-12-11'],Pakistan v Sri Lanka T20I Series,657633,Pakistan,10,0,0,0,0,0.0,"[6, 14, 16, 19]",4.0,24,5,0,35,3,1,2,1,0,0,1,8.75,0,0,0,0,0,0,63,0,63
['2013-11-22'],Pakistan in South Africa T20I Series,685729,Pakistan,10,0,0,0,0,0.0,"[6, 13, 16, 18]",4.0,24,3,0,30,1,1,1,0,0,0,0,7.5,0,0,0,0,0,0,28,0,28
['2013-11-15'],Pakistan v South Africa T20I Series,649103,Pakistan,10,7,10,0,0,70.0,"[5, 13, 15, 19]",4.0,24,10,0,25,1,1,3,1,0,0,0,6.25,0,0,0,0,-2,5,99,0,104
['2013-11-13'],Pakistan v South Africa T20I Series,649101,Pakistan,10,0,1,0,0,0.0,"[6, 8, 10, 14]",4.0,24,16,0,12,1,0,0,0,0,0,0,3.0,0,0,0,0,0,-2,22,0,20
['2013-08-23'],Pakistan in Zimbabwe T20I Series,659545,Pakistan,9,0,0,0,0,0.0,"[6, 15, 17, 19]",4.0,24,10,0,30,2,1,0,0,0,0,6,7.5,0,0,0,0,0,0,10,0,10
['2013-07-28'],Pakistan in West Indies T20I Series,645647,Pakistan,10,0,0,0,0,0.0,"[11, 14, 16, 19]",4.0,24,13,0,21,1,1,2,0,0,0,0,5.25,0,0,0,0,0,0,67,0,67
['2013-07-27'],Pakistan in West Indies T20I Series,645645,Pakistan,9,0,1,0,0,0.0,"[6, 11, 13, 18]",4.0,24,15,0,23,3,0,0,0,0,0,5,5.75,1,0,0,0,0,0,19,8,27
['2013-03-03'],Pakistan in South Africa T20I Series,567367,Pakistan,9,0,0,0,0,0.0,"[9, 11]",2.0,12,6,0,19,2,1,0,0,0,0,0,9.5,2,0,0,0,0,0,6,16,22
['2012-12-28'],Pakistan in India T20I Series,589307,Pakistan,10,0,0,0,0,0.0,"[6, 10, 15, 19]",4.0,24,6,0,42,1,4,0,0,0,0,0,10.5,0,0,1,0,0,0,4,12,16
['2012-12-25'],Pakistan in India T20I Series,589306,Pakistan,10,0,0,0,0,0.0,"[8, 10, 16, 18]",4.0,24,11,0,25,2,1,2,0,2,0,1,6.25,0,0,0,0,0,0,79,0,79
['2012-12-09'],Big Bash League,571235,Adelaide Strikers,11,0,0,0,0,0.0,"[5, 13, 18, 20]",4.0,24,8,0,22,1,0,1,0,0,0,0,5.5,0,0,0,0,0,0,37,0,37
['2012-10-04'],ICC World Twenty20,533296,Pakistan,10,0,0,0,0,0.0,"[6, 12, 17, 19]",4.0,24,7,0,33,5,0,1,0,0,0,1,8.25,0,0,0,0,0,0,32,0,32
['2012-10-02'],ICC World Twenty20,533294,Pakistan,10,0,0,0,0,0.0,"[6, 10, 16, 19]",4.0,24,11,0,17,1,0,3,2,1,0,1,4.25,0,0,0,0,0,0,120,0,120
['2012-09-30'],ICC World Twenty20,533291,Pakistan,10,1,2,0,0,50.0,"[6, 12, 14, 17]",4.0,24,11,0,25,2,1,0,0,0,0,0,6.25,0,0,0,0,0,1,13,0,14
['2012-09-28'],ICC World Twenty20,533286,Pakistan,10,4,1,1,0,400.0,"[6, 12, 15, 17]",4.0,24,9,0,26,4,0,1,0,1,0,0,6.5,0,0,0,0,0,8,44,0,52
['2012-09-25'],ICC World Twenty20,533283,Pakistan,11,0,0,0,0,0.0,"[10, 12, 17, 19]",4.0,24,4,0,32,3,0,0,0,0,0,0,8.0,0,0,0,0,0,0,4,0,4
['2012-09-23'],ICC World Twenty20,533280,Pakistan,11,0,0,0,0,0.0,"[12, 15, 17, 20]",4.0,24,10,0,30,4,1,4,0,1,0,0,7.5,0,0,0,0,0,0,126,0,126
['2012-09-10'],Pakistan v Australia T20I Series,571150,Pakistan,10,1,5,0,0,20.0,"[6, 10, 17, 19]",4.0,24,13,0,19,0,2,2,0,2,0,0,4.75,0,0,0,0,0,1,85,0,86
['2012-09-07'],Pakistan v Australia T20I Series,571149,Pakistan,11,0,0,0,0,0.0,"[5, 11, 15, 18]",4.0,24,10,0,20,0,1,2,1,1,0,0,5.0,0,0,0,0,0,0,80,0,80
