date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-20'],Gulf T20I Championship,1463665,Bahrain,5,27,26,3,1,103.85,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,49,0,0,49
['2024-12-17'],Gulf T20I Championship,1463661,Bahrain,4,16,20,0,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,16,0,16,32
['2024-12-16'],Gulf T20I Championship,1463658,Bahrain,4,52,32,7,2,162.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,4,104,0,16,120
['2024-12-14'],Gulf T20I Championship,1463654,Bahrain,5,9,11,0,0,81.82,[18],1.0,6,2,0,19,0,3,1,0,0,0,0,19.0,0,0,0,1,0,9,27,6,42
['2024-12-13'],Gulf T20I Championship,1463652,Bahrain,5,19,19,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2024-11-28'],ICC Men's T20 World Cup Asia Qualifier B,1459278,Bahrain,4,35,31,2,1,112.9,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,53,0,0,53
['2024-11-26'],ICC Men's T20 World Cup Asia Qualifier B,1457233,Bahrain,4,79,37,2,8,213.51,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,153,0,8,161
['2024-11-25'],ICC Men's T20 World Cup Asia Qualifier B,1457229,Bahrain,6,68,42,4,4,161.9,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,4,120,0,6,126
['2024-11-23'],ICC Men's T20 World Cup Asia Qualifier B,1457226,Bahrain,5,68,47,6,3,144.68,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,120,0,0,120
['2024-11-22'],ICC Men's T20 World Cup Asia Qualifier B,1457224,Bahrain,5,20,26,2,0,76.92,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,28,0,0,28
['2024-11-19'],ICC Men's T20 World Cup Asia Qualifier B,1457219,Bahrain,5,67,50,6,2,134.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,113,0,0,113
['2024-10-29'],Bahrain tour of Uganda,1457351,Bahrain,6,54,45,4,2,120.0,[11],1.0,6,1,0,11,0,1,0,0,0,0,1,11.0,0,0,0,0,0,90,1,0,91
['2024-10-28'],Bahrain tour of Uganda,1457350,Bahrain,4,4,8,0,0,50.0,[9],1.0,6,4,0,7,0,1,3,0,1,0,0,7.0,0,0,0,0,0,4,91,0,95
['2024-04-16'],ACC Men's Premier Cup,1426470,Bahrain,4,39,27,3,3,144.44,"[14, 16, 18]",2.333,14,7,0,11,1,0,3,0,3,0,0,4.71,0,0,0,0,2,75,116,0,191
['2024-04-15'],ACC Men's Premier Cup,1426468,Bahrain,3,18,11,4,0,163.64,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,38,0,0,38
['2024-04-13'],ACC Men's Premier Cup,1426460,Bahrain,5,6,7,0,0,85.71,[12],1.0,6,2,0,17,1,2,0,0,0,0,0,17.0,0,0,0,0,0,6,2,0,8
['2024-04-12'],ACC Men's Premier Cup,1426455,Bahrain,5,47,27,3,3,174.07,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,87,0,0,87
