date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-29'],Bangladesh Premier League,1459573,Rangpur Riders,6,1,2,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2025-01-23'],Bangladesh Premier League,1459567,Rangpur Riders,2,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-02-17'],Bangladesh Premier League,1412309,Durdanto Dhaka,7,14,8,1,1,175.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2024-02-16'],Bangladesh Premier League,1412306,Durdanto Dhaka,5,25,25,3,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,47,0,0,47
['2024-02-07'],Bangladesh Premier League,1412297,Durdanto Dhaka,7,8,10,0,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,8,0,16,24
['2024-02-06'],Bangladesh Premier League,1412294,Durdanto Dhaka,7,21,15,2,1,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,37,0,0,37
['2024-02-02'],Bangladesh Premier League,1412290,Durdanto Dhaka,6,4,9,0,0,44.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,0,8,12
['2024-01-29'],Bangladesh Premier League,1412287,Durdanto Dhaka,6,3,4,0,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2024-01-27'],Bangladesh Premier League,1412285,Durdanto Dhaka,7,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,-2,0,14,12
['2024-01-22'],Bangladesh Premier League,1412278,Durdanto Dhaka,6,27,24,2,0,112.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,39,0,0,39
['2024-01-19'],Bangladesh Premier League,1412274,Durdanto Dhaka,4,24,16,1,2,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,40,0,8,48
['2023-02-07'],Bangladesh Premier League,1351088,Chattogram Challengers,2,7,9,1,0,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2023-01-28'],Bangladesh Premier League,1351079,Chattogram Challengers,7,9,6,1,0,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,13,0,12,25
['2023-01-27'],Bangladesh Premier League,1351077,Chattogram Challengers,7,20,17,1,1,117.65,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,30,0,24,54
['2023-01-16'],Bangladesh Premier League,1351065,Chattogram Challengers,4,5,11,0,0,45.45,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-1,0,0,-1
['2023-01-13'],Bangladesh Premier League,1351060,Chattogram Challengers,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2023-01-09'],Bangladesh Premier League,1351057,Chattogram Challengers,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-02-01'],Bangladesh Premier League,1296700,Fortune Barishal,7,5,5,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,5,0,8,13
['2022-01-31'],Bangladesh Premier League,1296698,Fortune Barishal,8,6,3,1,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2022-01-29'],Bangladesh Premier League,1296695,Fortune Barishal,8,2,4,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2022-01-21'],Bangladesh Premier League,1296685,Fortune Barishal,5,16,13,1,1,123.08,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,26,0,8,34
['2020-01-17'],Bangladesh Premier League,1208112,Rajshahi Royals,3,52,35,6,2,148.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,98,0,0,98
['2020-01-15'],Bangladesh Premier League,1208111,Rajshahi Royals,3,45,42,6,0,107.14,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,73,0,18,91
['2020-01-07'],Bangladesh Premier League,1208102,Rajshahi Royals,3,18,17,2,0,105.88,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,26,0,8,34
['2020-01-04'],Bangladesh Premier League,1208100,Rajshahi Royals,4,10,9,0,1,111.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,16,0,26,42
['2020-01-02'],Bangladesh Premier League,1208095,Rajshahi Royals,4,20,20,1,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,30,0,0,30
['2019-12-28'],Bangladesh Premier League,1208089,Rajshahi Royals,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2017-12-05'],Bangladesh Premier League,1121284,Chittagong Vikings,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2017-12-03'],Bangladesh Premier League,1121281,Chittagong Vikings,7,15,13,3,0,115.38,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,27,0,0,27
