date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-03'],Big Bash League,1443078,Perth Scorchers,1,23,23,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,27,0,12,39
['2024-12-31'],Big Bash League,1443073,Perth Scorchers,1,3,7,0,0,42.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,3,0,28,31
['2024-12-26'],Big Bash League,1443068,Perth Scorchers,2,28,25,2,1,112.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,46,0,8,54
['2024-12-21'],Big Bash League,1443063,Perth Scorchers,6,6,10,0,0,60.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,4,0,0,4
['2024-12-15'],Big Bash League,1443057,Perth Scorchers,4,4,5,1,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,8,0,16,24
['2024-09-04'],Vitality Blast,1410497,Lancashire,3,6,8,1,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2024-07-19'],Vitality Blast,1410492,Lancashire,5,30,22,1,1,136.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,46,0,8,54
['2024-07-17'],Vitality Blast,1410482,Lancashire,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-07-07'],Vitality Blast,1410454,Lancashire,3,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
['2024-06-20'],Vitality Blast,1410433,Lancashire,4,15,15,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,19,0,8,27
['2024-06-16'],Vitality Blast,1410423,Lancashire,4,32,17,4,1,188.24,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,64,0,0,64
['2024-06-14'],Vitality Blast,1410415,Lancashire,5,32,24,4,1,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,60,0,0,60
['2024-06-09'],Vitality Blast,1410405,Lancashire,5,33,22,2,1,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,51,0,8,59
['2024-06-07'],Vitality Blast,1410397,Lancashire,5,7,6,0,0,116.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,7,0,8,15
['2024-06-02'],Vitality Blast,1410388,Lancashire,6,27,24,2,1,112.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,45,0,0,45
['2024-05-31'],Vitality Blast,1410382,Lancashire,5,45,33,3,2,136.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,75,0,0,75
['2024-05-30'],Vitality Blast,1410373,Lancashire,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
