date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-05-17'],Indian Premier League,1426305,Mumbai Indians,12,0,0,0,0,0.0,"[2, 5, 15]",2.333,14,7,0,22,1,2,0,0,0,0,1,9.43,0,0,0,0,0,0,7,0,7
['2023-10-21'],Syed Mushtaq Ali Trophy,1383499,Goa,11,0,0,0,0,0.0,"[1, 3, 18, 20]",4.0,24,16,0,17,0,1,0,0,0,0,6,4.25,0,0,0,0,0,0,22,0,22
['2023-10-19'],Syed Mushtaq Ali Trophy,1383480,Goa,11,0,0,0,0,0.0,"[1, 6, 17, 19]",4.0,24,6,0,57,6,3,2,1,0,0,6,14.25,0,0,0,0,0,0,58,0,58
['2023-04-25'],Indian Premier League,1359509,Mumbai Indians,9,13,9,0,1,144.44,"[1, 3]",2.0,12,7,0,9,0,0,1,0,0,0,0,4.5,0,0,0,0,0,19,38,0,57
['2023-04-22'],Indian Premier League,1359505,Mumbai Indians,10,0,0,0,0,0.0,"[1, 7, 16]",3.0,18,4,0,48,6,2,1,1,0,1,4,16.0,0,0,0,0,0,0,31,0,31
['2023-04-18'],Indian Premier League,1359499,Mumbai Indians,9,0,0,0,0,0.0,"[1, 3, 20]",2.833,17,7,0,18,2,0,1,0,0,0,3,6.35,0,0,0,0,0,0,34,0,34
['2023-04-16'],Indian Premier League,1359496,Mumbai Indians,9,0,0,0,0,0.0,"[1, 3]",2.0,12,5,0,17,1,1,0,0,0,0,1,8.5,0,0,0,0,0,0,5,0,5
['2022-10-22'],Syed Mushtaq Ali Trophy,1333031,Goa,3,0,7,0,0,0.0,"[1, 12, 17]",3.0,18,8,0,16,1,0,1,0,0,0,2,5.33,0,0,0,0,0,-2,37,0,35
['2022-10-20'],Syed Mushtaq Ali Trophy,1333012,Goa,3,15,12,1,1,125.0,"[1, 3, 16]",3.0,18,6,0,28,4,0,1,0,0,1,2,9.33,0,0,0,0,0,25,31,0,56
['2022-10-14'],Syed Mushtaq Ali Trophy,1332956,Goa,9,2,3,0,0,66.67,"[1, 3, 17, 19]",4.0,24,16,1,10,1,0,4,2,0,0,0,2.5,0,0,0,0,0,2,158,0,160
['2021-01-17'],Syed Mushtaq Ali Trophy,1244375,Mumbai,11,3,7,0,0,42.86,"[2, 4, 14, 16]",4.0,24,10,0,33,3,1,1,0,0,0,5,8.25,0,0,0,0,0,3,35,0,38
['2021-01-15'],Syed Mushtaq Ali Trophy,1244357,Mumbai,11,0,0,0,0,0.0,"[2, 4, 13]",3.0,18,6,0,34,5,1,1,0,0,0,1,11.33,0,0,0,0,0,0,27,0,27
