date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-12'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439829,Belgium,10,0,0,0,0,0.0,"[7, 9, 11]",3.0,18,6,0,25,1,2,0,0,0,0,0,8.33,0,0,0,0,0,0,6,0,6
['2024-07-10'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439821,Belgium,6,0,4,0,0,0.0,[10],1.0,6,1,0,16,0,2,0,0,0,0,0,16.0,1,0,0,0,0,-2,1,8,7
['2024-07-08'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439818,Belgium,7,19,6,0,2,316.67,"[10, 12]",2.0,12,3,0,17,1,1,0,0,0,0,0,8.5,0,0,0,1,0,31,3,6,40
['2024-07-07'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1439815,Belgium,5,6,8,0,0,75.0,"[9, 11]",2.0,12,5,0,15,1,1,0,0,0,0,0,7.5,0,0,0,0,0,6,5,0,11
['2024-05-12'],Mdina Cup,1432200,Belgium,6,0,2,0,0,0.0,[14],1.0,6,2,0,11,2,0,0,0,0,0,1,11.0,1,0,0,0,0,0,2,8,10
['2024-05-11'],Mdina Cup,1432198,Belgium,6,0,0,0,0,0.0,"[10, 12, 14, 16]",4.0,24,12,0,30,0,3,1,0,0,0,0,7.5,0,0,0,1,0,0,37,6,43
['2024-05-11'],Mdina Cup,1432199,Belgium,5,7,11,0,0,63.64,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,5,0,0,5
['2024-05-10'],Mdina Cup,1432196,Belgium,4,19,28,1,1,67.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,27,0,0,27
['2024-05-10'],Mdina Cup,1432197,Belgium,4,17,14,1,1,121.43,"[8, 10, 12, 14]",4.0,24,13,0,19,0,1,2,0,1,0,2,4.75,2,0,0,0,0,27,77,16,120
['2023-06-11'],Belgium tour of Germany,1380584,Belgium,4,9,11,0,1,81.82,"[10, 12]",2.0,12,3,0,23,4,0,0,0,0,0,1,11.5,0,0,0,0,0,15,-1,0,14
['2023-06-10'],Belgium tour of Germany,1380583,Belgium,5,48,24,1,6,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,98,0,0,98
['2022-07-04'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320986,Belgium,7,9,11,0,0,81.82,"[9, 11]",2.0,12,5,0,12,1,0,1,0,0,0,0,6.0,0,0,0,1,0,9,32,6,47
['2022-07-02'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320982,Belgium,6,0,2,0,0,0.0,"[11, 13, 15, 17]",3.167,19,9,0,16,2,0,1,0,0,0,0,5.05,0,0,0,1,0,-2,38,6,42
['2022-07-01'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320980,Belgium,6,2,3,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2022-06-29'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320976,Belgium,4,26,46,2,1,56.52,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-4,40,0,8,48
['2022-06-28'],ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320969,Belgium,5,4,3,1,0,133.33,[15],1.0,6,0,0,11,0,1,0,0,0,0,0,11.0,0,0,0,0,0,8,0,0,8
['2021-07-10'],Belgium tour of Malta,1268191,Belgium,8,14,17,0,1,82.35,"[11, 13, 15]",3.0,18,7,0,15,1,0,1,1,0,0,0,5.0,1,0,0,0,0,20,44,8,72
['2021-07-10'],Belgium tour of Malta,1268192,Belgium,4,2,9,0,0,22.22,[14],1.0,6,4,0,2,0,0,1,0,0,0,0,2.0,1,0,0,0,0,2,29,8,39
['2021-07-09'],Belgium tour of Malta,1268190,Belgium,8,19,13,3,0,146.15,"[14, 16, 18]",3.0,18,6,0,22,0,2,3,0,0,0,0,7.33,0,0,0,0,2,33,85,0,118
['2021-07-08'],Belgium tour of Malta,1268189,Belgium,10,0,0,0,0,0.0,[13],1.0,6,1,0,5,0,0,1,0,1,0,0,5.0,1,0,0,0,0,0,34,8,42
['2018-09-01'],ICC World Twenty20 Europe Region Qualifier B,1156659,Belgium,8,12,14,1,0,85.71,[13],1.0,6,3,0,10,2,0,0,0,0,0,0,10.0,0,0,0,0,0,16,3,0,19
['2018-08-29'],ICC World Twenty20 Europe Region Qualifier B,1156651,Belgium,11,0,0,0,0,0.0,"[10, 12, 14, 16]",4.0,24,9,0,29,1,1,0,0,0,0,1,7.25,1,0,0,0,0,0,9,8,17
