date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-10-19'],Syed Mushtaq Ali Trophy,1383480,Goa,10,0,0,0,0,0.0,"[3, 11, 16, 20]",4.0,24,4,0,45,4,2,2,1,0,0,2,11.25,0,0,0,0,0,0,58,0,58
['2022-10-22'],Syed Mushtaq Ali Trophy,1333031,Goa,10,0,0,0,0,0.0,"[2, 15, 18]",3.0,18,11,0,18,2,0,2,0,0,0,3,6.0,0,0,1,1,0,0,63,18,81
['2022-10-20'],Syed Mushtaq Ali Trophy,1333012,Goa,11,0,0,0,0,0.0,"[2, 4, 17]",3.0,18,6,0,31,2,2,1,0,0,0,1,10.33,0,0,0,0,0,0,29,0,29
['2022-10-14'],Syed Mushtaq Ali Trophy,1332956,Goa,11,7,7,0,0,100.0,"[2, 5, 18, 20]",4.0,24,5,0,49,4,2,0,0,0,0,6,12.25,0,0,0,0,0,7,-1,0,6
['2021-11-09'],Syed Mushtaq Ali Trophy,1280275,Goa,9,11,10,2,0,110.0,"[2, 4, 18, 20]",4.0,24,7,0,46,4,2,0,0,0,0,3,11.5,0,0,0,0,0,19,3,0,22
['2021-11-08'],Syed Mushtaq Ali Trophy,1280255,Goa,3,0,2,0,0,0.0,"[2, 4, 16, 20]",4.0,24,7,0,35,5,0,1,0,0,0,0,8.75,0,0,0,0,0,-2,32,0,30
['2021-11-06'],Syed Mushtaq Ali Trophy,1280236,Goa,3,8,4,0,1,200.0,"[1, 14, 18]",3.0,18,2,0,21,0,1,0,0,0,0,0,7.0,0,0,0,0,0,14,4,0,18
['2021-11-05'],Syed Mushtaq Ali Trophy,1280219,Goa,3,28,19,3,1,147.37,"[6, 8, 18, 20]",3.5,21,13,0,13,0,1,1,0,0,0,0,3.71,0,0,0,0,2,52,44,0,96
['2021-11-04'],Syed Mushtaq Ali Trophy,1280200,Goa,10,3,3,0,0,100.0,"[7, 9, 19]",3.0,18,7,0,11,0,0,2,0,0,0,0,3.67,0,0,0,0,0,3,63,0,66
['2021-01-17'],Syed Mushtaq Ali Trophy,1244372,Goa,8,6,3,1,0,200.0,"[1, 11, 16, 19]",4.0,24,11,0,22,2,1,2,0,1,0,0,5.5,1,0,1,0,0,10,73,20,103
['2021-01-15'],Syed Mushtaq Ali Trophy,1244355,Goa,3,3,5,0,0,60.0,"[3, 5, 13, 18]",4.0,24,6,0,42,4,2,1,0,0,0,1,10.5,0,0,0,0,0,3,29,0,32
['2021-01-13'],Syed Mushtaq Ali Trophy,1244335,Goa,9,0,0,0,0,0.0,"[2, 4, 18, 20]",4.0,24,11,0,25,3,0,2,0,0,0,2,6.25,2,0,1,0,0,0,63,28,91
['2021-01-11'],Syed Mushtaq Ali Trophy,1244317,Goa,3,15,9,2,1,166.67,"[2, 5, 15, 20]",4.0,24,4,0,52,9,1,0,0,0,0,0,13.0,0,0,0,0,0,29,-2,0,27
['2019-11-17'],Syed Mushtaq Ali Trophy,1205823,Goa,10,1,6,0,0,16.67,"[3, 5, 15, 18]",4.0,24,6,0,38,5,1,1,1,0,0,0,9.5,0,0,0,0,0,1,39,0,40
['2019-11-15'],Syed Mushtaq Ali Trophy,1205804,Goa,8,0,2,0,0,0.0,[9],1.0,6,2,0,12,1,1,0,0,0,0,0,12.0,0,0,0,0,0,-2,2,0,0
['2019-11-14'],Syed Mushtaq Ali Trophy,1205786,Goa,10,4,5,0,0,80.0,"[2, 6]",2.0,12,5,0,26,6,0,0,0,0,0,0,13.0,2,0,0,0,0,4,-1,16,19
['2019-11-12'],Syed Mushtaq Ali Trophy,1205778,Goa,7,18,20,3,0,90.0,"[7, 9, 11]",3.0,18,9,0,12,1,0,0,0,0,0,0,4.0,0,0,0,0,0,30,15,0,45
['2019-11-09'],Syed Mushtaq Ali Trophy,1205733,Goa,9,0,0,0,0,0.0,"[1, 3, 9, 15]",4.0,24,5,0,40,6,0,0,0,0,0,0,10.0,1,0,1,0,0,0,3,20,23
['2019-11-08'],Syed Mushtaq Ali Trophy,1205724,Goa,8,7,3,0,1,233.33,"[2, 4, 18, 20]",4.0,24,10,0,27,2,1,2,0,0,0,0,6.75,1,0,1,0,0,13,62,20,95
