date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-03-04'],Bahrain tour of Singapore,1474263,Bahrain,3,2,4,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2025-03-02'],Bahrain tour of Singapore,1474262,Bahrain,3,15,16,2,0,93.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,23,0,14,37
['2025-03-01'],Bahrain tour of Singapore,1474261,Bahrain,3,39,31,1,2,125.81,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,59,0,12,71
['2025-02-28'],Bahrain tour of Singapore,1474260,Bahrain,3,53,39,6,1,135.9,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,93,0,0,93
['2025-02-24'],Bahrain tour of Indonesia,1471826,Bahrain,3,37,41,2,0,90.24,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,49,0,0,49
['2025-02-23'],Bahrain tour of Indonesia,1471825,Bahrain,3,12,19,0,0,63.16,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,10,0,0,10
['2025-02-22'],Bahrain tour of Indonesia,1471824,Bahrain,3,1,3,0,0,33.33,"[15, 18]",2.0,12,1,0,25,1,2,0,0,0,0,0,12.5,0,0,0,0,0,1,-5,0,-4
['2025-02-20'],Bahrain tour of Indonesia,1471823,Bahrain,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2025-02-19'],Bahrain tour of Indonesia,1471822,Bahrain,3,2,6,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2024-11-28'],ICC Men's T20 World Cup Asia Qualifier B,1459278,Bahrain,5,9,11,1,0,81.82,"[10, 12, 14, 18]",4.0,24,10,0,25,1,1,0,0,0,0,0,6.25,1,0,0,0,0,13,12,8,33
['2024-11-25'],ICC Men's T20 World Cup Asia Qualifier B,1457229,Bahrain,4,1,2,0,0,50.0,[8],1.0,6,0,0,12,2,0,0,0,0,0,0,12.0,0,0,0,0,0,1,0,0,1
['2024-11-23'],ICC Men's T20 World Cup Asia Qualifier B,1457226,Bahrain,2,0,1,0,0,0.0,"[11, 13]",2.0,12,7,0,5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,-2,13,0,11
['2024-11-22'],ICC Men's T20 World Cup Asia Qualifier B,1457224,Bahrain,6,7,8,1,0,87.5,"[11, 14, 16, 18]",4.0,24,13,0,17,1,0,3,0,0,0,0,4.25,0,0,0,0,0,11,98,0,109
['2024-11-19'],ICC Men's T20 World Cup Asia Qualifier B,1457219,Bahrain,7,30,15,2,1,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,6,54,0,12,66
['2024-10-29'],Bahrain tour of Uganda,1457351,Bahrain,4,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-10-28'],Bahrain tour of Uganda,1457350,Bahrain,6,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2024-04-12'],ACC Men's Premier Cup,1426455,Bahrain,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
