date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-29'],Bangladesh Premier League,1459574,Dhaka Capital,8,0,2,0,0,0.0,[7],0.5,3,1,0,8,2,0,0,0,0,0,0,16.0,0,0,0,0,0,-2,1,0,-1
['2025-01-22'],Bangladesh Premier League,1459565,Dhaka Capital,9,0,0,0,0,0.0,"[9, 13, 15]",3.0,18,7,0,27,3,1,2,0,0,0,0,9.0,0,0,0,0,0,0,57,0,57
['2025-01-20'],Bangladesh Premier League,1459563,Dhaka Capital,11,0,0,0,0,0.0,"[6, 8, 11, 13]",4.0,24,8,0,27,2,1,0,0,0,0,0,6.75,0,0,0,0,0,0,10,0,10
['2025-01-09'],Bangladesh Premier League,1459550,Dhaka Capital,10,0,0,0,0,0.0,"[5, 8, 13]",3.0,18,5,0,38,5,2,0,0,0,0,0,12.67,1,0,0,0,0,0,-1,8,7
['2025-01-03'],Bangladesh Premier League,1459544,Dhaka Capital,9,0,0,0,0,0.0,"[4, 7, 11]",3.0,18,5,0,29,3,1,1,0,0,0,1,9.67,0,0,0,0,0,0,30,0,30
['2025-01-02'],Bangladesh Premier League,1459541,Dhaka Capital,10,1,1,0,0,100.0,"[7, 9, 13]",3.0,18,5,0,26,1,2,0,0,0,0,0,8.67,0,0,0,0,0,1,5,0,6
['2024-12-30'],Bangladesh Premier League,1459538,Dhaka Capital,10,12,15,0,0,80.0,"[6, 8, 10, 13]",4.0,24,7,0,26,1,1,0,0,0,0,0,6.5,0,0,0,0,0,12,9,0,21
['2024-01-19'],Bangladesh Premier League,1412275,Sylhet Strikers,10,0,0,0,0,0.0,"[4, 7, 16]",3.0,18,5,0,30,1,2,1,0,1,0,2,10.0,0,0,0,0,0,0,36,0,36
['2023-01-16'],Bangladesh Premier League,1351064,Sylhet Strikers,10,0,0,0,0,0.0,"[8, 10, 12, 16]",4.0,24,7,0,27,2,1,1,0,1,0,1,6.75,0,0,0,0,0,0,42,0,42
['2022-02-09'],Bangladesh Premier League,1296710,Sylhet Sunrisers,8,0,0,0,0,0.0,"[1, 3, 5, 17]",4.0,24,8,0,36,3,2,2,1,1,0,0,9.0,0,0,0,0,0,0,74,0,74
['2022-02-08'],Bangladesh Premier League,1296708,Sylhet Sunrisers,10,0,0,0,0,0.0,"[8, 14]",2.0,12,4,0,14,0,1,1,0,1,0,1,7.0,0,0,0,0,0,0,39,0,39
['2022-02-07'],Bangladesh Premier League,1296706,Sylhet Sunrisers,11,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-02-03'],Bangladesh Premier League,1296701,Sylhet Sunrisers,8,0,0,0,0,0.0,"[5, 9, 11, 15]",3.333,20,8,0,39,4,2,1,0,0,0,5,11.7,0,0,0,0,0,0,29,0,29
['2022-01-25'],Bangladesh Premier League,1296691,Sylhet Sunrisers,7,0,0,0,0,0.0,"[11, 13, 15, 18]",4.0,24,13,1,18,0,1,4,3,0,0,0,4.5,0,0,0,0,0,0,163,0,163
['2022-01-22'],Bangladesh Premier League,1296687,Sylhet Sunrisers,11,0,0,0,0,0.0,"[11, 13, 15, 17]",4.0,24,15,0,17,2,0,3,1,0,0,0,4.25,0,0,0,0,0,0,108,0,108
['2020-01-07'],Bangladesh Premier League,1208101,Sylhet Thunder,8,0,0,0,0,0.0,[17],1.0,6,2,0,9,0,1,0,0,0,0,0,9.0,0,0,0,0,0,0,2,0,2
['2020-01-04'],Bangladesh Premier League,1208100,Sylhet Thunder,9,0,0,0,0,0.0,"[9, 11, 13]",3.0,18,6,0,36,1,4,0,0,0,0,0,12.0,0,0,0,1,0,0,2,6,8
['2019-12-28'],Bangladesh Premier League,1208090,Sylhet Thunder,11,0,0,0,0,0.0,"[7, 9]",2.0,12,2,0,18,2,0,0,0,0,0,0,9.0,0,0,0,0,0,0,2,0,2
['2019-12-24'],Bangladesh Premier League,1208085,Sylhet Thunder,11,0,0,0,0,0.0,[14],1.0,6,0,0,16,0,2,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0
