date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-11-19'],Myanmar tour of Indonesia,1456872,Myanmar,5,0,2,0,0,0.0,"[2, 4, 6, 8]",4.0,24,14,0,25,4,0,2,0,1,0,2,6.25,0,0,0,0,0,-2,74,0,72
['2024-11-17'],Myanmar tour of Indonesia,1456871,Myanmar,3,6,10,1,0,60.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,8,0,0,8
['2024-11-16'],Myanmar tour of Indonesia,1456870,Myanmar,7,0,0,0,0,0.0,"[2, 4, 20]",2.167,13,5,0,21,4,0,0,0,0,0,1,9.69,2,0,0,0,0,0,5,16,21
['2024-11-15'],Myanmar tour of Indonesia,1456869,Myanmar,5,27,31,1,0,87.1,"[2, 4, 6, 18]",3.833,23,10,0,26,2,1,0,0,0,0,1,6.78,0,0,0,0,0,35,12,0,47
['2024-11-13'],Myanmar tour of Indonesia,1456868,Myanmar,1,16,24,2,0,66.67,"[2, 4, 6]",3.0,18,7,0,28,3,1,1,0,0,0,4,9.33,0,0,0,0,-2,22,32,0,54
['2024-11-12'],Myanmar tour of Indonesia,1456867,Myanmar,6,1,6,0,0,16.67,"[3, 20]",2.0,12,6,0,21,3,1,0,0,0,0,0,10.5,1,0,0,0,0,1,4,8,13
['2024-09-09'],ICC Men's T20 World Cup Asia Qualifier A,1447495,Myanmar,1,3,9,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2024-09-05'],ICC Men's T20 World Cup Asia Qualifier A,1447491,Myanmar,3,2,4,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2024-09-03'],ICC Men's T20 World Cup Asia Qualifier A,1447487,Myanmar,1,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
['2024-09-02'],ICC Men's T20 World Cup Asia Qualifier A,1447485,Myanmar,1,8,11,0,0,72.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,8,0,8,16
['2024-08-31'],ICC Men's T20 World Cup Asia Qualifier A,1447481,Myanmar,1,7,9,0,1,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
['2024-08-30'],ICC Men's T20 World Cup Asia Qualifier A,1447478,Myanmar,1,15,21,2,0,71.43,[2],1.0,6,3,0,10,0,1,0,0,0,0,1,10.0,0,0,1,0,0,23,3,12,38
['2024-01-27'],Asian Cricket Council Men's Challenger Cup,1418176,Myanmar,1,3,13,0,0,23.08,"[2, 4, 6]",3.0,18,9,0,9,0,0,1,0,0,0,1,3.0,0,0,0,0,-6,-3,40,0,37
['2023-07-31'],ICC Men's T20 World Cup Asia B Qualifier,1383109,Myanmar,1,3,7,0,0,42.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2023-07-30'],ICC Men's T20 World Cup Asia B Qualifier,1383107,Myanmar,3,0,5,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2023-07-28'],ICC Men's T20 World Cup Asia B Qualifier,1383105,Myanmar,1,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2023-07-26'],ICC Men's T20 World Cup Asia B Qualifier,1383102,Myanmar,1,10,27,1,0,37.04,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,-6,8,0,16,24
['2018-10-10'],ICC World Twenty20 Asia Region Qualifier B,1160962,Myanmar,4,0,0,0,0,0.0,"[2, 15, 18]",3.0,18,6,0,23,2,0,1,0,1,0,2,7.67,0,0,0,0,0,0,39,0,39
['2018-10-09'],ICC World Twenty20 Asia Region Qualifier B,1160959,Myanmar,1,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2018-10-04'],ICC World Twenty20 Asia Region Qualifier B,1160950,Myanmar,1,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2018-10-03'],ICC World Twenty20 Asia Region Qualifier B,1160947,Myanmar,1,4,5,1,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
