date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-12-20'],Gulf T20I Championship,1463665,Qatar,10,0,0,0,0,0.0,"[2, 4, 6]",3.0,18,9,0,16,2,0,1,1,0,0,1,5.33,0,0,0,0,0,0,46,0,46
['2024-12-18'],Gulf T20I Championship,1463663,Qatar,9,5,3,1,0,166.67,"[1, 3, 5, 7]",4.0,24,9,0,27,2,1,2,1,0,0,2,6.75,0,0,0,0,0,9,69,0,78
['2024-12-17'],Gulf T20I Championship,1463660,Qatar,11,0,0,0,0,0.0,"[5, 7]",2.0,12,2,0,16,2,0,0,0,0,1,0,8.0,0,0,0,0,0,0,2,0,2
['2024-12-15'],Gulf T20I Championship,1463657,Qatar,9,4,8,0,0,50.0,[2],1.0,6,3,0,9,2,0,0,0,0,0,0,9.0,0,0,0,0,0,4,3,0,7
['2024-12-14'],Gulf T20I Championship,1463655,Qatar,9,5,8,0,0,62.5,"[2, 4, 6, 8]",4.0,24,9,0,32,4,0,0,0,0,1,1,8.0,1,0,1,0,0,5,9,20,34
['2024-11-28'],ICC Men's T20 World Cup Asia Qualifier B,1457236,Qatar,9,0,0,0,0,0.0,"[1, 3, 5]",3.0,18,7,0,34,1,3,0,0,0,1,2,11.33,0,0,0,0,0,0,3,0,3
['2024-11-26'],ICC Men's T20 World Cup Asia Qualifier B,1457234,Qatar,8,0,2,0,0,0.0,"[1, 3, 5, 16]",4.0,24,7,0,47,10,0,0,0,0,0,0,11.75,0,0,0,0,0,-2,3,0,1
['2024-11-25'],ICC Men's T20 World Cup Asia Qualifier B,1457229,Qatar,8,0,0,0,0,0.0,"[2, 4, 6, 14]",4.0,24,9,0,32,3,1,5,0,2,1,0,8.0,1,0,0,0,0,0,162,8,170
['2024-11-23'],ICC Men's T20 World Cup Asia Qualifier B,1457228,Qatar,8,1,1,0,0,100.0,"[1, 3]",2.0,12,8,0,8,1,0,0,0,0,0,0,4.0,0,0,0,0,0,1,14,0,15
['2024-11-20'],ICC Men's T20 World Cup Asia Qualifier B,1457221,Qatar,11,0,0,0,0,0.0,"[2, 4, 6, 12]",4.0,24,15,0,16,2,0,3,0,2,0,1,4.0,0,0,0,0,0,0,116,0,116
['2024-04-16'],ACC Men's Premier Cup,1426469,Qatar,8,2,3,0,0,66.67,"[1, 3, 5, 7]",4.0,24,15,0,20,2,0,1,0,0,1,1,5.0,0,0,0,0,0,2,44,0,46
['2024-04-15'],ACC Men's Premier Cup,1426466,Qatar,9,0,0,0,0,0.0,"[1, 3, 10, 18]",3.5,21,4,0,38,3,0,0,0,0,2,3,10.86,1,0,0,0,0,0,2,8,10
['2024-04-13'],ACC Men's Premier Cup,1426461,Qatar,7,8,12,0,0,66.67,"[1, 3, 18]",2.333,14,8,0,14,2,0,1,0,0,0,1,6.0,0,0,0,0,-2,6,35,0,41
['2024-04-12'],ACC Men's Premier Cup,1426458,Qatar,6,14,12,1,1,116.67,"[1, 3, 18]",3.0,18,7,0,40,3,3,1,0,1,1,2,13.33,0,0,0,0,0,24,34,0,58
['2024-03-01'],Hong Kong tour of Qatar,1422804,Qatar,6,7,11,1,0,63.64,"[1, 3, 5, 15]",5.0,30,14,0,40,3,2,1,0,1,0,0,8.0,0,0,0,0,-2,9,47,0,56
['2024-02-29'],Hong Kong tour of Qatar,1422803,Qatar,7,31,21,2,2,147.62,"[1, 3, 17, 19]",4.0,24,8,0,40,4,2,2,0,1,0,1,10.0,0,0,0,0,2,57,64,0,121
['2024-02-27'],Hong Kong tour of Qatar,1422802,Qatar,8,9,5,0,1,180.0,"[1, 3, 16, 19]",4.0,24,10,0,26,1,1,3,2,1,1,1,6.5,0,0,0,0,0,15,115,0,130
