date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-16'],ICC Men's T20 World Cup,1415736,Ireland,1,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-06-07'],ICC Men's T20 World Cup,1415713,Ireland,1,17,19,1,0,89.47,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,21,0,8,29
['2024-06-05'],ICC Men's T20 World Cup,1415708,Ireland,1,5,10,1,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,5,0,0,5
['2024-05-24'],Netherlands Tri-Nation T20I Series,1428156,Ireland,1,5,11,0,0,45.45,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-1,0,0,-1
['2024-05-23'],Netherlands Tri-Nation T20I Series,1428155,Ireland,1,56,46,6,0,121.74,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,88,0,0,88
['2024-05-19'],Netherlands Tri-Nation T20I Series,1428152,Ireland,1,11,14,2,0,78.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2024-05-14'],Pakistan tour of Ireland,1426832,Ireland,1,35,26,2,3,134.62,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,67,0,0,67
['2024-05-12'],Pakistan tour of Ireland,1426831,Ireland,1,16,14,3,0,114.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,28,0,0,28
['2024-05-10'],Pakistan tour of Ireland,1426830,Ireland,1,77,55,10,2,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,143,0,0,143
['2023-12-10'],Ireland tour of Zimbabwe,1408105,Ireland,1,13,14,0,1,92.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,19,0,0,19
['2023-12-09'],Ireland tour of Zimbabwe,1408104,Ireland,1,8,11,1,0,72.73,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,12,0,16,28
['2023-12-07'],Ireland tour of Zimbabwe,1408103,Ireland,1,32,25,6,1,128.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,66,0,0,66
['2023-08-20'],India tour of Ireland,1384637,Ireland,1,72,51,5,4,141.18,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,126,0,0,126
['2023-08-18'],India tour of Ireland,1384634,Ireland,1,4,2,1,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2023-07-28'],ICC Men's T20 World Cup Europe Region Qualifier,1383088,Ireland,1,4,3,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2023-07-24'],ICC Men's T20 World Cup Europe Region Qualifier,1383079,Ireland,1,25,24,2,2,104.17,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,49,0,16,65
['2023-07-21'],ICC Men's T20 World Cup Europe Region Qualifier,1383071,Ireland,1,53,38,4,3,139.47,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,97,0,8,105
['2023-07-20'],ICC Men's T20 World Cup Europe Region Qualifier,1383069,Ireland,1,26,24,4,0,108.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,46,0,8,54
['2023-02-10'],Bangladesh Premier League,1351093,Khulna Tigers,1,37,33,1,2,112.12,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,57,0,0,57
['2023-02-08'],Bangladesh Premier League,1351090,Khulna Tigers,2,7,13,0,0,53.85,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,3,0,0,3
