date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-19'],Vitality Blast,1410488,Durham,8,0,0,0,0,0.0,"[2, 5, 10, 16]",4.0,24,4,0,56,5,3,2,0,0,4,1,14.0,0,0,0,0,0,0,48,0,48
['2024-06-16'],Vitality Blast,1410423,Durham,8,0,0,0,0,0.0,"[7, 15, 20]",3.0,18,4,0,45,6,2,2,0,1,2,0,15.0,2,0,0,0,0,0,56,16,72
['2024-06-15'],Vitality Blast,1410420,Durham,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-06-12'],Vitality Blast,1410409,Durham,7,2,4,0,0,50.0,"[2, 4, 6]",3.0,18,10,0,24,5,0,0,0,0,0,0,8.0,1,0,0,0,0,2,10,8,20
['2024-06-08'],Vitality Blast,1410401,Durham,8,16,14,0,0,114.29,"[3, 5]",2.0,12,3,0,22,4,0,0,0,0,0,0,11.0,1,0,0,0,0,16,1,8,25
['2024-06-07'],Vitality Blast,1410398,Durham,9,0,0,0,0,0.0,"[3, 6, 11, 13]",4.0,24,9,0,38,6,1,1,0,0,0,1,9.5,0,0,0,0,0,0,34,0,34
['2023-06-16'],Vitality Blast,1347641,Durham,8,0,2,0,0,0.0,"[2, 5, 12, 17]",4.0,24,10,0,29,1,2,1,0,0,0,3,7.25,0,0,0,0,0,-2,35,0,33
['2022-07-03'],Vitality Blast,1297918,Durham,8,0,0,0,0,0.0,"[2, 4, 13, 18]",4.0,24,7,0,37,5,0,1,0,0,0,2,9.25,0,0,0,0,0,0,32,0,32
['2022-07-01'],Vitality Blast,1297909,Durham,6,4,2,1,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
['2022-06-24'],Vitality Blast,1297898,Durham,9,0,0,0,0,0.0,[9],1.0,6,3,0,10,0,0,1,0,0,2,3,10.0,0,0,0,0,0,0,28,0,28
['2022-06-23'],Vitality Blast,1297891,Durham,5,0,0,0,0,0.0,[2],1.0,6,1,0,17,3,0,0,0,0,0,0,17.0,1,0,0,0,0,0,1,8,9
['2022-06-19'],Vitality Blast,1297879,Durham,6,22,17,2,0,129.41,"[2, 7, 15, 18]",4.0,24,7,0,32,3,1,1,0,0,0,1,8.0,1,0,0,0,0,30,32,8,70
['2022-06-17'],Vitality Blast,1297867,Durham,6,0,3,0,0,0.0,"[2, 6, 13, 19]",4.0,24,2,0,45,6,0,0,0,0,0,3,11.25,0,0,0,0,0,-2,-2,0,-4
['2022-06-10'],Vitality Blast,1297859,Durham,7,8,8,1,0,100.0,"[1, 4]",2.0,12,4,0,11,1,0,0,0,0,0,0,5.5,0,0,0,0,0,12,8,0,20
['2022-06-08'],Vitality Blast,1297851,Durham,7,24,18,2,1,133.33,"[1, 3, 17]",3.0,18,7,0,33,6,0,1,0,1,0,2,11.0,0,0,0,0,2,40,38,0,78
['2022-06-05'],Vitality Blast,1297841,Durham,5,15,10,3,0,150.0,"[1, 4, 15, 17]",4.0,24,11,0,28,3,1,1,0,0,0,0,7.0,0,0,0,0,0,27,38,0,65
['2022-06-03'],Vitality Blast,1297832,Durham,6,17,14,1,1,121.43,"[1, 3, 9, 15]",4.0,24,4,0,57,8,2,0,0,0,0,1,14.25,0,0,0,0,0,27,-2,0,25
['2022-06-01'],Vitality Blast,1297823,Durham,5,10,6,0,1,166.67,"[1, 3, 16, 20]",4.0,24,7,0,33,4,0,1,0,0,0,0,8.25,0,0,0,0,0,16,32,0,48
['2022-05-29'],Vitality Blast,1297809,Durham,6,40,33,4,0,121.21,"[2, 4, 14]",3.0,18,5,0,30,3,1,1,0,0,0,1,10.0,1,0,0,0,0,60,28,8,96
['2022-05-27'],Vitality Blast,1297805,Durham,5,0,3,0,0,0.0,"[1, 3, 17, 19]",4.0,24,10,0,44,3,4,1,0,0,0,1,11.0,1,0,0,0,0,-2,33,8,39
