date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-11-14'],Netherlands tour of Oman,1454820,Netherlands,6,7,9,0,0,77.78,"[14, 16, 18]",3.0,18,7,0,25,0,3,1,0,0,0,0,8.33,0,0,0,0,0,7,32,0,39
['2024-03-05'],Nepal Tri-Nation T20I Series,1422043,Netherlands,11,0,0,0,0,0.0,"[8, 12]",2.0,12,3,0,31,1,3,0,0,0,0,3,15.5,1,0,0,0,0,0,-3,8,5
['2022-10-27'],ICC Men's T20 World Cup,1298157,Netherlands,9,16,11,2,0,145.45,[9],1.0,6,2,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,2,26,2,0,28
['2022-10-24'],ICC Men's T20 World Cup,1298151,Netherlands,9,9,8,1,0,112.5,"[8, 10, 15]",3.0,18,5,0,27,1,2,1,0,0,0,0,9.0,0,0,0,0,0,13,30,0,43
['2022-08-05'],New Zealand tour of Netherlands,1310902,Netherlands,10,0,0,0,0,0.0,"[7, 12]",2.0,12,2,0,28,2,2,0,0,0,0,0,14.0,0,0,0,0,0,0,-4,0,-4
['2022-08-04'],New Zealand tour of Netherlands,1310901,Netherlands,10,5,3,1,0,166.67,"[7, 11, 15]",3.0,18,6,0,15,0,0,2,0,0,0,0,5.0,1,0,0,0,0,9,60,8,77
['2022-07-17'],ICC Men's T20 World Cup Qualifier,1321484,Netherlands,11,1,1,0,0,100.0,"[8, 12]",2.0,12,1,0,26,3,1,1,0,0,0,0,13.0,0,0,0,0,0,1,20,0,21
['2022-07-15'],ICC Men's T20 World Cup Qualifier,1321480,Netherlands,11,0,0,0,0,0.0,"[8, 10]",2.0,12,5,0,6,0,0,1,0,0,0,0,3.0,0,0,0,0,0,0,36,0,36
['2022-07-14'],ICC Men's T20 World Cup Qualifier,1321473,Netherlands,11,0,0,0,0,0.0,"[7, 9, 11, 15]",4.0,24,11,0,14,0,0,1,0,0,0,1,3.5,0,0,0,0,0,0,42,0,42
['2022-07-12'],ICC Men's T20 World Cup Qualifier,1321471,Netherlands,11,0,0,0,0,0.0,"[7, 11]",2.0,12,3,0,17,1,1,1,0,0,0,0,8.5,0,0,0,0,0,0,28,0,28
['2022-07-11'],ICC Men's T20 World Cup Qualifier,1321467,Netherlands,11,0,0,0,0,0.0,"[7, 11, 13]",3.0,18,10,0,16,2,0,0,0,0,0,0,5.33,0,0,0,0,0,0,14,0,14
