date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-06-16'],ICC Men's T20 World Cup,1415738,Netherlands,7,0,1,0,0,0.0,"[4, 10, 18, 20]",4.0,24,8,0,45,1,4,2,0,0,0,2,11.25,1,0,0,0,0,0,54,8,62
['2024-06-13'],ICC Men's T20 World Cup,1415727,Netherlands,7,2,3,0,0,66.67,"[6, 10, 16, 19]",4.0,24,9,0,43,7,1,0,0,0,0,1,10.75,0,0,0,0,0,2,7,0,9
['2024-06-08'],ICC Men's T20 World Cup,1415716,Netherlands,8,23,22,3,0,104.55,"[2, 4, 15, 18]",4.0,24,13,1,21,1,1,2,0,2,0,0,5.25,1,0,0,0,0,35,95,8,138
['2024-06-04'],ICC Men's T20 World Cup,1415707,Netherlands,8,0,0,0,0,0.0,"[4, 13, 17, 20]",3.333,20,13,0,18,2,1,3,1,1,0,0,5.4,3,0,0,0,0,0,112,28,140
['2024-05-24'],Netherlands Tri-Nation T20I Series,1428156,Netherlands,7,1,1,0,0,100.0,"[4, 11, 17, 19]",4.0,24,10,0,26,2,1,2,1,0,0,0,6.5,0,0,0,0,0,1,70,0,71
['2024-05-22'],Netherlands Tri-Nation T20I Series,1428154,Netherlands,7,10,14,0,0,71.43,"[5, 10, 17, 19]",4.0,24,14,0,13,0,0,3,0,1,0,2,3.25,1,0,0,0,0,10,107,8,125
['2024-05-19'],Netherlands Tri-Nation T20I Series,1428152,Netherlands,7,3,5,0,0,60.0,"[3, 6, 13, 17]",4.0,24,12,0,22,1,1,0,0,0,0,0,5.5,0,0,0,0,0,3,16,0,19
['2024-05-18'],Netherlands Tri-Nation T20I Series,1428151,Netherlands,7,5,3,0,0,166.67,"[3, 11, 17]",3.0,18,10,0,18,3,0,3,1,2,0,1,6.0,0,0,0,0,0,5,115,0,120
['2022-11-06'],ICC Men's T20 World Cup,1298174,Netherlands,8,0,0,0,0,0.0,"[11, 17, 19]",3.0,18,4,0,23,1,1,0,0,0,0,0,7.67,1,0,0,0,0,0,4,8,12
['2022-11-02'],ICC Men's T20 World Cup,1298168,Netherlands,8,0,0,0,0,0.0,"[8, 13, 20]",2.333,14,8,0,17,1,1,2,0,0,0,1,7.29,1,0,0,0,0,0,58,8,66
['2022-10-30'],ICC Men's T20 World Cup,1298163,Netherlands,9,6,9,0,0,66.67,"[9, 12]",2.0,12,5,0,9,0,0,0,0,0,0,0,4.5,0,0,0,0,0,6,11,0,17
['2022-10-27'],ICC Men's T20 World Cup,1298157,Netherlands,8,3,5,0,0,60.0,"[8, 15, 18, 20]",4.0,24,3,0,45,2,3,0,0,0,0,0,11.25,0,0,0,0,0,3,-1,0,2
['2022-10-24'],ICC Men's T20 World Cup,1298151,Netherlands,8,2,5,0,0,40.0,"[9, 12, 16]",3.0,18,6,0,12,0,0,1,0,0,0,1,4.0,2,0,0,0,0,2,37,16,55
['2022-10-16'],ICC Men's T20 World Cup,1298136,Netherlands,9,4,4,0,0,100.0,"[4, 8]",2.0,12,5,0,19,0,2,0,0,0,0,1,9.5,0,0,0,0,0,4,5,0,9
['2022-08-05'],New Zealand tour of Netherlands,1310902,Netherlands,7,0,0,0,0,0.0,"[2, 5, 13]",3.0,18,3,0,37,3,2,0,0,0,0,1,12.33,0,0,0,0,0,0,-3,0,-3
['2022-08-04'],New Zealand tour of Netherlands,1310901,Netherlands,7,4,8,0,0,50.0,"[2, 5, 17, 20]",4.0,24,8,0,35,2,2,2,0,0,0,2,8.75,0,0,0,0,0,4,58,0,62
['2022-07-17'],ICC Men's T20 World Cup Qualifier,1321484,Netherlands,7,0,3,0,0,0.0,"[3, 13, 15, 18]",4.0,24,11,1,18,1,0,3,1,1,0,1,4.5,1,0,0,1,0,-2,124,14,136
['2022-07-15'],ICC Men's T20 World Cup Qualifier,1321480,Netherlands,8,0,0,0,0,0.0,"[4, 13, 16, 20]",3.667,22,13,0,20,2,1,1,0,0,0,1,5.45,1,0,0,1,0,0,42,14,56
['2022-07-14'],ICC Men's T20 World Cup Qualifier,1321473,Netherlands,8,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2022-07-12'],ICC Men's T20 World Cup Qualifier,1321471,Netherlands,8,0,0,0,0,0.0,"[3, 6, 14, 18]",4.0,24,10,0,27,3,1,4,2,0,0,0,6.75,0,0,0,0,0,0,136,0,136
['2022-07-11'],ICC Men's T20 World Cup Qualifier,1321467,Netherlands,8,19,14,0,1,135.71,"[3, 6, 18, 20]",3.667,22,15,0,17,1,1,3,0,2,0,0,4.64,1,0,0,1,2,27,116,14,157
['2021-10-20'],ICC Men's T20 World Cup,1273718,Netherlands,6,2,1,0,0,200.0,"[3, 6, 13, 19]",4.0,24,9,0,39,6,0,0,0,0,0,3,9.75,0,0,0,0,0,2,9,0,11
['2021-10-18'],ICC Men's T20 World Cup,1273714,Netherlands,9,11,12,0,0,91.67,"[3, 6, 15]",3.0,18,11,0,14,2,0,0,0,0,0,0,4.67,1,0,0,0,0,11,17,8,36
