date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-07-31'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321301,Bulgaria,1,8,9,1,0,88.89,"[2, 4, 6, 8]",4.0,24,13,0,21,4,0,1,0,0,0,0,5.25,1,0,0,0,0,12,42,8,62
['2022-07-28'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321294,Bulgaria,7,0,0,0,0,0.0,"[2, 4, 6, 20]",4.0,24,10,0,28,4,0,1,0,1,0,0,7.0,2,0,0,0,0,0,45,16,61
['2022-07-27'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321291,Bulgaria,1,14,17,1,0,82.35,"[2, 4, 6, 19]",4.0,24,11,0,23,1,1,2,1,1,0,0,5.75,2,0,0,0,0,18,81,16,115
['2022-07-24'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321283,Bulgaria,1,28,32,1,0,87.5,"[2, 4, 6, 8]",4.0,24,11,0,22,0,1,0,0,0,0,1,5.5,0,0,0,0,0,36,15,0,51
['2022-07-09'],Bulgaria tour of Serbia,1323551,Bulgaria,1,2,3,0,0,66.67,"[2, 4, 6, 8]",4.0,24,15,0,17,2,0,0,0,0,0,0,4.25,0,0,0,0,0,2,21,0,23
['2022-07-09'],Bulgaria tour of Serbia,1323552,Bulgaria,1,5,8,1,0,62.5,"[2, 4, 6, 8]",4.0,24,16,0,21,2,1,3,1,2,0,2,5.25,3,0,0,0,0,9,123,28,160
['2022-07-08'],Bulgaria tour of Serbia,1323550,Bulgaria,1,48,44,3,1,109.09,"[2, 4, 15, 17]",4.0,24,11,0,35,4,1,1,0,0,0,7,8.75,0,0,0,0,0,70,36,0,106
['2022-06-26'],Sofia Twenty20,1317139,Bulgaria,1,48,40,5,0,120.0,"[5, 7, 9, 19]",4.0,24,10,0,32,3,1,2,0,1,0,2,8.0,1,0,0,0,0,72,68,8,148
['2022-06-25'],Sofia Twenty20,1317138,Bulgaria,1,36,31,5,0,116.13,"[1, 3, 18, 20]",4.0,24,11,0,41,5,2,1,0,0,0,4,10.25,0,0,0,0,0,60,34,0,94
['2022-06-24'],Sofia Twenty20,1317136,Bulgaria,1,3,8,0,0,37.5,"[1, 3, 18, 20]",4.0,24,9,0,36,6,0,0,0,0,0,2,9.0,0,0,0,0,0,3,9,0,12
['2022-05-15'],Valletta Cup,1310185,Bulgaria,5,2,3,0,0,66.67,"[1, 3, 5, 19]",4.0,24,9,0,35,3,1,1,0,0,0,4,8.75,0,0,0,0,0,2,34,0,36
['2022-05-14'],Valletta Cup,1310184,Bulgaria,1,18,19,2,0,94.74,"[1, 3, 5, 15]",4.0,24,8,0,44,8,0,2,0,0,0,5,11.0,0,0,0,0,0,26,56,0,82
['2022-05-13'],Valletta Cup,1310179,Bulgaria,1,20,23,0,0,86.96,"[1, 3, 17, 19]",4.0,24,5,0,28,3,0,0,0,0,0,0,7.0,0,0,0,0,0,20,7,0,27
['2022-05-13'],Valletta Cup,1310181,Bulgaria,4,1,3,0,0,33.33,"[1, 3, 5, 7]",4.0,24,6,0,44,8,0,0,0,0,1,4,11.0,0,0,0,0,0,1,4,0,5
['2022-05-12'],Valletta Cup,1310177,Bulgaria,1,61,51,3,0,119.61,"[1, 3, 18, 20]",4.0,24,9,0,49,6,2,2,0,0,0,5,12.25,0,0,0,0,0,81,53,0,134
['2022-05-11'],Valletta Cup,1310175,Bulgaria,1,18,15,3,0,120.0,"[1, 3, 5, 7]",4.0,24,15,1,15,1,0,2,1,1,0,3,3.75,1,0,0,0,0,30,99,8,137
['2021-10-24'],Valletta Cup,1282278,Bulgaria,3,60,51,3,0,117.65,"[8, 10, 18, 20]",4.0,24,8,0,37,2,2,0,0,0,1,1,9.25,0,0,1,2,0,80,8,24,112
['2021-10-22'],Valletta Cup,1282275,Bulgaria,1,5,14,0,0,35.71,"[3, 5]",2.0,12,6,0,18,3,0,0,0,0,1,1,9.0,1,0,0,0,-6,-1,6,8,13
['2021-09-03'],Continental Cup,1275271,Bulgaria,1,62,57,4,2,108.77,"[2, 4, 6, 8]",4.0,24,12,0,30,3,0,2,0,1,0,7,7.5,0,0,0,0,0,98,70,0,168
['2021-09-02'],Continental Cup,1275269,Bulgaria,3,1,3,0,0,33.33,"[10, 12, 14, 20]",4.0,24,6,0,24,1,0,1,0,0,0,0,6.0,1,0,0,0,0,1,33,8,42
['2021-06-26'],Sofia Twenty20,1267311,Bulgaria,1,9,6,2,0,150.0,[4],0.833,5,3,0,2,0,0,1,0,0,0,0,2.4,0,0,0,0,0,17,28,0,45
['2021-06-25'],Sofia Twenty20,1267307,Bulgaria,1,15,16,1,0,93.75,"[1, 3, 5]",3.0,18,8,0,38,7,1,1,0,1,0,2,12.67,0,0,0,0,0,19,35,0,54
