date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2023-07-02'],Vitality Blast,1347691,Derbyshire,2,7,8,1,0,87.5,"[10, 14]",2.0,12,5,0,15,2,0,0,0,0,0,0,7.5,1,0,0,0,0,11,5,8,24
['2023-06-30'],Vitality Blast,1347682,Derbyshire,2,110,57,12,4,192.98,[9],1.0,6,1,0,11,0,1,0,0,0,0,0,11.0,0,0,0,0,6,204,1,0,205
['2023-06-09'],Vitality Blast,1347634,Derbyshire,6,4,6,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2023-06-07'],Vitality Blast,1347627,Derbyshire,5,4,6,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2023-06-04'],Vitality Blast,1347611,Derbyshire,3,17,15,1,0,113.33,"[7, 10]",2.0,12,4,0,17,3,0,1,0,1,0,0,8.5,1,0,0,0,0,21,37,8,66
['2023-06-02'],Vitality Blast,1347606,Derbyshire,5,39,18,4,2,216.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,77,0,0,77
['2023-06-01'],Vitality Blast,1347600,Derbyshire,3,37,24,7,0,154.17,[12],1.0,6,0,0,13,2,0,0,0,0,0,0,13.0,1,0,0,0,4,73,0,8,81
['2021-07-09'],Vitality Blast,1250339,Derbyshire,3,32,26,2,1,123.08,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,50,0,0,50
['2021-07-02'],Vitality Blast,1250335,Derbyshire,3,46,35,6,0,131.43,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,76,0,0,76
['2021-06-25'],Vitality Blast,1250306,Derbyshire,3,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,16,17
['2021-06-24'],Vitality Blast,1250297,Derbyshire,3,63,48,8,1,131.25,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,111,0,8,119
['2020-09-20'],Vitality Blast,1207783,Derbyshire,1,67,48,6,2,139.58,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,113,0,8,121
['2017-08-04'],NatWest T20 Blast,1068383,Derbyshire,2,24,20,4,0,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,40
['2017-08-03'],NatWest T20 Blast,1068380,Derbyshire,2,9,9,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
