date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2019-11-17'],Syed Mushtaq Ali Trophy,1205837,Madhya Pradesh,1,19,22,1,0,86.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,23,0,8,31
['2019-11-15'],Syed Mushtaq Ali Trophy,1205811,Madhya Pradesh,1,4,10,1,0,40.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,2,0,0,2
['2019-11-14'],Syed Mushtaq Ali Trophy,1205801,Madhya Pradesh,1,56,35,7,1,160.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,102,0,0,102
['2019-11-12'],Syed Mushtaq Ali Trophy,1205775,Madhya Pradesh,1,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,-2,0,12,10
['2019-11-11'],Syed Mushtaq Ali Trophy,1205764,Madhya Pradesh,1,22,17,3,1,129.41,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,40,0,0,40
['2019-03-02'],Syed Mushtaq Ali Trophy,1157199,Madhya Pradesh,1,26,22,2,2,118.18,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,50,0,12,62
['2019-02-27'],Syed Mushtaq Ali Trophy,1157165,Madhya Pradesh,1,36,19,6,1,189.47,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,76,0,0,76
['2019-02-25'],Syed Mushtaq Ali Trophy,1157148,Madhya Pradesh,1,74,45,5,5,164.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,136,0,0,136
['2019-02-24'],Syed Mushtaq Ali Trophy,1157131,Madhya Pradesh,1,13,8,3,0,162.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,25,0,8,33
['2019-02-22'],Syed Mushtaq Ali Trophy,1157114,Madhya Pradesh,1,4,3,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,8,0,0,8
