date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2016-07-28'],NatWest T20 Blast,947325,Sussex,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0,0,44,44
['2016-07-22'],NatWest T20 Blast,947319,Sussex,5,21,15,2,0,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,31,0,0,31
['2016-07-21'],NatWest T20 Blast,947305,Sussex,5,5,8,0,0,62.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,5,0,0,5
['2016-07-15'],NatWest T20 Blast,947283,Sussex,5,29,19,2,2,152.63,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,57,0,0,57
['2016-07-07'],NatWest T20 Blast,947249,Sussex,5,20,17,3,0,117.65,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,32,0,8,40
['2016-07-01'],NatWest T20 Blast,947239,Sussex,5,41,30,3,1,136.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,65,0,8,73
['2016-06-30'],NatWest T20 Blast,947225,Sussex,5,30,22,1,1,136.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,46,0,8,54
['2016-06-26'],NatWest T20 Blast,947219,Sussex,5,31,18,0,3,172.22,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,59,0,8,67
['2016-06-03'],NatWest T20 Blast,947139,Sussex,5,27,13,1,3,207.69,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,6,59,0,16,75
['2016-06-01'],NatWest T20 Blast,947121,Sussex,4,12,10,1,0,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,16,0,8,24
['2016-05-20'],NatWest T20 Blast,947101,Sussex,5,31,12,2,3,258.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,67,0,0,67
['2016-03-12'],World T20,951323,Scotland,4,15,4,2,1,375.0,"[10, 15, 17, 19]",4.0,24,9,0,26,0,2,2,0,0,0,0,6.5,0,0,0,0,0,29,61,0,90
['2016-03-10'],World T20,951313,Scotland,4,9,6,2,0,150.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,17,0,8,25
['2016-02-04'],NA,966373,Scotland,4,12,10,2,0,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,20,0,0,20
['2016-01-31'],Scotland in Hong Kong T20I Series,953105,Scotland,4,6,9,1,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,10,0,8,18
['2016-01-30'],Scotland in Hong Kong T20I Series,953103,Scotland,4,10,7,1,0,142.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,14,0,8,22
['2015-08-12'],NatWest T20 Blast,804699,Sussex,6,15,9,0,1,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,21,0,0,21
['2015-07-17'],NatWest T20 Blast,804675,Sussex,3,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2015-07-10'],NatWest T20 Blast,804643,Sussex,3,12,8,1,1,150.0,[13],1.0,6,1,0,21,2,2,0,0,0,0,0,21.0,0,0,0,0,0,22,1,0,23
['2015-07-03'],NatWest T20 Blast,804625,Sussex,3,39,32,5,0,121.88,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,63,0,8,71
['2015-07-02'],NatWest T20 Blast,804609,Sussex,3,30,22,4,0,136.36,"[11, 13, 15]",3.0,18,5,0,15,0,0,1,0,0,0,2,5.0,0,0,0,0,2,52,34,0,86
['2015-06-26'],NatWest T20 Blast,804593,Sussex,3,5,9,1,0,55.56,[12],1.0,6,0,0,7,0,0,0,0,0,0,0,7.0,0,0,0,0,0,9,0,0,9
['2015-06-21'],NatWest T20 Blast,804583,Sussex,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2015-06-19'],NatWest T20 Blast,804571,Sussex,5,52,44,3,1,118.18,[10],1.0,6,1,0,9,1,0,1,0,0,0,1,9.0,1,0,0,0,0,78,26,8,112
['2015-06-14'],NatWest T20 Blast,804553,Sussex,5,7,6,0,0,116.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,7,0,0,7
['2015-06-12'],NatWest T20 Blast,804547,Sussex,5,10,10,0,1,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2015-05-17'],NatWest T20 Blast,804465,Sussex,5,24,22,0,0,109.09,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2015-05-15'],NatWest T20 Blast,804453,Sussex,5,3,3,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2014-07-25'],NatWest T20 Blast,693257,Sussex,5,41,26,1,2,157.69,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,65,0,8,73
['2014-07-18'],NatWest T20 Blast,693231,Sussex,5,6,8,0,0,75.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,6,0,8,14
['2014-07-15'],NatWest T20 Blast,693213,Sussex,5,33,35,2,0,94.29,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,45,0,16,61
['2014-07-11'],NatWest T20 Blast,693199,Sussex,5,4,11,0,0,36.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-2,0,0,-2
['2014-07-04'],NatWest T20 Blast,693183,Sussex,4,28,19,3,1,147.37,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,52,0,16,68
['2014-06-27'],NatWest T20 Blast,693147,Sussex,5,3,6,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2014-06-20'],NatWest T20 Blast,693131,Sussex,5,9,7,1,0,128.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,13,0,8,21
['2014-06-15'],NatWest T20 Blast,693111,Sussex,5,10,15,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-2,8,0,8,16
['2014-06-13'],NatWest T20 Blast,693103,Sussex,2,21,22,1,0,95.45,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2014-06-06'],NatWest T20 Blast,693077,Sussex,1,34,24,6,0,141.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,64,0,0,64
['2014-05-23'],NatWest T20 Blast,693037,Sussex,1,6,9,1,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,10,0,8,18
['2014-05-17'],NatWest T20 Blast,693025,Sussex,1,10,10,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,14,0,0,14
['2013-11-29'],ICC World Twenty20 Qualifier,660225,Scotland,3,1,5,0,0,20.0,"[2, 9, 15]",3.0,18,3,0,37,3,2,0,0,0,0,3,12.33,1,0,0,0,0,1,-3,8,6
['2013-11-28'],ICC World Twenty20 Qualifier,660223,Scotland,3,61,52,7,0,117.31,"[2, 6, 11, 15]",4.0,24,4,0,27,2,0,0,0,0,0,0,6.75,0,0,0,0,0,97,6,0,103
['2013-11-27'],ICC World Twenty20 Qualifier,660215,Scotland,3,1,5,0,0,20.0,"[2, 5, 12, 14]",4.0,24,5,0,24,1,0,1,0,0,0,1,6.0,0,0,0,0,0,1,32,0,33
['2013-11-24'],ICC World Twenty20 Qualifier,660195,Scotland,3,90,55,9,4,163.64,"[2, 13, 15, 20]",4.0,24,9,0,33,2,2,1,0,0,0,0,8.25,1,0,0,0,4,166,34,8,208
['2013-11-22'],ICC World Twenty20 Qualifier,660173,Scotland,3,67,46,6,1,145.65,"[2, 6, 10, 15]",4.0,24,9,0,23,2,0,0,0,0,0,0,5.75,0,0,0,0,2,107,13,0,120
['2013-11-21'],ICC World Twenty20 Qualifier,660163,Scotland,3,44,25,2,2,176.0,"[2, 14]",2.0,12,5,0,7,0,0,0,0,0,0,0,3.5,1,0,0,0,6,74,11,8,93
['2013-11-19'],ICC World Twenty20 Qualifier,660149,Scotland,3,13,6,3,0,216.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,25,0,0,25
['2013-11-18'],ICC World Twenty20 Qualifier,660139,Scotland,3,28,19,3,1,147.37,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,52,0,0,52
['2013-11-15'],ICC World Twenty20 Qualifier,660099,Scotland,3,5,4,1,0,125.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
