date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2013-11-21'],New Zealand in Sri Lanka T20I Series,668969,New Zealand,8,2,2,0,0,100.0,"[11, 14]",2.0,12,3,0,18,3,0,1,0,0,0,0,9.0,1,0,0,0,0,2,28,8,38
['2012-12-26'],New Zealand in South Africa T20I Series,567355,New Zealand,1,5,3,1,0,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,9,0,0,9
['2012-12-23'],New Zealand in South Africa T20I Series,567354,New Zealand,2,25,24,4,0,104.17,[13],1.0,6,2,0,7,1,0,0,0,0,0,0,7.0,0,0,0,0,0,45,2,0,47
['2012-12-21'],New Zealand in South Africa T20I Series,567353,New Zealand,1,3,5,0,0,60.0,[12],1.0,6,1,0,11,2,0,0,0,0,0,0,11.0,0,0,0,0,0,3,1,0,4
['2012-10-30'],NA,582186,New Zealand,1,1,12,0,0,8.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-5,0,0,-5
['2012-10-01'],ICC World Twenty20,533292,New Zealand,1,3,5,0,0,60.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,3
['2012-09-29'],ICC World Twenty20,533288,New Zealand,2,11,15,1,0,73.33,"[8, 10, 16]",3.0,18,5,0,29,1,2,0,0,0,0,1,9.67,0,0,0,0,0,15,5,0,20
['2012-09-27'],ICC World Twenty20,533284,New Zealand,1,58,40,3,4,145.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,104,0,0,104
['2012-09-23'],ICC World Twenty20,533280,New Zealand,1,33,28,3,1,117.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,55,0,8,63
['2012-09-21'],ICC World Twenty20,533276,New Zealand,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2012-09-11'],New Zealand in India T20I Series,565820,New Zealand,1,0,4,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2012-07-01'],New Zealand v West Indies T20I Series,560922,New Zealand,1,7,12,0,0,58.33,"[12, 14]",2.0,12,7,0,11,0,1,1,0,0,0,0,5.5,0,0,0,0,-4,3,36,0,39
['2012-06-30'],New Zealand v West Indies T20I Series,560921,New Zealand,1,32,31,5,0,103.23,"[13, 15]",2.0,12,3,0,24,1,2,0,0,0,0,3,12.0,0,0,0,0,0,56,-1,0,55
['2012-02-22'],South Africa in New Zealand T20I Series,520599,New Zealand,1,33,19,5,1,173.68,"[13, 15, 19]",3.0,18,6,0,20,1,1,2,1,1,0,0,6.67,2,0,1,0,6,69,74,28,171
['2012-02-19'],South Africa in New Zealand T20I Series,520598,New Zealand,1,23,17,3,1,135.29,[5],1.0,6,2,0,10,0,1,1,0,0,0,2,10.0,0,0,0,0,2,43,27,0,70
['2012-02-17'],South Africa in New Zealand T20I Series,520597,New Zealand,1,13,18,1,0,72.22,[14],1.0,6,3,0,3,0,0,0,0,0,0,0,3.0,0,0,0,0,0,17,3,0,20
['2012-02-14'],Zimbabwe in New Zealand T20I Series,520596,New Zealand,1,56,37,4,4,151.35,[13],1.0,6,2,0,5,0,0,0,0,0,0,0,5.0,0,0,0,0,4,108,2,0,110
['2012-02-11'],Zimbabwe in New Zealand T20I Series,520595,New Zealand,1,12,8,2,0,150.0,[9],1.0,6,2,0,9,0,1,0,0,0,0,0,9.0,0,0,0,0,0,20,2,0,22
['2011-10-17'],New Zealand in Zimbabwe T20I Series,527013,New Zealand,5,0,0,0,0,0.0,[11],1.0,6,1,0,11,0,1,0,0,0,0,0,11.0,0,0,0,0,0,0,1,0,1
['2010-05-23'],New Zealand v Sri Lanka T20I Series,456992,New Zealand,4,0,1,0,0,0.0,"[14, 16]",1.5,9,4,0,9,1,0,0,0,0,0,1,6.0,1,0,0,0,0,-2,4,8,10
['2010-05-22'],New Zealand v Sri Lanka T20I Series,456991,New Zealand,3,10,15,1,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,12,0,0,12
