date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2022-02-27'],Sri Lanka tour of India,1278686,Sri Lanka,5,22,27,2,0,81.48,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,30,0,8,38
['2022-02-26'],Sri Lanka tour of India,1278685,Sri Lanka,5,9,10,1,0,90.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
['2022-02-24'],Sri Lanka tour of India,1278684,Sri Lanka,5,10,9,0,1,111.11,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2022-02-18'],Sri Lanka tour of Australia,1263474,Sri Lanka,5,2,3,0,0,66.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2022-02-15'],Sri Lanka tour of Australia,1263473,Sri Lanka,5,25,29,1,0,86.21,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,33,0,0,33
['2022-02-13'],Sri Lanka tour of Australia,1263472,Sri Lanka,5,19,22,1,1,86.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,29,0,20,49
['2022-02-11'],Sri Lanka tour of Australia,1263471,Sri Lanka,7,25,16,3,1,156.25,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,51,0,0,51
['2021-10-20'],ICC Men's T20 World Cup,1273719,Sri Lanka,3,6,6,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2021-10-18'],ICC Men's T20 World Cup,1273715,Sri Lanka,3,5,12,0,0,41.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-1,0,0,-1
['2021-09-12'],South Africa tour of Sri Lanka,1271631,Sri Lanka,2,5,8,0,0,62.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,5,0,8,13
['2021-09-10'],South Africa tour of Sri Lanka,1271630,Sri Lanka,2,66,54,5,2,122.22,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,106,0,0,106
['2021-03-07'],Sri Lanka tour of West Indies,1252068,Sri Lanka,4,54,46,3,0,117.39,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,74,0,0,74
['2021-03-05'],Sri Lanka tour of West Indies,1252067,Sri Lanka,3,3,7,0,0,42.86,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2021-03-03'],Sri Lanka tour of West Indies,1252066,Sri Lanka,4,11,10,0,1,110.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,17,0,0,17
['2018-10-27'],England tour of Sri Lanka,1140384,Sri Lanka,3,26,20,5,0,130.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2,52,0,8,60
['2018-08-14'],South Africa tour of Sri Lanka,1142589,Sri Lanka,3,36,32,3,1,112.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,58,0,28,86
['2018-03-10'],Nidahas Trophy,1133819,Sri Lanka,5,2,4,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2018-03-06'],Nidahas Trophy,1133817,Sri Lanka,4,14,11,1,0,127.27,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2018-02-18'],Sri Lanka tour of Bangladesh,1130747,Sri Lanka,6,2,1,0,0,200.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,2,0,12,14
['2018-02-15'],Sri Lanka tour of Bangladesh,1130746,Sri Lanka,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2017-01-25'],Sri Lanka in South Africa T20I Series,936157,Sri Lanka,3,5,5,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,5,0,18,23
['2017-01-22'],Sri Lanka in South Africa T20I Series,936155,Sri Lanka,4,22,28,0,0,78.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,0,0,0,22,0,40,62
['2017-01-20'],Sri Lanka in South Africa T20I Series,936153,Sri Lanka,7,6,5,1,0,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,10,0,0,10
['2016-09-09'],Australia in Sri Lanka T20I Series,995469,Sri Lanka,4,4,5,0,0,80.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,4,0,14,18
['2016-09-06'],Australia in Sri Lanka T20I Series,995467,Sri Lanka,4,58,43,6,1,134.88,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,98,0,0,98
['2016-07-05'],NA,913633,Sri Lanka,5,23,22,1,1,104.55,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,33,0,12,45
['2016-03-28'],World T20,951367,Sri Lanka,1,21,19,2,1,110.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,35,0,0,35
['2016-03-26'],World T20,951361,Sri Lanka,1,1,3,0,0,33.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2016-03-20'],World T20,951345,Sri Lanka,1,16,18,1,1,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,26,0,12,38
['2016-03-04'],Asia Cup,966763,Sri Lanka,1,58,49,7,1,118.37,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,100,0,0,100
['2016-03-01'],Asia Cup,966757,Sri Lanka,1,4,11,1,0,36.36,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,-6,2,0,8,10
['2016-02-28'],Asia Cup,966753,Sri Lanka,1,37,37,4,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,57,0,14,71
['2016-02-25'],Asia Cup,966747,Sri Lanka,1,50,39,7,1,128.21,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,92,0,16,108
['2016-02-14'],Sri Lanka in India T20I Series,963701,Sri Lanka,3,8,9,2,0,88.89,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2016-02-12'],Sri Lanka in India T20I Series,963699,Sri Lanka,4,31,30,2,0,103.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,43,0,8,51
['2016-02-09'],Sri Lanka in India T20I Series,963697,Sri Lanka,3,35,35,1,2,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,55,0,14,69
['2016-01-10'],Sri Lanka in New Zealand T20I Series,914219,Sri Lanka,4,2,4,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2016-01-07'],Sri Lanka in New Zealand T20I Series,914217,Sri Lanka,3,7,7,1,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,11,0,0,11
['2015-11-11'],West Indies in Sri Lanka T20I Series,915785,Sri Lanka,4,1,2,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,8,9
['2015-11-09'],West Indies in Sri Lanka T20I Series,915783,Sri Lanka,4,40,19,4,2,210.53,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,78,0,8,86
['2014-10-02'],Asian Games Men's Cricket Competition,778039,Sri Lanka,2,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2014-09-30'],Asian Games Men's Cricket Competition,778031,Sri Lanka,3,83,51,6,3,162.75,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,4,141,0,12,153
['2014-05-20'],NA,667887,Sri Lanka,5,7,5,0,1,140.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,13,0,8,21
['2014-03-27'],World T20,682939,Sri Lanka,7,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2014-03-24'],World T20,682933,Sri Lanka,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,8,8
['2014-03-22'],World T20,682923,Sri Lanka,6,12,9,1,0,133.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,16,0,8,24
['2014-02-14'],Sri Lanka in Bangladesh T20I Series,690353,Sri Lanka,3,3,8,0,0,37.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,0,0,0,3,0,36,39
['2014-02-12'],Sri Lanka in Bangladesh T20I Series,690351,Sri Lanka,3,18,15,2,1,120.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,32,0,0,32
['2013-12-13'],Pakistan v Sri Lanka T20I Series,657635,Sri Lanka,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,16,16
['2013-12-11'],Pakistan v Sri Lanka T20I Series,657633,Sri Lanka,3,22,22,3,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,34,0,8,42
['2013-11-21'],New Zealand in Sri Lanka T20I Series,668969,Sri Lanka,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2013-08-06'],South Africa in Sri Lanka T20I Series,635660,Sri Lanka,4,14,18,1,0,77.78,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2013-08-04'],South Africa in Sri Lanka T20I Series,635659,Sri Lanka,3,2,7,0,0,28.57,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,2,0,8,10
['2013-08-02'],South Africa in Sri Lanka T20I Series,635658,Sri Lanka,3,8,8,2,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2013-03-31'],NA,602477,Sri Lanka,3,9,13,0,0,69.23,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,-2,7,0,6,13
