date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-22'],Caribbean Premier League,1428702,St Kitts and Nevis Patriots,9,0,0,0,0,0.0,"[1, 3]",2.0,12,5,0,17,1,1,0,0,0,0,0,8.5,0,0,0,0,0,0,5,0,5
['2024-09-20'],Caribbean Premier League,1428698,St Kitts and Nevis Patriots,10,5,3,1,0,166.67,"[1, 3, 13, 15]",4.0,24,15,0,25,0,3,4,1,1,0,1,6.25,1,0,0,0,0,9,141,8,158
['2024-09-08'],Caribbean Premier League,1428688,St Kitts and Nevis Patriots,10,0,0,0,0,0.0,"[2, 6, 13, 15]",4.0,24,9,0,32,3,1,0,0,0,0,0,8.0,1,0,0,0,0,0,9,8,17
['2024-09-01'],Caribbean Premier League,1428682,St Kitts and Nevis Patriots,9,0,0,0,0,0.0,"[2, 7, 9]",3.0,18,4,0,46,4,4,0,0,0,0,0,15.33,0,0,0,0,0,0,-2,0,-2
['2024-08-29'],Caribbean Premier League,1428678,St Kitts and Nevis Patriots,9,2,3,0,0,66.67,"[7, 9, 11, 13]",4.0,24,10,0,21,2,0,1,0,0,0,0,5.25,0,0,0,0,0,2,39,0,41
['2023-09-16'],Caribbean Premier League,1369584,St Kitts and Nevis Patriots,11,0,0,0,0,0.0,"[2, 4, 6]",3.0,18,11,0,25,1,2,2,0,0,0,5,8.33,0,0,0,0,0,0,61,0,61
['2023-09-09'],Caribbean Premier League,1369578,St Kitts and Nevis Patriots,11,0,0,0,0,0.0,"[1, 3, 5, 7]",4.0,24,15,0,14,2,0,2,1,0,0,0,3.5,0,0,0,0,0,0,79,0,79
['2023-08-26'],Caribbean Premier League,1369567,St Kitts and Nevis Patriots,10,0,0,0,0,0.0,"[1, 7, 9, 18]",4.0,24,5,0,36,3,1,1,0,0,0,0,9.0,0,0,0,0,0,0,30,0,30
['2021-09-01'],Caribbean Premier League,1269710,Guyana Amazon Warriors,11,0,0,0,0,0.0,[13],1.0,6,1,0,10,0,1,0,0,0,0,0,10.0,0,0,0,0,0,0,1,0,1
['2021-08-28'],Caribbean Premier League,1269704,Guyana Amazon Warriors,10,1,3,0,0,33.33,"[10, 16, 19]",2.833,17,7,0,18,1,1,0,0,0,0,0,6.35,0,0,0,0,0,1,9,0,10
['2021-08-26'],Caribbean Premier League,1269700,Guyana Amazon Warriors,10,0,0,0,0,0.0,"[5, 10, 13, 17]",4.0,24,10,0,28,1,2,0,0,0,0,0,7.0,0,0,0,0,0,0,12,0,12
['2020-08-30'],Caribbean Premier League,1227884,Guyana Amazon Warriors,11,0,0,0,0,0.0,"[11, 13, 15]",3.0,18,6,0,26,2,1,0,0,0,0,1,8.67,0,0,0,0,0,0,6,0,6
['2020-08-25'],Caribbean Premier League,1227876,Guyana Amazon Warriors,11,0,0,0,0,0.0,"[3, 7, 9, 14]",4.0,24,11,0,17,1,0,1,0,0,0,0,4.25,0,0,0,0,0,0,42,0,42
['2020-08-23'],Caribbean Premier League,1227874,Guyana Amazon Warriors,11,0,0,0,0,0.0,"[4, 7, 10, 13]",4.0,24,9,0,20,0,0,1,0,0,0,0,5.0,1,0,0,0,0,0,38,8,46
['2020-08-22'],Caribbean Premier League,1227872,Guyana Amazon Warriors,10,1,2,0,0,50.0,"[4, 8, 12, 14]",4.0,24,18,1,10,1,0,1,0,0,0,0,2.5,0,0,0,0,0,1,61,0,62
