date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-08-24'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444963,Vanuatu,11,1,1,0,0,100.0,"[1, 3, 15, 19]",4.0,24,8,0,20,0,0,1,0,1,0,0,5.0,1,0,0,0,0,1,45,8,54
['2024-08-23'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444960,Vanuatu,9,0,0,0,0,0.0,"[5, 7, 15, 19]",4.0,24,7,0,39,3,2,1,0,0,0,2,9.75,1,0,0,0,0,0,32,8,40
['2024-08-21'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444959,Vanuatu,11,2,2,0,0,100.0,"[1, 6, 16]",3.0,18,6,0,26,4,0,0,0,0,0,0,8.67,0,0,0,0,0,2,6,0,8
['2024-08-20'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444956,Vanuatu,9,7,5,1,0,140.0,"[1, 6, 13, 17]",4.0,24,12,0,33,3,2,2,0,0,0,2,8.25,0,0,0,0,0,11,62,0,73
['2024-08-19'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444955,Vanuatu,11,0,0,0,0,0.0,"[1, 3, 11, 17]",4.0,24,11,0,17,1,0,0,0,0,0,0,4.25,0,0,0,0,0,0,17,0,17
['2024-08-17'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1444952,Vanuatu,11,0,0,0,0,0.0,"[2, 6, 15]",3.0,18,4,0,34,4,1,0,0,0,0,1,11.33,0,0,0,0,0,0,0,0,0
['2024-03-11'],Malaysia Open T20 Championship,1422817,Vanuatu,11,0,0,0,0,0.0,[12],0.5,3,1,0,5,1,0,0,0,0,0,0,10.0,0,0,0,0,0,0,1,0,1
['2023-07-29'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383099,Vanuatu,11,0,0,0,0,0.0,"[3, 11, 18]",3.0,18,11,0,11,0,0,0,0,0,0,2,3.67,0,0,0,0,0,0,17,0,17
['2023-07-28'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383097,Vanuatu,11,0,0,0,0,0.0,"[5, 9, 15, 19]",4.0,24,11,0,21,1,0,3,0,0,0,0,5.25,0,0,0,1,0,0,94,6,100
['2023-07-26'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383095,Vanuatu,11,6,4,1,0,150.0,"[5, 9, 11, 13]",4.0,24,8,0,32,0,3,1,0,0,1,0,8.0,0,0,0,0,0,10,33,0,43
['2023-07-25'],ICC Men's T20 World Cup East Asia-Pacific Qualifier,1383093,Vanuatu,11,3,3,0,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,0,8,11
['2022-09-15'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333929,Vanuatu,9,0,0,0,0,0.0,"[7, 9]",2.0,12,2,0,28,5,0,2,0,0,1,0,14.0,0,0,0,0,0,0,46,0,46
['2022-09-14'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333926,Vanuatu,10,0,0,0,0,0.0,"[7, 9, 11, 13]",4.0,24,11,0,21,1,1,0,0,0,0,0,5.25,0,0,1,0,0,0,15,12,27
['2022-09-13'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333925,Vanuatu,9,0,0,0,0,0.0,"[8, 20]",2.0,12,6,0,15,0,1,1,0,0,1,0,7.5,0,0,0,0,0,0,31,0,31
['2022-09-11'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333922,Vanuatu,11,0,0,0,0,0.0,"[6, 8, 10]",3.0,18,7,0,23,2,1,0,0,0,0,0,7.67,0,0,0,0,0,0,7,0,7
['2022-09-10'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333921,Vanuatu,11,0,0,0,0,0.0,"[10, 12, 14, 16]",4.0,24,8,0,22,1,0,2,0,1,0,2,5.5,1,0,0,0,0,0,70,8,78
