date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-02-24'],Bahrain tour of Indonesia,1471826,Indonesia,7,4,6,0,0,66.67,"[3, 5, 11, 17]",4.0,24,8,0,20,0,0,2,0,0,0,0,5.0,0,0,0,0,0,4,62,0,66
['2025-02-23'],Bahrain tour of Indonesia,1471825,Indonesia,8,9,8,1,0,112.5,"[6, 13, 20]",3.0,18,4,0,38,3,3,0,0,0,0,0,12.67,0,0,0,0,0,13,-2,0,11
['2025-02-22'],Bahrain tour of Indonesia,1471824,Indonesia,8,0,0,0,0,0.0,"[6, 13, 15, 17]",4.0,24,12,0,20,2,0,3,0,0,0,1,5.0,2,0,0,0,0,0,95,16,111
['2025-02-20'],Bahrain tour of Indonesia,1471823,Indonesia,6,11,6,1,1,183.33,[1],1.0,6,0,0,12,1,0,0,0,0,0,2,12.0,0,0,0,0,0,21,0,0,21
['2025-02-19'],Bahrain tour of Indonesia,1471822,Indonesia,8,7,7,1,0,100.0,"[6, 8, 18, 20]",4.0,24,7,0,23,1,0,2,0,1,0,0,5.75,1,0,0,0,0,11,69,8,88
['2024-11-19'],Myanmar tour of Indonesia,1456872,Indonesia,8,1,2,0,0,50.0,"[11, 13, 15, 17]",4.0,24,14,0,14,1,0,0,0,0,1,1,3.5,0,0,0,1,0,1,20,6,27
['2024-11-17'],Myanmar tour of Indonesia,1456871,Indonesia,8,40,17,3,3,235.29,"[2, 4, 16, 18]",3.333,20,14,0,18,3,0,4,0,1,0,3,5.4,1,0,0,0,6,80,134,8,222
['2024-11-16'],Myanmar tour of Indonesia,1456870,Indonesia,6,1,3,0,0,33.33,"[1, 3, 5, 19]",4.0,24,15,1,19,1,1,0,0,0,0,2,4.75,0,0,0,0,0,1,33,0,34
['2024-11-15'],Myanmar tour of Indonesia,1456869,Indonesia,9,0,0,0,0,0.0,"[2, 4, 17, 19]",4.0,24,8,0,24,0,1,0,0,0,0,1,6.0,2,0,0,0,0,0,10,16,26
['2024-11-13'],Myanmar tour of Indonesia,1456868,Indonesia,9,0,0,0,0,0.0,"[5, 7, 17, 19]",4.0,24,16,0,16,2,0,1,0,1,0,1,4.0,1,0,0,0,0,0,55,8,63
['2024-11-12'],Myanmar tour of Indonesia,1456867,Indonesia,9,0,0,0,0,0.0,"[5, 7]",2.0,12,8,0,4,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,14,0,14
['2024-10-24'],Bhutan Quadrangular T20I Series,1453919,Indonesia,4,0,2,0,0,0.0,[5],1.0,6,4,0,15,0,2,0,0,0,0,3,15.0,0,0,0,0,0,-2,4,0,2
['2024-10-23'],Bhutan Quadrangular T20I Series,1453917,Indonesia,4,5,7,0,0,71.43,"[5, 15, 17, 19]",4.0,24,6,0,26,1,1,2,0,1,0,0,6.5,0,0,0,1,0,5,66,6,77
['2024-10-22'],Bhutan Quadrangular T20I Series,1453916,Indonesia,4,13,13,0,1,100.0,"[5, 7, 14, 16]",4.0,24,9,0,25,0,1,1,0,1,0,3,6.25,0,0,0,0,0,19,44,0,63
['2024-10-20'],Bhutan Quadrangular T20I Series,1453914,Indonesia,7,27,19,0,2,142.11,"[1, 7, 9]",3.0,18,8,0,23,2,0,0,0,0,0,7,7.67,0,0,0,0,2,45,8,0,53
['2024-10-19'],Bhutan Quadrangular T20I Series,1453912,Indonesia,7,4,2,1,0,200.0,[5],1.0,6,3,0,12,2,0,0,0,0,0,2,12.0,0,0,0,0,0,8,3,0,11
['2024-10-05'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450779,Indonesia,8,1,3,0,0,33.33,"[13, 15, 17, 19]",4.0,24,5,0,36,1,2,0,0,0,1,0,9.0,0,0,0,0,0,1,5,0,6
['2024-10-04'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450776,Indonesia,5,3,4,0,0,75.0,[5],1.0,6,0,0,8,0,0,0,0,0,0,0,8.0,0,0,0,0,0,3,0,0,3
['2024-10-02'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450775,Indonesia,4,30,14,0,3,214.29,"[5, 16]",2.0,12,3,0,20,2,0,0,0,0,0,0,10.0,0,0,0,0,6,58,1,0,59
['2024-10-01'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450772,Indonesia,7,19,15,1,1,126.67,"[1, 3, 12]",3.0,18,4,0,25,1,1,0,0,0,0,0,8.33,1,0,0,0,0,29,4,8,41
['2024-09-29'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450770,Indonesia,8,1,7,0,0,14.29,"[1, 3, 5, 17]",4.0,24,15,0,17,0,1,2,0,1,0,1,4.25,0,0,0,0,0,1,79,0,80
['2024-09-28'],ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1450769,Indonesia,7,9,13,0,0,69.23,"[1, 14, 16, 18]",4.0,24,11,0,24,3,0,2,0,0,0,1,6.0,3,0,0,0,-2,7,63,28,98
['2024-09-25'],Japan tour of South Korea,1450766,Indonesia,6,5,4,1,0,125.0,"[1, 3, 5]",3.0,18,7,0,24,1,0,1,1,0,0,3,8.0,0,0,0,0,0,9,40,0,49
['2024-05-06'],Thailand tour of Indonesia,1431611,Indonesia,10,0,0,0,0,0.0,"[1, 3]",2.0,12,7,0,12,0,1,2,0,0,0,2,6.0,0,0,0,0,0,0,59,0,59
['2024-05-05'],Thailand tour of Indonesia,1431610,Indonesia,6,0,1,0,0,0.0,"[1, 3, 5, 19]",4.0,24,11,0,29,1,1,1,0,0,0,8,7.25,0,0,0,0,0,-2,36,0,34
['2024-05-04'],Thailand tour of Indonesia,1431609,Indonesia,7,19,14,1,1,135.71,"[1, 3, 5, 20]",4.0,24,15,0,20,1,1,1,0,0,0,2,5.0,0,0,0,0,2,31,44,0,75
['2024-05-02'],Thailand tour of Indonesia,1431608,Indonesia,10,0,0,0,0,0.0,"[1, 3, 5, 15]",4.0,24,15,0,17,1,0,3,0,0,0,4,4.25,0,0,0,0,0,0,100,0,100
['2024-05-01'],Thailand tour of Indonesia,1431607,Indonesia,8,4,5,0,0,80.0,"[2, 4, 6]",3.0,18,12,0,17,0,2,2,0,0,0,0,5.67,0,0,0,0,0,4,66,0,70
['2024-02-07'],Asian Cricket Council Men's Challenger Cup,1418192,Indonesia,7,2,2,0,0,100.0,[17],1.0,6,1,0,8,1,0,0,0,0,0,0,8.0,0,0,0,0,0,2,1,0,3
['2024-02-05'],Asian Cricket Council Men's Challenger Cup,1418188,Indonesia,10,0,3,0,0,0.0,"[2, 4]",2.0,12,6,0,24,2,2,0,0,0,0,2,12.0,0,0,0,0,0,-2,2,0,0
['2024-02-03'],Asian Cricket Council Men's Challenger Cup,1418185,Indonesia,8,1,2,0,0,50.0,"[3, 5, 16, 18]",4.0,24,11,0,26,4,0,2,0,0,0,1,6.5,0,0,0,0,0,1,63,0,64
['2024-02-01'],Asian Cricket Council Men's Challenger Cup,1418181,Indonesia,6,1,2,0,0,50.0,"[2, 4]",2.0,12,7,0,13,2,0,0,0,0,0,1,6.5,1,0,0,0,0,1,9,8,18
['2023-12-26'],Philippines tour of Indonesia,1412535,Indonesia,9,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2023-12-24'],Philippines tour of Indonesia,1412533,Indonesia,7,8,5,0,1,160.0,[2],1.0,6,2,0,14,0,2,1,0,0,0,0,14.0,0,0,0,0,0,14,27,0,41
['2023-12-24'],Philippines tour of Indonesia,1412534,Indonesia,8,9,5,1,0,180.0,"[15, 19]",2.0,12,5,0,14,0,1,0,0,0,0,0,7.0,0,0,0,0,0,13,7,0,20
['2023-12-23'],Philippines tour of Indonesia,1412531,Indonesia,7,0,0,0,0,0.0,"[2, 12, 14, 20]",4.0,24,9,0,37,2,3,0,0,0,0,1,9.25,0,0,0,1,0,0,9,6,15
