date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-03-04'],Bahrain tour of Singapore,1474263,Bahrain,5,0,0,0,0,0.0,"[2, 5, 15, 20]",4.0,24,10,0,34,6,0,0,0,0,0,3,8.5,1,0,0,0,0,0,10,8,18
['2025-03-02'],Bahrain tour of Singapore,1474262,Bahrain,5,0,0,0,0,0.0,"[2, 4, 16, 19]",4.0,24,9,0,25,1,1,1,0,0,0,0,6.25,0,0,0,0,0,0,36,0,36
['2025-03-01'],Bahrain tour of Singapore,1474261,Bahrain,6,0,0,0,0,0.0,"[2, 4, 12]",3.0,18,13,1,5,0,0,1,0,0,0,0,1.67,0,0,0,0,0,0,56,0,56
['2025-02-28'],Bahrain tour of Singapore,1474260,Bahrain,5,5,4,1,0,125.0,"[2, 4, 16, 18]",4.0,24,11,0,20,2,0,3,0,2,1,1,5.0,0,0,0,0,0,9,110,0,119
['2024-12-20'],Gulf T20I Championship,1463665,Bahrain,3,5,4,1,0,125.0,"[2, 4]",2.0,12,6,0,14,1,1,0,0,0,0,0,7.0,0,0,0,0,0,9,8,0,17
['2024-12-17'],Gulf T20I Championship,1463661,Bahrain,6,0,1,0,0,0.0,"[2, 4, 6, 8]",4.0,24,9,0,29,3,0,2,0,0,0,1,7.25,0,0,0,0,0,-2,59,0,57
['2024-12-16'],Gulf T20I Championship,1463658,Bahrain,5,0,0,0,0,0.0,"[2, 4, 6, 8]",4.0,24,13,0,18,2,0,1,0,0,0,0,4.5,0,0,0,0,0,0,44,0,44
['2024-12-14'],Gulf T20I Championship,1463654,Bahrain,3,3,7,0,0,42.86,"[2, 4, 6, 8]",4.0,24,14,0,27,5,0,3,0,0,0,0,6.75,0,0,0,0,0,3,95,0,98
['2024-12-13'],Gulf T20I Championship,1463652,Bahrain,7,2,15,0,0,13.33,"[4, 6, 8]",3.0,18,9,0,17,2,0,1,0,0,0,0,5.67,0,0,0,0,-6,-4,38,0,34
['2024-11-28'],ICC Men's T20 World Cup Asia Qualifier B,1459278,Bahrain,3,30,28,0,2,107.14,[20],0.5,3,0,0,7,1,0,0,0,0,0,0,14.0,0,0,0,0,0,46,0,0,46
['2024-11-26'],ICC Men's T20 World Cup Asia Qualifier B,1457233,Bahrain,7,2,2,0,0,100.0,[4],1.0,6,2,0,14,0,2,0,0,0,0,0,14.0,0,0,0,0,0,2,2,0,4
['2024-11-25'],ICC Men's T20 World Cup Asia Qualifier B,1457229,Bahrain,3,4,2,1,0,200.0,"[9, 11, 13, 15]",4.0,24,6,0,37,5,0,0,0,0,0,1,9.25,0,0,0,0,0,8,6,0,14
['2024-11-23'],ICC Men's T20 World Cup Asia Qualifier B,1457226,Bahrain,3,0,1,0,0,0.0,"[10, 12, 14, 16]",4.0,24,9,0,25,1,1,2,0,0,0,0,6.25,0,0,0,0,0,-2,61,0,59
['2024-11-22'],ICC Men's T20 World Cup Asia Qualifier B,1457224,Bahrain,3,0,2,0,0,0.0,"[9, 17]",2.0,12,6,0,11,0,1,0,0,0,0,0,5.5,0,0,0,0,0,-2,10,0,8
['2024-11-19'],ICC Men's T20 World Cup Asia Qualifier B,1457219,Bahrain,3,53,34,2,4,155.88,"[9, 11, 13, 20]",4.0,24,5,0,34,2,2,2,0,0,0,0,8.5,1,0,0,1,4,97,55,14,166
['2024-10-29'],Bahrain tour of Uganda,1457351,Bahrain,3,1,4,0,0,25.0,"[8, 10]",2.333,14,6,0,15,1,0,1,1,0,0,1,6.43,0,0,0,0,0,1,41,0,42
['2024-10-28'],Bahrain tour of Uganda,1457350,Bahrain,3,26,18,0,3,144.44,"[5, 11]",2.0,12,5,0,12,1,0,1,1,0,0,0,6.0,0,0,1,0,2,50,40,12,102
['2024-04-16'],ACC Men's Premier Cup,1426470,Bahrain,9,0,0,0,0,0.0,"[10, 12]",2.0,12,2,0,14,1,0,0,0,0,0,0,7.0,1,0,0,0,0,0,4,8,12
['2024-04-15'],ACC Men's Premier Cup,1426468,Bahrain,4,25,21,1,2,119.05,"[7, 9, 11]",3.0,18,5,0,26,4,0,2,0,0,0,1,8.67,0,0,0,0,0,45,55,0,100
['2024-04-13'],ACC Men's Premier Cup,1426460,Bahrain,4,60,22,2,7,272.73,"[8, 10, 20]",3.0,18,6,0,40,3,3,3,2,1,1,1,13.33,0,0,0,0,6,124,103,0,227
['2024-04-12'],ACC Men's Premier Cup,1426455,Bahrain,4,1,4,0,0,25.0,"[11, 13]",2.0,12,2,0,11,0,0,0,0,0,0,0,5.5,0,0,0,0,0,1,6,0,7
['2024-03-11'],Malaysia Open T20 Championship,1422818,Bahrain,5,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-03-10'],Malaysia Open T20 Championship,1422815,Bahrain,2,0,2,0,0,0.0,"[5, 7]",2.0,12,3,0,11,1,0,0,0,0,0,1,5.5,0,0,0,0,0,-2,7,0,5
['2024-03-09'],Malaysia Open T20 Championship,1422814,Bahrain,7,5,5,0,0,100.0,"[10, 12]",2.0,12,6,0,8,0,0,0,0,0,0,0,4.0,0,0,0,0,0,5,12,0,17
['2024-03-07'],Malaysia Open T20 Championship,1422811,Bahrain,6,0,0,0,0,0.0,[6],1.0,6,0,0,15,3,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0
['2024-03-05'],Malaysia Open T20 Championship,1422808,Bahrain,6,0,0,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2023-11-02'],ICC Men's T20 World Cup Asia Qualifier Final,1405324,Bahrain,3,37,24,2,3,154.17,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,71,0,0,71
['2023-10-31'],ICC Men's T20 World Cup Asia Qualifier Final,1405318,Bahrain,2,15,14,3,0,107.14,"[12, 14, 19]",3.0,18,4,0,32,2,2,1,1,0,0,2,10.67,0,0,0,0,0,27,35,0,62
['2023-10-30'],ICC Men’s T20 World Cup Asia Qualifier Final,1405313,Bahrain,3,0,4,0,0,0.0,"[8, 10, 19]",2.333,14,6,0,15,2,0,0,0,0,0,0,6.43,1,0,0,0,0,-2,8,8,14
['2023-09-22'],Gulf Cricket T20I Championship,1397437,Bahrain,3,26,22,0,2,118.18,"[5, 7, 9, 19]",4.0,24,8,0,33,3,0,2,0,1,0,5,8.25,0,0,0,0,0,42,66,0,108
['2023-09-19'],Gulf Cricket T20I Championship,1392811,Bahrain,3,0,4,0,0,0.0,"[7, 9, 17, 19]",4.0,24,7,0,23,1,1,2,0,1,0,0,5.75,0,0,0,0,0,-2,69,0,67
['2023-09-18'],Gulf Cricket T20I Championship,1392809,Bahrain,3,21,21,1,1,100.0,"[5, 7, 9]",3.0,18,12,0,6,0,0,1,0,0,0,0,2.0,0,0,0,0,0,31,43,0,74
['2023-09-16'],Gulf Cricket T20I Championship,1392805,Bahrain,6,1,2,0,0,50.0,"[11, 13]",2.0,12,4,0,23,3,1,0,0,0,1,0,11.5,0,0,0,0,0,1,0,0,1
['2023-09-15'],Gulf Cricket T20I Championship,1392803,Bahrain,6,37,27,2,2,137.04,"[6, 8]",2.0,12,4,0,14,2,0,0,0,0,0,0,7.0,0,0,1,0,2,63,6,12,81
['2023-03-12'],Quadrangular Twenty20 Series (Hong Kong),1361776,Bahrain,3,6,15,1,0,40.0,"[7, 9, 11, 13]",4.0,24,10,0,19,1,0,3,1,0,0,0,4.75,0,0,0,0,-6,4,103,0,107
['2023-03-11'],Quadrangular Twenty20 Series (Hong Kong),1361774,Bahrain,3,87,51,6,7,170.59,"[9, 11, 13, 15]",4.0,24,13,0,22,2,1,3,0,0,0,0,5.5,0,0,0,0,6,171,96,0,267
['2023-03-09'],Quadrangular Twenty20 Series (Hong Kong),1361772,Bahrain,3,8,5,0,1,160.0,"[7, 9]",2.0,12,3,0,22,2,1,0,0,0,0,1,11.0,0,0,0,0,0,14,1,0,15
['2023-03-08'],Quadrangular Twenty20 Series (Hong Kong),1361771,Bahrain,3,29,15,2,3,193.33,"[9, 11, 15, 17]",4.0,24,5,0,35,3,1,1,1,0,0,1,8.75,1,0,0,0,6,65,38,8,111
['2022-12-23'],Quadrangular Twenty20 Series (Malaysia),1349391,Bahrain,3,7,6,0,1,116.67,"[8, 10, 12, 14]",4.0,24,6,0,26,1,0,2,0,0,1,1,6.5,2,0,0,0,0,13,58,16,87
['2022-12-22'],Quadrangular Twenty20 Series (Malaysia),1349389,Bahrain,3,46,40,4,2,115.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,78,0,0,78
['2022-12-21'],Quadrangular Twenty20 Series (Malaysia),1349386,Bahrain,3,6,2,0,1,300.0,"[4, 9]",2.0,12,3,0,19,1,1,0,0,0,0,0,9.5,1,0,0,0,0,12,3,8,23
