date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-07-19'],Vitality Blast,1410495,Yorkshire,8,7,8,1,0,87.5,"[6, 8, 12, 18]",4.0,24,5,0,40,4,1,0,0,0,2,0,10.0,0,0,0,0,0,11,3,0,14
['2024-07-14'],Vitality Blast,1410480,Yorkshire,8,0,0,0,0,0.0,"[2, 16, 18]",3.0,18,3,0,26,1,1,0,0,0,0,0,8.67,1,0,1,0,0,0,3,20,23
['2024-07-11'],Vitality Blast,1410464,Yorkshire,9,0,0,0,0,0.0,"[2, 12, 14]",3.0,18,6,0,26,3,1,2,0,0,0,0,8.67,2,0,0,0,0,0,56,16,72
['2024-07-07'],Vitality Blast,1410452,Yorkshire,9,7,5,0,1,140.0,"[1, 9, 11, 13]",4.0,24,6,0,30,4,0,0,0,0,0,0,7.5,1,0,0,0,0,13,6,8,27
['2024-07-05'],Vitality Blast,1410449,Yorkshire,9,0,0,0,0,0.0,"[3, 7, 9, 11]",4.0,24,4,0,29,2,0,0,0,0,0,0,7.25,0,0,0,0,0,0,4,0,4
['2024-06-21'],Vitality Blast,1410434,Yorkshire,8,7,5,1,0,140.0,"[2, 14, 16, 18]",4.0,24,10,0,37,4,2,1,0,0,0,0,9.25,0,0,0,0,0,11,35,0,46
['2024-06-20'],Vitality Blast,1410433,Yorkshire,8,10,8,0,1,125.0,"[3, 6, 8, 12]",4.0,24,9,0,26,3,0,2,0,1,0,1,6.5,0,0,0,0,0,16,69,0,85
['2024-06-16'],Vitality Blast,1410427,Yorkshire,7,0,1,0,0,0.0,"[10, 12, 14, 16]",4.0,24,4,0,23,0,0,0,0,0,0,1,5.75,1,0,0,0,0,0,8,8,16
['2024-06-14'],Vitality Blast,1410418,Yorkshire,8,8,12,1,0,66.67,"[2, 4, 8, 12]",4.0,24,5,0,26,2,0,1,0,1,0,0,6.5,1,0,0,0,-2,10,40,8,58
['2024-06-09'],Vitality Blast,1410407,Yorkshire,8,0,0,0,0,0.0,"[6, 10, 12, 14]",4.0,24,4,0,34,4,0,1,0,1,0,0,8.5,0,0,0,0,0,0,37,0,37
