date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2025-01-11'],Big Bash League,1443087,Brisbane Heat,7,0,2,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2025-01-06'],Big Bash League,1443081,Brisbane Heat,2,23,25,2,1,92.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,37,0,0,37
['2025-01-01'],Big Bash League,1443075,Brisbane Heat,2,1,6,0,0,16.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2024-12-29'],Big Bash League,1443071,Brisbane Heat,3,9,17,0,0,52.94,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-4,5,0,0,5
['2024-12-26'],Big Bash League,1443068,Brisbane Heat,3,6,13,1,0,46.15,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,4,0,0,4
['2024-12-22'],Big Bash League,1443065,Brisbane Heat,1,7,10,0,1,70.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-2,11,0,0,11
['2024-01-10'],Big Bash League,1386125,Brisbane Heat,2,2,5,0,0,40.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,2
['2024-01-07'],Big Bash League,1386122,Brisbane Heat,2,56,47,2,2,119.15,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,84,0,6,90
['2024-01-03'],Big Bash League,1386117,Brisbane Heat,2,9,8,1,0,112.5,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,0,0,13
['2023-12-27'],Big Bash League,1386109,Brisbane Heat,2,0,1,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2023-12-21'],Big Bash League,1386103,Brisbane Heat,2,12,4,0,2,300.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,0,0,24
['2023-12-12'],Big Bash League,1386099,Brisbane Heat,2,46,33,2,2,139.39,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,72,0,0,72
['2023-12-07'],Big Bash League,1386094,Brisbane Heat,2,99,60,9,5,165.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,181,0,0,181
['2023-09-19'],Caribbean Premier League,1369588,St Lucia Kings,2,1,5,0,0,20.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2023-09-17'],Caribbean Premier League,1369586,St Lucia Kings,7,4,9,0,0,44.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2023-09-14'],Caribbean Premier League,1369583,St Lucia Kings,2,55,42,6,2,130.95,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,101,0,0,101
['2023-09-10'],Caribbean Premier League,1369581,St Lucia Kings,1,72,51,6,3,141.18,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,124,0,0,124
['2023-09-09'],Caribbean Premier League,1369578,St Lucia Kings,1,10,10,2,0,100.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,18,0,0,18
['2023-09-02'],Caribbean Premier League,1369573,St Lucia Kings,1,33,27,5,0,122.22,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,57,0,16,73
['2023-07-07'],Vitality Blast,1347696,Nottinghamshire,3,10,6,0,1,166.67,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,16,0,0,16
['2023-06-20'],Vitality Blast,1347661,Nottinghamshire,3,28,17,4,1,164.71,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,58,0,0,58
['2023-06-18'],Vitality Blast,1347652,Nottinghamshire,3,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,-2,0,8,6
['2023-06-09'],Vitality Blast,1347634,Nottinghamshire,3,1,4,0,0,25.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2023-06-08'],Vitality Blast,1347629,Nottinghamshire,3,49,27,6,2,181.48,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,95,0,0,95
['2023-06-04'],Vitality Blast,1347613,Nottinghamshire,3,14,13,2,0,107.69,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,22,0,0,22
['2023-06-03'],Vitality Blast,1347610,Nottinghamshire,3,87,43,4,9,202.33,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,6,175,0,8,183
['2023-06-02'],Vitality Blast,1347608,Nottinghamshire,3,9,10,1,0,90.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,13,0,8,21
['2023-05-30'],Vitality Blast,1347594,Nottinghamshire,3,46,41,4,1,112.2,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,72,0,8,80
