date,event,match_id,teamname,batting_position,runs,balls,fours,sixes,strike_rate,overs_bowled,overs,total_balls,dots,maidens,conceded,fours_conceded,sixes_conceded,wickets,LBW,Bowled,noballs,wides,economy_rate,catches,stumping,direct_hit,indirect_hit,strike_rate_fp,batting_fp,bowling_fp,fielding_fp,total_fp
['2024-09-09'],ICC Men's T20 World Cup Asia Qualifier A,1447496,Mongolia,2,0,6,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-2,0,0,-2
['2024-09-06'],ICC Men's T20 World Cup Asia Qualifier A,1447492,Mongolia,6,4,9,0,0,44.44,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,4,0,0,4
['2024-09-02'],ICC Men's T20 World Cup Asia Qualifier A,1447485,Mongolia,3,2,10,0,0,20.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-6,-4,0,0,-4
['2024-08-30'],ICC Men's T20 World Cup Asia Qualifier A,1447479,Mongolia,5,1,2,0,0,50.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1
['2024-05-12'],Mongolia tour of Japan,1431126,Mongolia,7,0,5,0,0,0.0,[10],1.0,6,0,0,16,2,0,0,0,0,1,0,16.0,1,0,0,0,0,-2,0,8,6
['2024-05-11'],Mongolia tour of Japan,1431124,Mongolia,7,0,5,0,0,0.0,"[3, 6]",2.0,12,3,0,34,5,0,0,0,0,3,1,17.0,1,0,0,0,0,-2,-3,8,3
['2024-05-11'],Mongolia tour of Japan,1431125,Mongolia,7,5,24,1,0,20.83,"[9, 13]",2.0,12,2,0,32,3,2,0,0,0,0,1,16.0,0,0,0,1,-6,3,-4,6,5
"['2024-05-09', '2024-05-10']",Mongolia tour of Japan,1431123,Mongolia,10,0,3,0,0,0.0,[],0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
['2024-05-08'],Mongolia tour of Japan,1431121,Mongolia,10,0,4,0,0,0.0,"[2, 5, 13]",3.0,18,6,0,30,4,0,1,0,0,0,4,10.0,1,0,0,0,0,-2,29,8,35
['2024-05-08'],Mongolia tour of Japan,1431122,Mongolia,10,0,0,0,0,0.0,"[2, 4, 14, 18]",4.0,24,3,0,59,5,4,0,0,0,0,2,14.75,0,0,0,0,0,0,-3,0,-3
['2024-05-07'],Mongolia tour of Japan,1431120,Mongolia,9,3,9,0,0,33.33,"[2, 4, 16]",3.0,18,5,0,33,2,1,0,0,0,1,3,11.0,1,0,0,0,0,3,3,8,14
['2023-09-27'],Asian Games Men's Cricket Competition,1399104,Mongolia,1,1,10,0,0,10.0,"[1, 3]",2.0,12,4,0,30,4,0,0,0,0,4,3,15.0,0,0,0,0,-6,-5,-2,0,-7
